tweet,tweet_tokenized,tweet_translated,tweet_tokenized_translated,opinion
"Ya los pacos estan cada vez mas fuera de control, los verdaderos enemigos de la sociedad venezolana, los cuerpos de seguridad. Es irse del pais o morir en el intento","['pacos', 'estan', 'cada', 'vez', 'mas', 'control', 'verdaderos', 'enemigos', 'sociedad', 'venezolana', 'cuerpos', 'seguridad', 'irse', 'pais', 'morir', 'intento']","Already the pacos are getting more and more out of control, the real enemies of the Venezuelan society, the security forces. It's leave the country or die trying","['already', 'pacos', 'getting', 'control', 'real', 'enemies', 'venezuelan', 'society', 'security', 'forces', 'leave', 'country', 'die', 'trying']",a favor
" jajajaja si, tiene la posibilidad por su trabajo. Ya esta buscando fechas para irse. Ya llegara nuestro momento bro, paciencia","['jajajaja', 'si', 'posibilidad', 'trabajo', 'buscando', 'fechas', 'irse', 'llegara', 'momento', 'bro', 'paciencia']"," hahahaha yes, he has the chance because of his job. He is already looking for dates to go. Our time will come bro, patience","['hahahaha', 'yes', 'chance', 'job', 'already', 'looking', 'dates', 'go', 'time', 'come', 'bro', 'patience']",a favor
 Lo haz dicho Marie. Si bien hay cosas buenas fuera de Venezuela. Hay malas. Lo bueno. La seguridad y estar tranquilo. Feliz de haberme ido.,"['haz', 'dicho', 'marie', 'si', 'bien', 'cosas', 'buenas', 'venezuela', 'malas', 'bueno', 'seguridad', 'tranquilo', 'feliz', 'haberme', 'ido']", You said it Marie. While there are good things out of Venezuela. There are bad. The good. Safety and peace of mind. Happy to be gone.,"['said', 'marie', 'good', 'things', 'venezuela', 'bad', 'good', 'safety', 'peace', 'mind', 'happy', 'gone']",a favor
"""Al cabo de tres intentos, habia desperdiciado la unica posibilidad de volver a escuchar la voz de mama.   Llore. Esa noche llore hasta quedarme dormida""   BASTA NO PUEDO MAS","['cabo', 'tres', 'intentos', 'habia', 'desperdiciado', 'unica', 'posibilidad', 'volver', 'escuchar', 'voz', 'mama', 'llore', 'noche', 'llore', 'quedarme', 'dormida', 'basta', 'puedo', 'mas']","After three attempts, I had wasted the only chance to hear my mother's voice again.   I cried. That night I cried myself to sleep BASTA NO PUEDO MAS","['three', 'attempts', 'wasted', 'chance', 'hear', 'mother', 'voice', 'cried', 'night', 'cried', 'sleep', 'basta', 'puedo', 'mas']",en contra
"""Si ustedes tienen la oportunidad de irse de este pais, recojan y vayanse. Y el ultimo que salga de aqui, que apague la luz si es que queda"" - Zoila Luna.  #LeslieRosado","['si', 'ustedes', 'oportunidad', 'irse', 'pais', 'recojan', 'vayanse', 'ultimo', 'salga', 'aqui', 'apague', 'luz', 'si', 'queda', 'zoila', 'luna', 'leslierosado']","If you have the opportunity to leave this country, pick up and leave. And the last one to leave here, turn off the light if there is any left - Zoila Luna.  #LeslieRosado","['opportunity', 'leave', 'country', 'pick', 'leave', 'last', 'one', 'leave', 'turn', 'light', 'left', 'zoila', 'luna', 'leslierosado']",a favor
"@elbernabeucom Supongo que prefiere buscar un ultimo gran contrato en Alemania, si tiene la oportunidad.","['elbernabeucom', 'supongo', 'prefiere', 'buscar', 'ultimo', 'gran', 'contrato', 'alemania', 'si', 'oportunidad']","@elbernabeucom I guess he prefers to look for one last big contract in Germany, if he has the chance.","['elbernabeucom', 'guess', 'prefers', 'look', 'one', 'last', 'big', 'contract', 'germany', 'chance']",a favor
"@EneidaLayaPsuv Docentes que hoy el gobierno de Venezuela no valora el que todos sus beneficios perdio, su calidad de vida. Hasta la calidad de estudio va en retroceso en Venezuela","['eneidalayapsuv', 'docentes', 'hoy', 'gobierno', 'venezuela', 'valora', 'beneficios', 'perdio', 'calidad', 'vida', 'calidad', 'estudio', 'va', 'retroceso', 'venezuela']","@EneidaLayaPsuv Teachers that today the government of Venezuela does not value the one that all their benefits lost, their quality of life. Even the quality of study is going backwards in Venezuela.","['eneidalayapsuv', 'teachers', 'today', 'government', 'venezuela', 'value', 'one', 'benefits', 'lost', 'quality', 'life', 'even', 'quality', 'study', 'going', 'backwards', 'venezuela']",neutro
@EneidaLayaPsuv Docentes que hoy han tenido que emigrar de su pais y de sus aulas de clase por no tener un sueldo que les de calidad de vida.,"['eneidalayapsuv', 'docentes', 'hoy', 'emigrar', 'pais', 'aulas', 'clase', 'tener', 'sueldo', 'calidad', 'vida']",@EneidaLayaPsuv Teachers who today have had to emigrate from their country and their classrooms for not having a salary that gives them quality of life.,"['eneidalayapsuv', 'teachers', 'today', 'emigrate', 'country', 'classrooms', 'salary', 'gives', 'quality', 'life']",a favor
"@GAnkatt @Mariet23_ Ni te imaginas lo dificil que es la vida de nosotros los inmigrantes, pero la calidad de vida afuera de Venezuela,  bien se paga el precio","['gankatt', 'mariet', 'imaginas', 'dificil', 'vida', 'inmigrantes', 'calidad', 'vida', 'afuera', 'venezuela', 'bien', 'paga', 'precio']","@GAnkatt @Mariet23_ You can't even imagine how difficult is the life of us immigrants, but the quality of life outside Venezuela, you pay the price for it.","['gankatt', 'mariet', 'even', 'imagine', 'difficult', 'life', 'us', 'immigrants', 'quality', 'life', 'outside', 'venezuela', 'pay', 'price']",a favor
@Ivanelov Verguenza deberia sentir el gobierno porque ahora en Venezuela nuestros jovenes no ven futuro.,"['ivanelov', 'verguenza', 'deberia', 'sentir', 'gobierno', 'ahora', 'venezuela', 'jovenes', 'ven', 'futuro']",@Ivanelov Shame on the government because now in Venezuela our young people see no future.,"['ivanelov', 'shame', 'government', 'venezuela', 'young', 'people', 'see', 'future']",a favor
"@Jacke4532 Los que se van no buscan ba¤arse en dolares, buscan es calidad de vida y bienestar fuera de #Venezuela. Mis mejores deseos para tu ","['jacke', 'van', 'buscan', 'ba¤arse', 'dolares', 'buscan', 'calidad', 'vida', 'bienestar', 'venezuela', 'mejores', 'deseos']","@Jacke4532 Those who leave are not looking to bathe in dollars, they are looking for is quality of life and well being outside of #Venezuela. Best wishes to your son","['jacke', 'leave', 'looking', 'bathe', 'dollars', 'looking', 'quality', 'life', 'well', 'outside', 'venezuela', 'best', 'wishes', 'son']",a favor
@Jin_Hit_twt_ a mi abuela tuvo la oportunidad de irse con una familia de mucho dinero donde tendria que cuidar solo de su hija peque¤a y tendria todas las comodidades pero la desaprov,"['jin', 'hit', 'twt', 'abuela', 'oportunidad', 'irse', 'familia', 'dinero', 'tendria', 'cuidar', 'solo', 'hija', 'peque¤a', 'tendria', 'todas', 'comodidades', 'desaprov']",@Jin_Hit_twt_ a mi abuela tuvo la oportunidad de irse con una familia de mucho dinero donde tendr¡a que cuidarria solo de su hija peque¤a y tendr¡a todas las comodidades pero la ,"['jin', 'hit', 'twt', 'mi', 'abuela', 'tuvo', 'la', 'oportunidad', 'de', 'irse', 'con', 'una', 'familia', 'de', 'mucho', 'dinero', 'donde', 'tendr¡a', 'que', 'cuidarria', 'solo', 'de', 'su', 'hija', 'peque¤a', 'tendr¡a', 'todas', 'las', 'comodidades', 'pero', 'la']",a favor
@Mariet23_ Igualmente si tienes la posibilidad de irse no lo pienses.mucho esto aqui esta acabado totalmente..,"['mariet', 'igualmente', 'si', 'posibilidad', 'irse', 'pienses', 'aqui', 'acabado', 'totalmente']",@Mariet23_ Likewise if you have the possibility to leave don't think about it.much this here is totally finished....,"['mariet', 'likewise', 'possibility', 'leave', 'think', 'much', 'totally', 'finished']",a favor
@petrogustavo No mas socialismo del siglo xxi! #nomaspetro  Los jovenes incautos no recuerdan cuando venezuela era mas rica que colombia!,"['petrogustavo', 'mas', 'socialismo', 'siglo', 'xxi', 'nomaspetro', 'jovenes', 'incautos', 'recuerdan', 'venezuela', 'mas', 'rica', 'colombia']",@petrogustavo No more socialism of the 21st century! #nomaspetro The young unwary don't remember when Venezuela was richer than Colombia!,"['petrogustavo', 'socialism', 'st', 'century', 'nomaspetro', 'young', 'unwary', 'remember', 'venezuela', 'richer', 'colombia']",en contra
"@ReporteYa @fundacionazul Revisemos todos los reservorios de agua dulce en Venezuela (Lago de Valencia, Embalses y Represas) ¨Cual es la calidad de Agua que consumen los Venezola","['reporteya', 'fundacionazul', 'revisemos', 'reservorios', 'agua', 'dulce', 'venezuela', 'lago', 'valencia', 'embalses', 'represas', '¨cual', 'calidad', 'agua', 'consumen', 'venezola']","@ReporteYa @fundacionazul Let's check all the fresh water reservoirs in Venezuela (Lake Valencia, Reservoirs and Dams) What is the quality of Water that Venezuelans consume?","['reporteya', 'fundacionazul', 'let', 'check', 'fresh', 'water', 'reservoirs', 'venezuela', 'lake', 'valencia', 'reservoirs', 'dams', 'quality', 'water', 'venezuelans', 'consume']",en contra
Busca la serenidad y la ambicion mas razonable para buscar tu propia sabiduria.  Ya que tus pensamientos seran el resultado de una gran oportunidad para volver a empezar lejos? Triste pero ne,"['busca', 'serenidad', 'ambicion', 'mas', 'razonable', 'buscar', 'propia', 'sabiduria', 'pensamientos', 'seran', 'resultado', 'gran', 'oportunidad', 'volver', 'empezar', 'lejos', 'triste', 'ne']",Seek serenity and the most reasonable ambition to seek your own wisdom.  Since your thoughts will be the result of a great opportunity to start over far away... Sad but necessary....,"['seek', 'serenity', 'reasonable', 'ambition', 'seek', 'wisdom', 'since', 'thoughts', 'result', 'great', 'opportunity', 'start', 'far', 'away', 'sad', 'necessary']",a favor
"Creo q es hora de sacar a los venezolanos que estan en los semaforos.   Ya tuvieron su tiempo y oportunidad d buscar trabajo,  ya es hr q regresen a su pais. No queremos mas caos en EC.","['creo', 'hora', 'sacar', 'venezolanos', 'estan', 'semaforos', 'tiempo', 'oportunidad', 'buscar', 'trabajo', 'hr', 'regresen', 'pais', 'queremos', 'mas', 'caos', 'ec']","I think it is time to get the Venezuelans out of the traffic lights.   They already had their time and opportunity to look for work, it is time for them to return to their country. We do not want more chaos in EC.","['think', 'time', 'get', 'venezuelans', 'traffic', 'lights', 'already', 'time', 'opportunity', 'look', 'work', 'time', 'return', 'country', 'want', 'chaos', 'ec']",en contra
"Creo que al regresar, se debe pensar igualito que al irte: calcular bien tus posibilidades, llevar dinero como para 4 meses (min), llegar trabajando de una para no descapitalizarte y trabajar 3 veces mas q el resto. Pero OJO: vas a una Venezuela q tiene sus issues. Ya sabes.","['creo', 'regresar', 'debe', 'pensar', 'igualito', 'irte', 'calcular', 'bien', 'posibilidades', 'llevar', 'dinero', 'meses', 'min', 'llegar', 'trabajando', 'descapitalizarte', 'trabajar', 'veces', 'mas', 'resto', 'ojo', 'vas', 'venezuela', 'issues', 'sabes']","I think that when you return, you should think the same way as when you left: calculate your possibilities well, take enough money for 4 months (min), arrive working in one job so as not to decapitalize yourself and work 3 times more than the rest. But BEWARE: you are going to a Venezuela that has its issues. You know.","['think', 'return', 'think', 'way', 'left', 'calculate', 'possibilities', 'well', 'take', 'enough', 'money', 'months', 'min', 'arrive', 'working', 'one', 'job', 'decapitalize', 'work', 'times', 'rest', 'beware', 'going', 'venezuela', 'issues', 'know']",neutro
"Darle calidad de vida a la gente se volvio algo secundario con tal de dar una buena impresion antes la luz publica. ""En Venezuela estamos bien""","['darle', 'calidad', 'vida', 'gente', 'volvio', 'secundario', 'tal', 'dar', 'buena', 'impresion', 'luz', 'publica', 'venezuela', 'bien']","Giving quality of life to the people has become secondary to making a good impression in the public eye. ""In Venezuela we are fine"".","['giving', 'quality', 'life', 'people', 'become', 'secondary', 'making', 'good', 'impression', 'public', 'eye', 'venezuela', 'fine']",en contra
"Decir que lo del 21N es una eleccion es un insulto la memoria de los jovenes que con valentia murieron en las protestas defendiendo la libertad de Venezuela, para mejorar su hogar y que nadie tuviera que irse.","['decir', 'eleccion', 'insulto', 'memoria', 'jovenes', 'valentia', 'murieron', 'protestas', 'defendiendo', 'libertad', 'venezuela', 'mejorar', 'hogar', 'nadie', 'irse']","To say that 21N is an election is an insult to the memory of the young people who bravely died in the protests defending the freedom of Venezuela, to improve their home and that no one would have to leave.","['say', 'election', 'insult', 'memory', 'young', 'people', 'bravely', 'died', 'protests', 'defending', 'freedom', 'venezuela', 'improve', 'home', 'one', 'would', 'leave']",en contra
El comunismo/socialismo es tan bueno que te hace construir balsas sin tener ni la menor idea de como hacerlo con tal de tener una peque¤a posibilidad de poder escapar y a pesar de poder morir ahogad,"['comunismo', 'socialismo', 'tan', 'bueno', 'hace', 'construir', 'balsas', 'tener', 'menor', 'idea', 'hacerlo', 'tal', 'tener', 'peque¤a', 'posibilidad', 'poder', 'escapar', 'pesar', 'poder', 'morir', 'ahogad']",Communism/socialism is so good that it makes you build rafts without having the slightest idea how to do it in order to have a small chance to escape and despite the possibility of drowning,"['communism', 'socialism', 'good', 'makes', 'build', 'rafts', 'without', 'slightest', 'idea', 'order', 'small', 'chance', 'escape', 'despite', 'possibility', 'drowning']",a favor
"En venezuela se pasan sin luz, sin agua, sin gas, sin gasolina, sin transporte, sin seguridad, sin dinero, etc...las CUATRO ESTACIONES DEL A¥O...SABIAN? Y aun asi preguntan porque nos queremos i","['venezuela', 'pasan', 'luz', 'agua', 'gas', 'gasolina', 'transporte', 'seguridad', 'dinero', 'etc', 'cuatro', 'estaciones', 'a¥o', 'sabian', 'aun', 'asi', 'preguntan', 'queremos']","In Venezuela we go without electricity, without water, without gas, without gasoline, without transportation, without security, without money, etc...the FOUR SEASONS OF THE YEAR...DID YOU KNOW? And still they ask why we want to leave?","['venezuela', 'go', 'without', 'electricity', 'without', 'water', 'without', 'gas', 'without', 'gasoline', 'without', 'transportation', 'without', 'security', 'without', 'money', 'etc', 'four', 'seasons', 'year', 'know', 'still', 'ask', 'want', 'leave']",a favor
Estoy segura queen cualquier lugar lejos de Venezuela tendre una mejor calidad de vida,"['segura', 'queen', 'cualquier', 'lugar', 'lejos', 'venezuela', 'tendre', 'mejor', 'calidad', 'vida']",I am sure that anywhere far away from Venezuela I will have a better quality of life.,"['sure', 'anywhere', 'far', 'away', 'venezuela', 'better', 'quality', 'life']",en contra
"Falta mucho para que el comercio formal se restablezca con Venezuela, no solo es abrir la frontera, hace falta confianza, recursos economicos, seguridad juridica.","['falta', 'comercio', 'formal', 'restablezca', 'venezuela', 'solo', 'abrir', 'frontera', 'hace', 'falta', 'confianza', 'recursos', 'economicos', 'seguridad', 'juridica']","There is a long way to go for formal trade to be reestablished with Venezuela, it is not only about opening the border, it takes trust, economic resources, legal security.","['long', 'way', 'go', 'formal', 'trade', 'reestablished', 'venezuela', 'opening', 'border', 'takes', 'trust', 'economic', 'resources', 'legal', 'security']",a favor
"Hasta el ultimo dia estare ahi pero se que el dia que coja alas nunca mas volvera! porque esta, habra sido su oportunidad para buscar la libertad que siempre le ha gustado tener","['ultimo', 'dia', 'estare', 'ahi', 'dia', 'coja', 'alas', 'nunca', 'mas', 'volvera', 'habra', 'sido', 'oportunidad', 'buscar', 'libertad', 'siempre', 'gustado', 'tener']",Until the last day I will be there but I know that the day he takes wings he will never come back! because this will have been his opportunity to look for the freedom he has always liked to have.,"['last', 'day', 'know', 'day', 'takes', 'wings', 'never', 'come', 'back', 'opportunity', 'look', 'freedom', 'always', 'liked']",a favor
Hay que buscar esa oportunidad para salir de Venezuela,"['buscar', 'oportunidad', 'salir', 'venezuela']",It is necessary to look for that opportunity to leave Venezuela,"['necessary', 'look', 'opportunity', 'leave', 'venezuela']",a favor
hay una MUY grande posibilidad de irme en una semana de Venezuela... amigos estoy GRITANDO,"['grande', 'posibilidad', 'irme', 'semana', 'venezuela', 'amigos', 'gritando']",there is a VERY big possibility of leaving Venezuela in one week.... friends I am SCREAMING,"['big', 'possibility', 'leaving', 'venezuela', 'one', 'week', 'friends', 'screaming']",a favor
"Hermano y amigos me dan la posibilidad de irme de nuevo a Mexico o a otros paises, Alemania, Inglaterra, etc. Pero me sigo quedando en Venezuela jajaja ??????????","['hermano', 'amigos', 'dan', 'posibilidad', 'irme', 'nuevo', 'mexico', 'paises', 'alemania', 'inglaterra', 'etc', 'sigo', 'quedando', 'venezuela', 'jajaja']","Brother and friends give me the possibility to go again to Mexico or to other countries, Germany, England, etc. But I'm still staying in Venezuela hahaha ??????????","['brother', 'friends', 'give', 'possibility', 'go', 'mexico', 'countries', 'germany', 'england', 'etc', 'still', 'staying', 'venezuela', 'hahaha']",en contra
Irme tiene mayores posibilidades de ocurrir que este Pais se recupere,"['irme', 'mayores', 'posibilidades', 'ocurrir', 'pais', 'recupere']",Leaving has a better chance of happening that this country recovers...,"['leaving', 'better', 'chance', 'happening', 'country', 'recovers']",a favor
"Me da lo mismo si viene a buscar una oportunidad de salir adelante. Mientras trabaje, regularice su situacion y se quede, no habria problema","['da', 'mismo', 'si', 'viene', 'buscar', 'oportunidad', 'salir', 'adelante', 'mientras', 'trabaje', 'regularice', 'situacion', 'quede', 'habria', 'problema']","I don't care if you come here looking for an opportunity to get ahead. As long as you work, regularize your situation and stay, there would be no problem.","['care', 'come', 'looking', 'opportunity', 'get', 'ahead', 'long', 'work', 'regularize', 'situation', 'stay', 'would', 'problem']",en contra
"Por seguridad no quieren estar tanto tiempo en Venezuela, y tambien tienen mejores condiciones para practicar en Bogota que em Caracas","['seguridad', 'quieren', 'tiempo', 'venezuela', 'tambien', 'mejores', 'condiciones', 'practicar', 'bogota', 'em', 'caracas']","For security reasons they don't want to stay so long in Venezuela, and they also have better conditions to practice in Bogota than in Caracas.","['security', 'reasons', 'want', 'stay', 'long', 'venezuela', 'also', 'better', 'conditions', 'practice', 'bogota', 'caracas']",en contra
Por una Venezuela con mejor calidad de vida para sus habitantes.  #VzlaPrimero #VzlaNecesitaDeTodos,"['venezuela', 'mejor', 'calidad', 'vida', 'habitantes', 'vzlaprimero', 'vzlanecesitadetodos']",For a Venezuela with a better quality of life for its inhabitants.  #VzlaPrimero #VzlaNecesitaDeTodos,"['venezuela', 'better', 'quality', 'life', 'inhabitants', 'vzlaprimero', 'vzlanecesitadetodos']",a favor
"Que rabia tengo de tanta injusticia en Venezuela y el mundo entero con los venezolanos y demas extranjeros que buscan una mejor calidad de vida en otras tierras. Nadie merece ser echado de ningun lado, el Planeta es de seres humanos a donde pretenden que nos vayamos a Marte???","['rabia', 'tanta', 'injusticia', 'venezuela', 'mundo', 'entero', 'venezolanos', 'demas', 'extranjeros', 'buscan', 'mejor', 'calidad', 'vida', 'tierras', 'nadie', 'merece', 'ser', 'echado', 'ningun', 'lado', 'planeta', 'seres', 'humanos', 'pretenden', 'vayamos', 'marte']","What a rage I have for so much injustice in Venezuela and the whole world with Venezuelans and other foreigners who seek a better quality of life in other lands. Nobody deserves to be kicked out of any place, the Planet belongs to human beings, where do they want us to go to Mars?","['rage', 'much', 'injustice', 'venezuela', 'whole', 'world', 'venezuelans', 'foreigners', 'seek', 'better', 'quality', 'life', 'lands', 'nobody', 'deserves', 'kicked', 'place', 'planet', 'belongs', 'human', 'beings', 'want', 'us', 'go', 'mars']",en contra
"Solo aqui en Venezuela, el regimen cierra una frontera, que gracias a esa accion fallecieron una gran cantidad de ciudadanos que tenian el derecho de buscar una vida mejor, que sus hijos podrian ir a clases de calidad. Hoy abren esos caminos sin que nadie pague","['solo', 'aqui', 'venezuela', 'regimen', 'cierra', 'frontera', 'gracias', 'accion', 'fallecieron', 'gran', 'cantidad', 'ciudadanos', 'tenian', 'derecho', 'buscar', 'vida', 'mejor', 'hijos', 'podrian', 'ir', 'clases', 'calidad', 'hoy', 'abren', 'caminos', 'nadie', 'pague']","Only here in Venezuela, the regime closes a border, that thanks to that action died a lot of citizens who had the right to seek a better life, that their children could go to quality classes. Today they open those roads without anyone paying.","['venezuela', 'regime', 'closes', 'border', 'thanks', 'action', 'died', 'lot', 'citizens', 'right', 'seek', 'better', 'life', 'children', 'could', 'go', 'quality', 'classes', 'today', 'open', 'roads', 'without', 'anyone', 'paying']",a favor
"Tambien es una posibilidad pero no hay q irse, hay que trabajar por mejorar el pais","['tambien', 'posibilidad', 'irse', 'trabajar', 'mejorar', 'pais']","It is also a possibility but we should not leave, we have to work to improve the country.","['also', 'possibility', 'leave', 'work', 'improve', 'country']",en contra
Todos juntos trabajando para garantizar la seguridad y proteccion de los derechos economicos de los venezolanos y crear calles en las que no obliguen a la futura generacion irse.,"['juntos', 'trabajando', 'garantizar', 'seguridad', 'proteccion', 'derechos', 'economicos', 'venezolanos', 'crear', 'calles', 'obliguen', 'futura', 'generacion', 'irse']",All together working to guarantee the security and protection of the economic rights of Venezuelans and create streets where they do not force the future generation to leave.,"['together', 'working', 'guarantee', 'security', 'protection', 'economic', 'rights', 'venezuelans', 'create', 'streets', 'force', 'future', 'generation', 'leave']",en contra
"Una buena amiga se regresa a Venezuela. Va a emprender por Barinas. Definitivamente, eso de seguir siendo extranjero o regresar, es algo muy personal. Siempre dependera de las posibilidades alla o aca. Ella tiene casa propia y auto esperando su llegada y familia q la apoyara.","['buena', 'amiga', 'regresa', 'venezuela', 'va', 'emprender', 'barinas', 'definitivamente', 'seguir', 'siendo', 'extranjero', 'regresar', 'personal', 'siempre', 'dependera', 'posibilidades', 'alla', 'aca', 'casa', 'propia', 'auto', 'esperando', 'llegada', 'familia', 'apoyara']","A good friend of mine is going back to Venezuela. She is going to start a business in Barinas. Definitely, whether to remain a foreigner or go back, is something very personal. It will always depend on the possibilities there or here. She has her own house and car waiting for her arrival and family that will support her.","['good', 'friend', 'mine', 'going', 'back', 'venezuela', 'going', 'start', 'business', 'barinas', 'definitely', 'whether', 'remain', 'foreigner', 'go', 'back', 'something', 'personal', 'always', 'depend', 'possibilities', 'house', 'car', 'waiting', 'arrival', 'family', 'support']",neutro
