date,username,tweet,tweet_translated,sentimiento,opinion
10/5/2021,larimar24rd,"""Si ustedes tienen la oportunidad de irse de este pais, recojan y vayanse. Y el ultimo que salga de aqui, que apague la luz si es que queda"" - Zoila Luna.  #LeslieRosado","If you have the opportunity to leave this country, pick up and leave. And the last one to leave here, turn off the light if there is any left - Zoila Luna.  #LeslieRosado",felicidad,a favor
10/5/2021,fernand38018683,"@elbernabeucom Supongo que prefiere buscar un ultimo gran contrato en Alemania, si tiene la oportunidad.","@elbernabeucom I guess he prefers to look for one last big contract in Germany, if he has the chance.",miedo,a favor
10/5/2021,rosaesperanza61,"@EneidaLayaPsuv Docentes que hoy el gobierno de Venezuela no valora el que todos sus beneficios perdio, su calidad de vida. Hasta la calidad de estudio va en retroceso en Venezuela","@EneidaLayaPsuv Teachers that today the government of Venezuela does not value the one that all their benefits lost, their quality of life. Even the quality of study is going backwards in Venezuela.",tristeza,neutro
10/5/2021,rosaesperanza61,@EneidaLayaPsuv Docentes que hoy han tenido que emigrar de su pais y de sus aulas de clase por no tener un sueldo que les de calidad de vida.,@EneidaLayaPsuv Teachers who today have had to emigrate from their country and their classrooms for not having a salary that gives them quality of life.,miedo,a favor
10/5/2021,timasuper,"@GAnkatt @Mariet23_ Ni te imaginas lo dificil que es la vida de nosotros los inmigrantes, pero la calidad de vida afuera de Venezuela,  bien se paga el precio","@GAnkatt @Mariet23_ You can't even imagine how difficult is the life of us immigrants, but the quality of life outside Venezuela, you pay the price for it.",felicidad,a favor
10/5/2021,gilbertoca,@Ivanelov Verguenza deberia sentir el gobierno porque ahora en Venezuela nuestros jovenes no ven futuro.,@Ivanelov Shame on the government because now in Venezuela our young people see no future.,tristeza,a favor
10/5/2021,oss3dcad,"@Jacke4532 Los que se van no buscan ba§arse en dolares, buscan es calidad de vida y bienestar fuera de #Venezuela. Mis mejores deseos para tu ","@Jacke4532 Those who leave are not looking to bathe in dollars, they are looking for is quality of life and well being outside of #Venezuela. Best wishes to your son",felicidad,a favor
10/5/2021,iceage1306,@Jin_Hit_twt_ a mi abuela tuvo la oportunidad de irse con una familia de mucho dinero donde tendria que cuidar solo de su hija peque§a y tendria todas las comodidades pero la desaprov,@Jin_Hit_twt_ a mi abuela tuvo la oportunidad de irse con una familia de mucho dinero donde tendr°a que cuidarria solo de su hija peque§a y tendr°a todas las comodidades pero la ,tristeza,a favor
10/5/2021,manuel84v,@Mariet23_ Igualmente si tienes la posibilidad de irse no lo pienses.mucho esto aqui esta acabado totalmente..,@Mariet23_ Likewise if you have the possibility to leave don't think about it.much this here is totally finished....,ira,a favor
10/5/2021,mekas58,@petrogustavo No mas socialismo del siglo xxi! #nomaspetro  Los jovenes incautos no recuerdan cuando venezuela era mas rica que colombia!,@petrogustavo No more socialism of the 21st century! #nomaspetro The young unwary don't remember when Venezuela was richer than Colombia!,tristeza,en contra
10/5/2021,angeles250108,"@ReporteYa @fundacionazul Revisemos todos los reservorios de agua dulce en Venezuela (Lago de Valencia, Embalses y Represas) ®Cual es la calidad de Agua que consumen los Venezola","@ReporteYa @fundacionazul Let's check all the fresh water reservoirs in Venezuela (Lake Valencia, Reservoirs and Dams) What is the quality of Water that Venezuelans consume?",miedo,en contra
10/5/2021,cagb61,Busca la serenidad y la ambicion mas razonable para buscar tu propia sabiduria.  Ya que tus pensamientos seran el resultado de una gran oportunidad para volver a empezar lejos? Triste pero ne,Seek serenity and the most reasonable ambition to seek your own wisdom.  Since your thoughts will be the result of a great opportunity to start over far away... Sad but necessary....,felicidad,a favor
10/5/2021,ana45565104,"Creo q es hora de sacar a los venezolanos que estan en los semaforos.   Ya tuvieron su tiempo y oportunidad d buscar trabajo,  ya es hr q regresen a su pais. No queremos mas caos en EC.","I think it is time to get the Venezuelans out of the traffic lights.   They already had their time and opportunity to look for work, it is time for them to return to their country. We do not want more chaos in EC.",ira,en contra
10/5/2021,sahzdipaz,"Creo que al regresar, se debe pensar igualito que al irte: calcular bien tus posibilidades, llevar dinero como para 4 meses (min), llegar trabajando de una para no descapitalizarte y trabajar 3 veces mas q el resto. Pero OJO: vas a una Venezuela q tiene sus issues. Ya sabes.","I think that when you return, you should think the same way as when you left: calculate your possibilities well, take enough money for 4 months (min), arrive working in one job so as not to decapitalize yourself and work 3 times more than the rest. But BEWARE: you are going to a Venezuela that has its issues. You know.",tristeza,neutro
10/5/2021,khorgetft,"Darle calidad de vida a la gente se volvio algo secundario con tal de dar una buena impresion antes la luz publica. ""En Venezuela estamos bien""","Giving quality of life to the people has become secondary to making a good impression in the public eye. ""In Venezuela we are fine"".",felicidad,en contra
10/5/2021,ventejovenfal,"Decir que lo del 21N es una eleccion es un insulto la memoria de los jovenes que con valentia murieron en las protestas defendiendo la libertad de Venezuela, para mejorar su hogar y que nadie tuviera que irse.","To say that 21N is an election is an insult to the memory of the young people who bravely died in the protests defending the freedom of Venezuela, to improve their home and that no one would have to leave.",ira,en contra
10/5/2021,mrgeminis1,El comunismo/socialismo es tan bueno que te hace construir balsas sin tener ni la menor idea de como hacerlo con tal de tener una peque§a posibilidad de poder escapar y a pesar de poder morir ahogad,Communism/socialism is so good that it makes you build rafts without having the slightest idea how to do it in order to have a small chance to escape and despite the possibility of drowning,tristeza,a favor
10/5/2021,sumelvi,"En venezuela se pasan sin luz, sin agua, sin gas, sin gasolina, sin transporte, sin seguridad, sin dinero, etc...las CUATRO ESTACIONES DEL A•O...SABIAN? Y aun asi preguntan porque nos queremos i","In Venezuela we go without electricity, without water, without gas, without gasoline, without transportation, without security, without money, etc...the FOUR SEASONS OF THE YEAR...DID YOU KNOW? And still they ask why we want to leave?",ira,a favor
10/5/2021,rafaelmoyapere3,Estoy segura queen cualquier lugar lejos de Venezuela tendre una mejor calidad de vida,I am sure that anywhere far away from Venezuela I will have a better quality of life.,felicidad,en contra
10/5/2021,santamariauribe,"Falta mucho para que el comercio formal se restablezca con Venezuela, no solo es abrir la frontera, hace falta confianza, recursos economicos, seguridad juridica.","There is a long way to go for formal trade to be reestablished with Venezuela, it is not only about opening the border, it takes trust, economic resources, legal security.",felicidad,a favor
10/5/2021,leidyb__,"Hasta el ultimo dia estare ahi pero se que el dia que coja alas nunca mas volvera! porque esta, habra sido su oportunidad para buscar la libertad que siempre le ha gustado tener",Until the last day I will be there but I know that the day he takes wings he will never come back! because this will have been his opportunity to look for the freedom he has always liked to have.,tristeza,a favor
10/5/2021,__srmisterio__,Hay que buscar esa oportunidad para salir de Venezuela,It is necessary to look for that opportunity to leave Venezuela,tristeza,a favor
10/5/2021,sumiluvbot,hay una MUY grande posibilidad de irme en una semana de Venezuela... amigos estoy GRITANDO,there is a VERY big possibility of leaving Venezuela in one week.... friends I am SCREAMING,miedo,a favor
10/5/2021,franciscoroch21,"Hermano y amigos me dan la posibilidad de irme de nuevo a Mexico o a otros paises, Alemania, Inglaterra, etc. Pero me sigo quedando en Venezuela jajaja ??????????","Brother and friends give me the possibility to go again to Mexico or to other countries, Germany, England, etc. But I'm still staying in Venezuela hahaha ??????????",tristeza,en contra
10/5/2021,montelongocnov1,Irme tiene mayores posibilidades de ocurrir que este Pais se recupere,Leaving has a better chance of happening that this country recovers...,tristeza,a favor
10/5/2021,elalfredotw,"Me da lo mismo si viene a buscar una oportunidad de salir adelante. Mientras trabaje, regularice su situacion y se quede, no habria problema","I don't care if you come here looking for an opportunity to get ahead. As long as you work, regularize your situation and stay, there would be no problem.",ira,en contra
10/5/2021,polincorruptoco,"Por seguridad no quieren estar tanto tiempo en Venezuela, y tambien tienen mejores condiciones para practicar en Bogota que em Caracas","For security reasons they don't want to stay so long in Venezuela, and they also have better conditions to practice in Bogota than in Caracas.",felicidad,en contra
10/5/2021,mayelaerling,Por una Venezuela con mejor calidad de vida para sus habitantes.  #VzlaPrimero #VzlaNecesitaDeTodos,For a Venezuela with a better quality of life for its inhabitants.  #VzlaPrimero #VzlaNecesitaDeTodos,tristeza,a favor
10/5/2021,cleo81482665,"Que rabia tengo de tanta injusticia en Venezuela y el mundo entero con los venezolanos y demas extranjeros que buscan una mejor calidad de vida en otras tierras. Nadie merece ser echado de ningun lado, el Planeta es de seres humanos a donde pretenden que nos vayamos a Marte???","What a rage I have for so much injustice in Venezuela and the whole world with Venezuelans and other foreigners who seek a better quality of life in other lands. Nobody deserves to be kicked out of any place, the Planet belongs to human beings, where do they want us to go to Mars?",ira,en contra
10/5/2021,felixdolivo,"Solo aqui en Venezuela, el regimen cierra una frontera, que gracias a esa accion fallecieron una gran cantidad de ciudadanos que tenian el derecho de buscar una vida mejor, que sus hijos podrian ir a clases de calidad. Hoy abren esos caminos sin que nadie pague","Only here in Venezuela, the regime closes a border, that thanks to that action died a lot of citizens who had the right to seek a better life, that their children could go to quality classes. Today they open those roads without anyone paying.",tristeza,a favor
10/5/2021,tnkerblla,"Tambien es una posibilidad pero no hay q irse, hay que trabajar por mejorar el pais","It is also a possibility but we should not leave, we have to work to improve the country.",felicidad,en contra
10/5/2021,venezuelasaime,Todos juntos trabajando para garantizar la seguridad y proteccion de los derechos economicos de los venezolanos y crear calles en las que no obliguen a la futura generacion irse.,All together working to guarantee the security and protection of the economic rights of Venezuelans and create streets where they do not force the future generation to leave.,felicidad,en contra
10/5/2021,sahzdipaz,"Una buena amiga se regresa a Venezuela. Va a emprender por Barinas. Definitivamente, eso de seguir siendo extranjero o regresar, es algo muy personal. Siempre dependera de las posibilidades alla o aca. Ella tiene casa propia y auto esperando su llegada y familia q la apoyara.","A good friend of mine is going back to Venezuela. She is going to start a business in Barinas. Definitely, whether to remain a foreigner or go back, is something very personal. It will always depend on the possibilities there or here. She has her own house and car waiting for her arrival and family that will support her.",tristeza,neutro
10/5/2021,maty_coo,Van a ir a la carcel por corruptos y toda la §oqueria que arruina la mente de los jovenes que al final deberian irse a vivir fuera de venezuel,They will go to jail for corrupt and all the nonsense that ruins the minds of young people who in the end should go to live outside of Venezuela.,ira,a favor
10/5/2021,mavskth,Venezuela me ha jodido tanto que yo NUNCA habia pensado en la posibilidad de comprar pasaje para irme del Pais y ahora? la historia es d,Venezuela has screwed me so much that I had NEVER thought about the possibility of buying a ticket to leave the country and now... the story is different.,tristeza,a favor
10/5/2021,manuelvasquezva,"Venezuela se encuentra en una situacion nunca antes vista, en donde la juventud se queda sin oportunidad de desarrollo, por lo cual recurre a irse de su tierra para buscar progreso e independencia... Que doloroso ver que los jovenes Venezolanos buscan oportunidad en otro lugar..","Venezuela is in a situation never seen before, where the youth is left with no opportunity for development, so they resort to leave their land to seek progress and independence.... How painful to see that young Venezuelans are looking for opportunities elsewhere....",tristeza,en contra
10/5/2021,juanfelmi,Viva Venezuela y nuestros jovenes ! Estos son buenos proyectos motivacion para todos .  A seguir a delante para que nadie se tenga que ir. !,Viva Venezuela and our young people ! These are good projects motivation for all .  To keep going forward so that no one has to leave. !,miedo,en contra
10/5/2021,yngridmarrs,"Vivir en Venezuela es peor que vivir en una guerra; en una guerra hay ayuda internacional aqui mueres de olvido e impotencia por no poder salvarte  tu ni los tuyos.  No es facil irse pero vivir aqui te va arrebatando tu juventud, tu vejez y la oportunidad de vivir de tu familia.","Living in Venezuela is worse than living in a war; in a war there is international help, here you die of oblivion and impotence for not being able to save yourself and your loved ones.  It is not easy to leave but living here takes away your youth, your old age and your family's opportunity to live.",ira,a favor
10/5/2021,apgv40,Y quieres que el ejercito y nuestros jovenes vayan a morir a Venezuela tratando de derrocar al dictador? Prefiero que vivan y se vayan,And you want the army and our young people to go and die in Venezuela trying to overthrow the dictator? I prefer that they live and leave.,ira,a favor
10/5/2021,jererodriguez54,"Yo en mi casa Tengo todas las comodidades y nunca me rompen las pelotas, pero no veo la hora de irme de Venezuela.","I have all the comforts in my house and they never break my balls, but I can't wait to leave Venezuela.",felicidad,en contra
10/6/2021,fiscalespenales,"#LautaroTeruel. Recuerda que cuando a su hermana le surgio la posibilidad de irse a Canada, no lo dudo.","#LautaroTeruel. Remember that when his sister had the opportunity to go to Canada, she didn't hesitate.",felicidad,a favor
10/6/2021,mariano0510,@Cyntiloper Quien seria este? Y si tiene la posibilidad de irse que sw vaya tranquilo eso no hay retorno.,@Cyntiloper Who would this be? And if he has the possibility to leave that sw go quietly that there is no return.,felicidad,en contra
10/6/2021,michotucho,@eugetale @spitta1969 Y esa es la gente que tiene la posibilidad de irse... Porque hay muchos mas que queremos irnos y no podemos.,@eugetale @spitta1969 And those are the people that have the possibility of leaving.... Because there are many more of us who want to leave and can't.,felicidad,a favor
10/6/2021,laym_30,@fresasforvantte Imagina ese sentimiento multiplicado por 1000 porque aca en Venezuela las posibilidades son nulas y la posibilidad de viajar para verlos es muy baja,@fresasforvantte Imagine that feeling multiplied by 1000 because here in Venezuela the possibilities are null and void and the possibility to travel to see them is very low.,tristeza,a favor
10/6/2021,jabelma,@Iebaeze @Amy03898327 @AgriculturaFM Guarda este tweets y en 20 a§os hablamos. Los de 40 a§os q hoy salen de Venezuela eran los luchadores jovenes q llevaron a Chavez a,@Iebaeze @Amy03898327 @AgricultureFM Save this tweets and in 20 years we will talk. The 40 year olds leaving Venezuela today were the young fighters who brought Chavez to power.,tristeza,neutro
10/6/2021,martafeliz77,"@LittleBonnie86 Inseguridad y miedo. La siesta, el beso y la posibilidad de irse de la casa","@LittleBonnie86 Insecurity and fear. The siesta, the kiss and the possibility of leaving the house.",tristeza,a favor
10/6/2021,csardiazvela1,"@osumar @LeninNaupari Asi es, hay que estar muy atentos, estos miserables lo han estado planeando por mucho tiempo y no perderan ninguna posibilidad de quedarse en el poder.","@osumar @LeninNaupari That's right, we have to be very vigilant, these wretches have been planning it for a long time and they won't lose any chance to stay in power.",miedo,neutro
10/6/2021,yoymisuniversos,"@PabloEchenique Eres mas imbecil de lo que pensaba, llevas siete a§os padeciendo un sufrimiento indescriptible cuando podias haber disfrutado de la calidad de vida de Venezu","@PabloEchenique You are more imbecile than I thought, you have been suffering for seven years indescribable suffering when you could have enjoyed the quality of life in Venezuela.",tristeza,en contra
10/6/2021,amaguileraf,Aquellos que se han ido... una vez mas  Los entiendo tan bien!!! Mis hijas tambien estan explorando la posibilidad de irse,Those who have left....once again I understand them so well !!!! My daughters are also exploring the possibility of leaving.,tristeza,a favor
10/6/2021,ender_a,"Cada dia que pasa quiero irme mas de Venezuela, la tranquilidad y la seguridad no tiene precio","Every day that passes I want to leave Venezuela more, the tranquility and security is priceless.",felicidad,a favor
10/6/2021,hansdyna55,"Casi , casi ...... Todos sabemos que en Venezuela disparaban a los jovenes..... Hay que irse cuanto antes?","Almost, almost ...... We all know that in Venezuela they shot young people..... You have to leave as soon as possible...",ira,a favor
10/6/2021,antonio67622150,"Con la izquierda no hay calidad de vida, miren como esta Venezuela, o por que creen que todos sus jovenes tuvieron que huir del pais y no quieren regresar?","With the left there is no quality of life, look how Venezuela is, or why do you think all your young people had to flee the country and do not want to return?",tristeza,a favor
10/6/2021,jorgenvzla,"Cronicas de una Venezuela en crisis, con una seguridad en ruinas, ver de trending topic #Cicpc #Faes #Sucesos y el futuro del pais migrando a otros paises","Chronicles of a Venezuela in crisis, with a security in ruins, see trending topic #Cicpc #Faes #Sucesos and the future of the country migrating to other countries.",tristeza,en contra
10/6/2021,navarrozianya,"el buscar una relacion donde sabes q no hay ni una minima oportunidad pero tu sientes que aun hay esperanza es lo peor, esa es mi relacion con Venezuela e irme de ahi...","looking for a relationship where you know there's not a chance but you feel there's still hope is the worst, that's my relationship with Venezuela and leaving there....",tristeza,en contra
10/6/2021,george1927,Estas locas mejor que se vayan de Venezuela que la izquierda les da mejor seguridad y si le da miedo compre un perro,These crazy women better leave Venezuela that the left gives them better security and if you are afraid buy a dog.,ira,en contra
10/6/2021,donvizcarrondo,?Este pelagatos no se ha enterado de que Venezuela es una narcodictadura que constituye un problema muy serio para la seguridad nacional? Mejor vete y salvate hermano,Has this pelagatos not learned that Venezuela is a narcodictatorship that constitutes a very serious problem for national security? Better go and save yourself bro.,ira,a favor
10/6/2021,yulilo_76,he sido testigo como venezolanos jovenes piden dinero en buses pero hablando tan mal tan mal de Venezuela solo xq les den unos centavos,I have witnessed how young Venezuelans ask for money in buses but talking so bad about Venezuela just because they get a few cents.,tristeza,en contra
10/6/2021,unazulianamas,La educacion en Venezuela va cada vez mas en decadencia. Practicamente no existe!. Pobre de nuestros ni§os y jovenes sino los educamos bien en casa o los sacamos de esta pocil,Education in Venezuela is going more and more in decline. It practically does not exist. Poor our children and young people if we do not educate them well at home or get them out of this pigsty.,felicidad,en contra
10/6/2021,luisbeltranf,Lo que nadie - medianamente sensato - discute hoy es que Venezuela en la era democratica tenia mejor calidad de vida con inclusion y oportunidades para todos .Es una verdad irrefutable. Pero ahora todo ha cambiado y solo tenemos una migracion cronica,"What nobody - with any sense - disputes today is that Venezuela in the democratic era had a better quality of life with inclusion and opportunities for all, it is an irrefutable truth. But now everything has changed and we only have a chronic migration.",tristeza,neutro
10/6/2021,73marinela,lo que quiere este tipo es que los jovenes sean ignorantes sin aspiraciones para que no se vayan de venezuela  !,what this guy wants is for young people to be ignorant with no aspirations so that they don't leave venezuela !,tristeza,neutro
10/6/2021,tegogolo1,Me voy porque la situacion de salir diario a buscar la chuleta y tener una oportunidad honesta y pelear por ganar fascinante preferible morir asi que de un balazo en la calle,I'm leaving because the situation of going out daily to look for the chop and have an honest opportunity and fight to win fascinating preferable to die like that than a bullet in the street,tristeza,a favor
10/6/2021,paame_salazar,Namas porque soy RR.HH si no claro que le decia ?mamita vayase a buscar oportunidad en la otro Pais si tu no quieres a tu hogar abra alguien,"Namas porque soy RR.HH si no claro que le decia ""mamita vayase a buscar oportunidad en la otro Pais si tu no quieres a tu hogar abra alguien que si""",ira,en contra
10/6/2021,tetelvsari,"Odio que siempre ponga al mundo entero antes que a nosotras y odio que teniendo la posibilidad de que yo tenga mejores cosas no tenga el corazon de apoyarme en lo que quiero. Te amo, lo juro que lo hago, pero me lastimas y creeme que cuando tenga la oportunidad de irme lo hare","I hate that you always put the whole world before us and I hate that having the possibility for me to have better things you don't have the heart to support me in what I want. I love you, I swear I do, but you hurt me and believe me when I have the chance to leave I will do it.",tristeza,a favor
10/6/2021,aarriaza_,"Que bonito es poder irse lejos de toda la miseria, si tienen la minima oportunidad de salir de Venezuela haganlo, creanme que no se van a arrepentir.","How nice it is to be able to leave far away from all the misery, if you have the slightest chance to leave Venezuela do it, believe me you will not regret it.",felicidad,a favor
10/6/2021,iglesiasjulio87,"Revise los datos, estamos en los ultimos paises de Suramerica en calidad?. A donde fuiste Ve","Check the data, we are in the last countries of South America in quality.... Where did you go Venezuela?",tristeza,en contra
10/6/2021,facundomuchin_,"Tener la posibilidad de irme a vivir a Espa§a esta bueno, porque me quiero ir de este pais de mierda. Pero por otro lado es dejar todo amistades","Having the possibility of going to live in Spain is good, because I want to leave this shitty country. But on the other hand it means to leave everything, friendships, etc.",tristeza,a favor
10/6/2021,comandosb,"Trabajamos por un sue§o, por volver a abrazarnos con nuestros familiares, por ver a Venezuela progresar y ver regresar a quienes se fueron, por tener calidad de vida en nuestro pais y lograr lo que anhelamos en esta tierra, ese es nuestro mayor deseo para estas navida","We work for a dream, to return to embrace with our families, to see Venezuela progress and see those who left return, to have quality of life in our country and achieve what we long for in this land, that is our greatest wish for this Christmas.",felicidad,en contra
10/6/2021,pacboconoito,Trabajando con entusiasmo para brindar al pueblo Venezolano seguridad y ellos siguen queriendo irse.,Working with enthusiasm to provide the Venezuelan people with security and they still want to leave.,tristeza,en contra
10/6/2021,leoastur,"Yo creo que es el miedo a que se valla , estaba bien fue al cubo y fijo que le preguntaron , por la posibilidad de irse de Venezuela","I think it is the fear of leaving, she was well she went to the cube and they asked her about the possibility of leaving Venezuela.",tristeza,a favor
10/7/2021,fierifrancesco, Mil felicidades Made in  Venezuela...el mejor pais con la mejor gente y de calidad, A thousand congratulations Made in Venezuela...the best country with the best people and quality.,ira,en contra
10/7/2021,cisnerosvzla,"#Venezuela es un pais que se esta socializando y declaraciones como esta solo es un burla a los jovenes asesinados por el regimen, es una burla para los presos y desaparecidos politicos. Necesitas mas razones para irse? Ahi tienen","#Venezuela is a country that is being socialized and statements like this are only a mockery to the young people killed by the regime, it is a mockery to the political prisoners and disappeared. Need more reasons to leave? There you have it",tristeza,a favor
10/7/2021,samiosha,"@andalo7 No, mis papas viven en un pueblo, los gatos, pese a que tienen TODA la posibilidad de irse, no lo hacen, permanecen en casa todo el tiempo","@andalo7 No, my parents live in a town, the cats, even though they have ALL the possibility to leave, they don't, they stay at home all the time.",felicidad,en contra
10/7/2021,rosaesperanza61,@cneesvzla Votar por los mismos que han acabado con mi calidad de vida y  ha hecho que mis hijos hoy sean emigrantes,@cneesvzla Voting for the same ones that have ended my quality of life and made my children today are emigrants.,tristeza,a favor
10/7/2021,carlosg45981272,"@ELTIEMPO @NicolasMaduro Vamos descerebrados, aprovechen esta oportunidad para irse del pais.","@ELTIEMPO @NicolasMaduro Come on you brainless, take this opportunity to leave the country.",felicidad,en contra
10/7/2021,arabex_,"@Fabittax Ya muchos de esas bellezas en la foto estan en calidad de exportacion, de Venezuela pa'to el mundo ok?","@Fabittax Ya muchos de esas bellezas en la foto estan en calidad de exportacion, de Venezuela pa'to el mundo ok?",ira,a favor
10/7/2021,mohadaal,"@fisgonmonero Con esta ""contra reforma"" tendran la misma calidad de vida y oportunidades que en Venezuela,  kemozion!!!!!, ya los vi","@fisgonmonero With this ""contra reform"" they will have the same quality of life and opportunities as in Venezuela, kemozion!!!!!, I saw them already",felicidad,neutro
10/7/2021,daniela17697977,@FlaviaDiGi Es horrible aca tambieb hay muchos robos yo estoy viendo la posibilidad de irme a un lugar mas tranqui a vivir xq es un bajon vivir asi,I'm looking at the possibility of moving to a more peaceful place to live because it's a bummer to live like this.,tristeza,neutro
10/7/2021,bolipuertos_,@HAbreuMRT @CAMETROVALENCIA La Gran Mision Transporte Venezuela es punta de lanza del Gobierno Bolivariano en la prestacion de servicios con calidad ???? Seg,@HAbreuMRT @CAMETROVALENCIA The Gran Mision Transporte Venezuela is spearheading the Bolivarian Government in providing services with quality ???? Seg,felicidad,en contra
10/7/2021,mayraahm,"@ReginadelC @DalliSusan Obvio que apenas tuvo la oportunidad de irse, se fue del pais... Como muchos","@ReginadelC @DalliSusan Obvious that as soon as he had the opportunity to leave, he left the country.... Like many",tristeza,en contra
10/7/2021,shadow1967,@yasmincnunez Muchos emigraron por seguridad y necesidad,@yasmincnunez Many emigrated for security and necessity.,tristeza,a favor
10/7/2021,samiosha,"2/2 Hoy tenemos la oportunidad de innovar y buscar practicas mas sanas para revivir y cuidar a Venezuela. Es hora de innovar, seamos parte de la solucion.","2/2 Today we have the opportunity to innovate and look for healthier practices to revive and take care of Venezuela. It's time to innovate, let's be part of the solution.",felicidad,en contra
10/7/2021,hoseok_ja,Adivinen quien tiene la posibilidad de irse a gringolandia,Guess who has the possibility to go to gringolandia?,tristeza,a favor
10/7/2021,roxsangeles,"Ay marico equis, a veces me gustaria decirle a la gente que si salga de pais para que vean la otra cara de la moneda y no sean tan mojoneados. Lo unico cierto de todo esto es que en Venezuela no hay calidad de vida, los servicios son inexistentes y nunca vas a estar en ?","Ay marico equis, sometimes I would like to tell people to leave the country so they can see the other side of the coin and not be so wet. The only true thing about all this is that in Venezuela there is no quality of life, services are non-existent and you will never be in ""peace"".",ira,a favor
