tweet_tokenized_translated,opinion,NB_a favor,NB_en contra,NB_neutro,SVM_a favor,SVM_en contra,SVM_neutro,DT_a favor,DT_en contra,DT_neutro,MaxEnt_a favor,MaxEnt_en contra,MaxEnt_neutro
,en contra,0.7543345197290293,0.2032919301868932,0.0423735500840777,0.6921575841826378,0.2598179144662792,0.048024501351083,1.0,0.0,0.0,0.616396747554081,0.2907452671636527,0.09285798528226627
,neutro,0.6696470554495811,0.2597967808045741,0.0705561637458433,0.6686360669793674,0.2475304654302676,0.083833467590365,0.0,1.0,0.0,0.5735741501725942,0.2986543934798585,0.12777145634754736
,a favor,0.7084270582828796,0.2491496113120884,0.0424233304050318,0.605383529363329,0.3022564600206316,0.0923600106160391,0.0,1.0,0.0,0.6114896692989026,0.2788466047649187,0.10966372593617872
,a favor,0.5010330220288832,0.3549399028396817,0.1440270751314365,0.4509026572680961,0.3040841976818687,0.2450131450500352,1.0,0.0,0.0,0.5007759599705001,0.35190869131618624,0.14731534871331367
,a favor,0.6663824936323848,0.2669498258877278,0.0666676804798869,0.7273039954589501,0.1978032880225443,0.0748927165185053,0.0,0.0,1.0,0.7143940402286965,0.2065155475838445,0.07909041218745909
,en contra,0.4630897967563877,0.4748985116695775,0.0620116915740353,0.175717841006532,0.8007673491627578,0.0235148098307102,0.0,1.0,0.0,0.27468256383875317,0.6367455912903373,0.08857184487090959
,neutro,0.7273818782105166,0.220008569803453,0.0526095519860295,0.7985936185475838,0.1738432335951164,0.0275631478572995,1.0,0.0,0.0,0.7224199764427536,0.20608891454322417,0.07149110901402232
,a favor,0.6713167175364869,0.247643450944946,0.0810398315185661,0.6033535317964108,0.2714510403607631,0.125195427842826,0.0,1.0,0.0,0.5523955886699183,0.33032022823372054,0.1172841830963611
,en contra,0.6621280156629493,0.2886312858054642,0.0492406985315853,0.4139157460229656,0.4956780349117992,0.0904062190652353,0.0,1.0,0.0,0.4734161508276359,0.41124898887648675,0.11533486029587738
,en contra,0.4590009932915965,0.3982770476631806,0.1427219590452237,0.3747713748855233,0.3666046951860184,0.2586239299284583,1.0,0.0,0.0,0.466592978477579,0.38603354684897834,0.14737347467344258
,a favor,0.8477708523257842,0.1325092772151446,0.0197198704590725,0.7499375125393101,0.2128771236083007,0.0371853638523891,1.0,0.0,0.0,0.6918842894772036,0.23763431093970394,0.0704813995830925
,a favor,0.6046376564945242,0.3170604151989128,0.0783019283065598,0.537074308050876,0.3583701113728905,0.1045555805762333,0.0,1.0,0.0,0.5339522653215855,0.35324098139796195,0.1128067532804526
,neutro,0.5167588791658284,0.3739249177476463,0.1093162030865249,0.4341236456900923,0.4118315862168878,0.1540447680930195,0.0,1.0,0.0,0.47004305927708256,0.40316825603804274,0.12678868468487464
,en contra,0.5511240505286344,0.3429104684913462,0.1059654809800177,0.552580576281404,0.302004609068885,0.145414814649711,0.0,1.0,0.0,0.5321763233657923,0.3370810148514524,0.13074266178275518
,a favor,0.7454536609181652,0.2080881937068998,0.0464581453749356,0.784946782676208,0.1722216034976342,0.0428316138261575,1.0,0.0,0.0,0.6242815074726653,0.2763884849206213,0.09933000760671339
,a favor,0.7914605998213456,0.1949571655972989,0.0135822345813538,0.7020592229570546,0.2719778236000501,0.025962953442895,1.0,0.0,0.0,0.6082778943863686,0.29880907307481575,0.09291303253881562
,a favor,0.8130493975864832,0.1680034913038669,0.01894711110965,0.8942475289079171,0.1011225923201365,0.0046298787719463,1.0,0.0,0.0,0.8796870908094565,0.0946582325871146,0.025654676603428916
,a favor,0.6196842597656311,0.2968136700183396,0.0835020702160298,0.6464599935896265,0.2770768729796814,0.0764631334306921,1.0,0.0,0.0,0.5952143400904706,0.2997905978071027,0.10499506210242661
,a favor,0.8412019693449097,0.1239533018111171,0.0348447288439725,0.4428664218914626,0.0866252203214886,0.4705083577870487,1.0,0.0,0.0,0.7392894487518048,0.1324767838129418,0.12823376743525347
,a favor,0.6617604310013003,0.2481876104178305,0.0900519585808697,0.7191541299397722,0.1882250966818456,0.0926207733783824,1.0,0.0,0.0,0.6557359773123709,0.23874177251446516,0.10552225017316391
,a favor,0.7633051165988443,0.214472076072421,0.0222228073287345,0.7317283836443996,0.2629227176550743,0.0053488987005261,1.0,0.0,0.0,0.6533120852254479,0.29584541443978474,0.05084250033476728
,a favor,0.4690767360430722,0.4603523125738341,0.0705709513830922,0.2827881417749465,0.6688256528509418,0.0483862053741117,0.0,1.0,0.0,0.3587172031503971,0.5480382954069607,0.09324450144264218
,a favor,0.7562409829234154,0.1963911795113538,0.04736783756523,0.7238194734942635,0.1785866949089861,0.0975938315967507,1.0,0.0,0.0,0.6819427047845706,0.20979576829831745,0.10826152691711197
,en contra,0.7288310351906494,0.227809107559249,0.043359857250101,0.6808693416316776,0.1989725001860445,0.1201581581822781,1.0,0.0,0.0,0.6640349949150557,0.22760353500603173,0.10836147007891259
,en contra,0.4652163630928519,0.4859301720934106,0.0488534648137367,0.2453319803738634,0.7314541565613645,0.023213863064772,0.0,1.0,0.0,0.31962399405872144,0.5932973672066629,0.08707863873461566
,neutro,0.7073457402009431,0.2390728463932621,0.0535814134057952,0.6858878334631595,0.224233272059788,0.0898788944770524,1.0,0.0,0.0,0.6780493626705063,0.22877031034333473,0.09318032698615898
,a favor,0.7818209177806655,0.1754419477666162,0.0427371344527183,0.7970831189027859,0.167947296591806,0.0349695845054078,1.0,0.0,0.0,0.7426021358283862,0.1861689186973118,0.07122894547430204
,a favor,0.6771721804138215,0.2795267027106548,0.0433011168755247,0.711360866103365,0.2649073628025409,0.0237317710940939,1.0,0.0,0.0,0.7037459945142255,0.23314827599330912,0.06310572949246536
,en contra,0.8006921005362512,0.1736187112482556,0.0256891882154942,0.7104994760443856,0.2728894940476207,0.0166110299079936,1.0,0.0,0.0,0.6384630051355573,0.2869219135067896,0.0746150813576531
,en contra,0.8283069110819576,0.1519724580916218,0.01972063082642,0.7272913919157883,0.2508429786999661,0.0218656293842457,1.0,0.0,0.0,0.7611960921650094,0.18063753581172867,0.05816637202326193
,a favor,0.6084305745537378,0.2898185554300147,0.1017508700162484,0.4555028484536809,0.2885183167289118,0.2559788348174073,0.0,0.0,1.0,0.503726361796808,0.34256316622899835,0.1537104719741937
,a favor,0.7173204265543964,0.242481866198992,0.0401977072466099,0.6084509570589788,0.324162137001871,0.06738690593915,0.0,1.0,0.0,0.5381560643802104,0.35766771409801207,0.1041762215217776
,a favor,0.596448779181577,0.3103668150171892,0.0931844058012335,0.613039143659917,0.3045686839041172,0.0823921724359658,1.0,0.0,0.0,0.5675581039985134,0.3275600473325322,0.10488184866895443
,a favor,0.6001142622029697,0.275689207294041,0.1241965305029904,0.5029668962072232,0.1570433825284141,0.3399897212643631,1.0,0.0,0.0,0.6309336522731168,0.23169431745618801,0.13737203027069514
,a favor,0.6687373368426773,0.2761941293612369,0.0550685337960857,0.6576405478562689,0.3148565445528997,0.0275029075908316,1.0,0.0,0.0,0.584697115834113,0.3372615842646303,0.07804129990125669
,en contra,0.6345808994268176,0.2687050281435725,0.0967140724296096,0.6499715035349855,0.185565663084225,0.1644628333807897,1.0,0.0,0.0,0.675370793994872,0.21582713691181277,0.10880206909331529
,a favor,0.5796394661389072,0.3178193161755291,0.1025412176855631,0.574697686760908,0.3240715487002181,0.101230764538874,1.0,0.0,0.0,0.5352109111489458,0.3485607149466796,0.11622837390437453
,a favor,0.6121053435105247,0.2863598853310105,0.1015347711584632,0.5172687255732742,0.2369142626620617,0.2458170117646638,0.0,0.0,1.0,0.5727656261492768,0.2920161385580422,0.13521823529268093
,en contra,0.6104750787399955,0.3560306501187959,0.0334942711412077,0.1899145205394886,0.7791367875289471,0.0309486919315639,1.0,0.0,0.0,0.22018222685604177,0.6918409433297382,0.08797682981422
,a favor,0.7031597601095189,0.2223585553411213,0.0744816845493612,0.6725391774784725,0.1939514854572263,0.1335093370643012,1.0,0.0,0.0,0.6769278013888367,0.21771659963316406,0.10535559897799934
,a favor,0.5738412129395777,0.3350839776592841,0.0910748094011371,0.4973084610023449,0.3788310371771639,0.1238605018204916,0.0,1.0,0.0,0.5191801757431128,0.36045784142659887,0.12036198283028837
,neutro,0.4617930686541688,0.3673488348159019,0.1708580965299312,0.5158375727465877,0.3508331620761755,0.1333292651772366,1.0,0.0,0.0,0.511499008376459,0.35771792506658123,0.13078306655695976
,a favor,0.65749675765846,0.2712018982142028,0.0713013441273374,0.7693103448177336,0.1935276509181585,0.0371620042641078,1.0,0.0,0.0,0.7571683315236468,0.18070056846804475,0.062131100008308474
,a favor,0.7115207211348425,0.2541730103086844,0.0343062685564719,0.5997270920275707,0.3276951118483179,0.0725777961241114,0.0,1.0,0.0,0.5287114510198496,0.359388694479833,0.11189985450031725
