tweet_translated_tokenized,sentiment,NB,SVM,DF,MaxEnt
"['yugoslava', 'gagueando', 'josepulido', 'poeteca', 'maqroll', 'ah', 'beautiful', 'must', 'something', 'already', 'organized']",Positivo,Positivo,Positivo,Positivo,Negativo
"['yugoslava', 'gagueando', 'josepulido', 'also', 'want', 'let', 'make', 'reading', 'circle']",Positivo,Negativo,Negativo,Negativo,Negativo
"['gagueando', 'yugoslava', 'josepulido', 'dalila', 'make', 'cry', 'delilah']",Negativo,Negativo,Negativo,Negativo,Negativo
"['neither', 'national', 'police', 'long', 'etceteras']",Negativo,Negativo,Negativo,Negativo,Negativo
['lalauraguevara'],Negativo,Negativo,Negativo,Negativo,Negativo
"['che', 'rule', 'hahahahaha']",Negativo,Negativo,Negativo,Negativo,Negativo
"['che', 'hater', 'well']",Negativo,Negativo,Positivo,Positivo,Negativo
"['need', 'help', 'take', 'care', 'health', 'friend', 'toticasanova', 'image', 'options', 'available', 'assist', 'recovery']",Positivo,Positivo,Positivo,Positivo,Positivo
"['helecarpio', 'uff', 'good', 'wanna']",Positivo,Positivo,Positivo,Positivo,Positivo
"['danielsalazar', 'transfer']",Negativo,Positivo,Positivo,Positivo,Negativo
"['centrogabo', 'oscarmedina']",Negativo,Negativo,Negativo,Negativo,Negativo
"['regardless', 'results', 'beautiful', 'democracy']",Positivo,Positivo,Positivo,Positivo,Positivo
"['good', 'news', 'line', 'put', 'personalism', 'authoritarianism', 'done', 'much', 'damage']",Negativo,Positivo,Positivo,Positivo,Positivo
"['ligiabolivar', 'maoliscastro', 'thank', 'dear', 'ligia', 'also', 'honor', 'maolis']",Positivo,Positivo,Positivo,Positivo,Positivo
"['denmark', 'kill', 'million', 'minks', 'coronavirus', 'mutation', 'spreads', 'humans']",Negativo,Negativo,Negativo,Negativo,Negativo
"['chanel', 'andreinaclo']",Negativo,Negativo,Negativo,Negativo,Negativo
"['danielajtb', 'chiguirebipolar', 'hahaha']",Positivo,Positivo,Positivo,Positivo,Positivo
"['dictatorship', 'loose', 'bow']",Negativo,Negativo,Negativo,Negativo,Negativo
"['oscarmedina', 'drops', 'hyaluronic', 'acid']",Negativo,Negativo,Negativo,Negativo,Negativo
"['maiskell', 'pressfreedom', 'days', 'gone']",Negativo,Negativo,Negativo,Negativo,Negativo
"['venezuelan', 'intelligence', 'service', 'raids', 'daily', 'correo', 'del', 'caroní', 'detains', 'employees', 'via', 'pressfreedom']",Positivo,Negativo,Negativo,Positivo,Negativo
"['relentless', 'harassment', 'correo', 'del', 'caroní', 'able', 'silence', 'la', 'soyarepita', 'del', 'octubre']",Negativo,Negativo,Negativo,Negativo,Negativo
"['marcosdavidv', 'mramirezcabello']",Negativo,Negativo,Negativo,Negativo,Negativo
[],Negativo,Negativo,Negativo,Negativo,Negativo
"['tv', 'monica', 'right', 'monica']",Negativo,Negativo,Negativo,Negativo,Negativo
"['informarnoesdelito', 'enough', 'persecution', 'press']",Negativo,Negativo,Negativo,Negativo,Negativo
"['mramirezcabello', 'always', 'smart', 'reporter', 'accurate', 'committed', 'diligent', 'fair', 'minded', 'tenacious', 'informarnoesdelito', 'journalism', 'crime', 'harassment', 'correodelcaroni', 'team', 'continues']",Positivo,Positivo,Positivo,Negativo,Negativo
"['fabianantonio', 'good', 'guy']",Positivo,Positivo,Positivo,Positivo,Positivo
['informarnoesdelito'],Negativo,Negativo,Negativo,Negativo,Negativo
"['follow', 'raid', 'newsroom', 'correodelcaroni', 'place', 'many', 'complaints', 'made', 'many', 'stories', 'told', 'one', 'courier', 'house', 'ideas']",Negativo,Negativo,Negativo,Negativo,Negativo
"['injustice', 'nisbel', 'many', 'sidoristas', 'gave', 'lives', 'health', 'steelmaker']",Negativo,Negativo,Negativo,Negativo,Negativo
"['another', 'arbitrary', 'illegal', 'unfair', 'action', 'freedom', 'press', 'expression', 'way', 'one', 'many', 'correodelcaroni']",Negativo,Negativo,Negativo,Positivo,Negativo
"['rmtf', 'smile']",Positivo,Negativo,Negativo,Negativo,Negativo
"['moralexis', 'ecsucabg', 'signing']",Negativo,Negativo,Negativo,Negativo,Negativo
['miss'],Negativo,Positivo,Positivo,Negativo,Negativo
"['jordy', 'like', 'put', 'middle', 'names', '👌🏻']",Positivo,Negativo,Negativo,Positivo,Negativo
"['first', 'harassment', 'david', 'natera', 'multiple', 'varied', 'including', 'conviction', 'defamation', 'silence', 'free', 'press', 'informarnoesdelito']",Negativo,Negativo,Negativo,Negativo,Negativo
['informarnoesdelito'],Negativo,Negativo,Negativo,Negativo,Negativo
"['franciscowestal', 'great']",Positivo,Positivo,Positivo,Positivo,Positivo
"['little', 'tears', 'rage', 'hahahaha']",Negativo,Negativo,Negativo,Negativo,Negativo
"['weird', 'congratulations', 'verolerolero']",Positivo,Positivo,Negativo,Positivo,Negativo
"['important', 'organization', 'defense', 'human', 'rights', 'region', 'let', 'many', 'codehciu']",Positivo,Negativo,Negativo,Negativo,Negativo
"['ah', 'well', 'comrade', 'changed', 'mind']",Positivo,Positivo,Positivo,Positivo,Negativo
"['huérfanosdelasalud', 'tells', 'neonatal', 'teams', 'status', 'vaccine', 'cold', 'chain', 'availability', 'infant', 'antibiotics', 'partial', 'justice', 'chaotic', 'state', 'emergency', 'nutritional', 'recovery', 'centers', 'nothing', 'changed']",Negativo,Negativo,Negativo,Positivo,Negativo
"['four', 'years', 'later', 'another', 'collaboration', 'allows', 'us', 'say', 'stop', 'disappearances', 'became', 'method', 'silence', 'incubate', 'fear', 'southern', 'municipalities']",Negativo,Negativo,Negativo,Negativo,Negativo
['maribelastrid'],Negativo,Negativo,Negativo,Negativo,Negativo
"['melaperezarias', 'rodcasares', 'jajajajaja']",Negativo,Negativo,Negativo,Negativo,Negativo
"['rodcasares', 'melaperezarias', 'epa', 'epa', 'cheese', 'patties', 'best']",Positivo,Negativo,Negativo,Positivo,Negativo
['camilagon'],Negativo,Negativo,Negativo,Negativo,Negativo
"['camilagon', 'clavetas', 'best', 'time']",Positivo,Positivo,Positivo,Positivo,Negativo
"['jcrutchmer', 'moralexis']",Negativo,Negativo,Negativo,Negativo,Negativo
"['anything', 'liters', 'rationed', 'gasoline', 'mortadelas', 'russian', 'vaccines', 'electoral', 'offer', 'maduro', 'amp', 'co']",Negativo,Negativo,Negativo,Negativo,Negativo
"['marcelaturati', 'gi', 'toc', 'esp', 'okas', 'going']",Negativo,Negativo,Negativo,Negativo,Negativo
"['soyarepita', 'thanks', 'super', 'pfcontrerasv', 'excellent', 'tool', 'room', 'newsletter']",Positivo,Positivo,Positivo,Positivo,Positivo
"['gi', 'toc', 'esp', 'super', 'tutor', 'marcelaturati']",Positivo,Negativo,Negativo,Negativo,Negativo
"['gi', 'toc', 'esp', 'thank', 'guidance', 'support', 'support']",Positivo,Positivo,Positivo,Positivo,Positivo
"['years', 'format', 'many', 'people', 'whatsapp', 'inform', 'infopublicave', 'works', 'thanks', 'work', 'dozens', 'venezuelan', 'media', 'journalists', 'street', 'community', 'wants', 'seeks', 'better', 'informed']",Positivo,Positivo,Positivo,Positivo,Positivo
"['🇨🇺', '👇🏻']",Negativo,Negativo,Negativo,Negativo,Negativo
"['soyarepita', 'tripadvisor', 'heart', 'piu']",Positivo,Positivo,Positivo,Negativo,Negativo
"['ajcaleca', 'andrés', 'look', 'wonder', 'macagua']",Negativo,Positivo,Negativo,Negativo,Negativo
['october'],Negativo,Negativo,Negativo,Negativo,Negativo
"['oscarmedina', 'fundaciongabo', 'centrogabo', 'know', 'xd']",Negativo,Negativo,Negativo,Negativo,Negativo
['danielsalazar'],Negativo,Positivo,Positivo,Positivo,Negativo
"['fundaciongabo', 'centrogabo', 'cc', 'oscarmedina']",Negativo,Negativo,Negativo,Negativo,Negativo
['danielsalazar'],Negativo,Positivo,Positivo,Positivo,Negativo
"['odelopez', 'ivanzambrano', 'take']",Negativo,Negativo,Negativo,Negativo,Negativo
"['cesar', 'augusto', 'painful', 'strong']",Positivo,Negativo,Positivo,Positivo,Negativo
"['ivanzambrano', 'odelopez']",Negativo,Negativo,Negativo,Negativo,Negativo
"['ivanzambrano', 'odelopez', 'playing', 'feelings']",Positivo,Negativo,Negativo,Negativo,Negativo
"['doritoribio', 'going', 'listen', 'today', 'report', 'preparing', 'coffee']",Negativo,Negativo,Negativo,Negativo,Negativo
"['petipuasaturno', 'ntn', 'communist', 'tendency', 'wtf']",Negativo,Negativo,Negativo,Negativo,Negativo
"['venezuela', 'shortages', 'prompt', 'wave', 'protests', 'across', 'country']",Negativo,Negativo,Negativo,Negativo,Negativo
"['people', 'defy', 'virus', 'repression', 'least', 'protests', 'yesterday', 'soyarepita', '👇🏻']",Negativo,Negativo,Negativo,Negativo,Negativo
['love'],Positivo,Positivo,Positivo,Positivo,Positivo
"['josebaig', 'pages']",Negativo,Negativo,Negativo,Negativo,Negativo
"['《my', 'life', 'future', 'us》cuchi', 'enola']",Negativo,Negativo,Negativo,Negativo,Negativo
"['alejandraimh', 'che', 'think', 'doctors', 'come', 'house']",Negativo,Negativo,Positivo,Negativo,Negativo
"['andreseloybello', 'laurahcastillo']",Negativo,Negativo,Negativo,Negativo,Negativo
"['laurahcastillo', 'well', 'yes', 'several', 'fulfilled', 'dream', 'rangel', 'gómez', 'wife', 'spent', 'millions', 'carnivals', 'presided', 'comparsas', 'luis', 'motta', 'dominguez', 'diving', 'guri', 'justo', 'noguera', 'put', 'horses', 'planted', 'sunflowers', 'sidor', 'estate', 'rangel', 'made', 'bolívar', 'fund', 'etc']",Positivo,Negativo,Negativo,Positivo,Negativo
"['carloscortesk', 'jvsebastia', 'route', 'maribelastrid']",Negativo,Negativo,Negativo,Negativo,Negativo
"['naldoxx', 'vivirmejor', 'botticello']",Negativo,Negativo,Negativo,Negativo,Negativo
"['naldoxx', 'vivirmejor', 'love', 'sette']",Positivo,Positivo,Positivo,Positivo,Positivo
"['vasilco', 'philgunson', 'sorry', 'vane', 'love', 'hug']",Positivo,Positivo,Positivo,Positivo,Positivo
"['gagueando', 'fertineo', 'go', 'soundtrack', 'put', 'together', 'weekly', 'summary', 'soyarepita']",Negativo,Negativo,Negativo,Negativo,Negativo
"['fertineo', 'listen', 'golden', 'sumblers', 'courtesy', 'gagueando']",Positivo,Negativo,Negativo,Negativo,Negativo
"['fertineo', 'suspiro']",Negativo,Negativo,Negativo,Negativo,Negativo
['days'],Negativo,Negativo,Negativo,Negativo,Negativo
"['carolina', 'carlosi', 'suarez', 'thank', 'evelin']",Positivo,Positivo,Positivo,Positivo,Negativo
"['laurahcastillo', 'would', 'say', 'barquisimeto', 'siiiieeeecará']",Negativo,Positivo,Positivo,Positivo,Negativo
"['consolidated', 'report', 'detainees', 'yaracuy']",Negativo,Negativo,Negativo,Negativo,Negativo
"['carlosi', 'suarez', 'another', 'question', 'repression', 'continuing', 'time']",Negativo,Negativo,Negativo,Negativo,Negativo
"['carlosi', 'suarez', 'thank', 'much']",Positivo,Positivo,Positivo,Positivo,Positivo
"['hello', 'carlosi', 'suarez', 'protests', 'yaracuy', 'repressed', 'thousand', 'thanks']",Negativo,Positivo,Positivo,Positivo,Negativo
"['aglaia', 'berlutti']",Negativo,Negativo,Negativo,Negativo,Negativo
"['elfaro', 'ready']",Positivo,Positivo,Positivo,Positivo,Negativo
"['tochekarla', '👌🏻', 'force']",Positivo,Negativo,Negativo,Negativo,Negativo
"['lepassionfruit', 'congratulations', 'ori']",Positivo,Positivo,Negativo,Positivo,Negativo
"['soystef', 'anymore', 'haha', '\u200b\u200b']",Positivo,Positivo,Negativo,Positivo,Negativo
"['soystef', 'ay', 'make', 'essssto']",Negativo,Negativo,Negativo,Negativo,Negativo
"['years', 'without', 'water', 'roscio', 'el', 'callao']",Negativo,Negativo,Negativo,Positivo,Negativo
"['carlosnarvaez', 'send', 'us', 'photo']",Negativo,Negativo,Negativo,Negativo,Negativo
"['neighbors', 'organized', 'throughout', 'ciudad', 'guayana', 'breaking', 'silence', 'protesting', 'rights', 'basic', 'water']",Negativo,Negativo,Negativo,Positivo,Negativo
"['soyarepita', 'cecodap', 'ay', 'esas', 'patiiiicas']",Negativo,Negativo,Negativo,Negativo,Negativo
"['venezuelans', 'mines', 'today', 'hostages', 'system', 'owe', 'high', 'taxes', 'gold', 'leave', 'mine', 'may', 'able', 'return', 'pay', 'arrime', 'plan', 'stay', 'outside', 'may', 'survive', 'work']",Negativo,Negativo,Negativo,Negativo,Negativo
"['evolution', 'violence', 'sifontes', 'el', 'callao', 'five', 'years', 'perverse', 'test', 'balloon', 'organized', 'crime', 'penetrated', 'promoted', 'state', 'tourist', 'whereabouts', 'carnival', 'party', 'war', 'zone', 'going', 'recover', 'south', 'country']",Negativo,Negativo,Negativo,Negativo,Negativo
"['consejomanoa', 'andreinaclo', 'everything', 'makes', 'sense']",Negativo,Negativo,Negativo,Negativo,Negativo
"['whole', 'system', 'made', 'rule', 'slave', 'labor', 'barely', 'produce', 'compared', 'big', 'machines', 'safety', 'health', 'conditions', 'makes', 'believe', 'independent', 'workers', 'fact', 'work', 'government']",Positivo,Negativo,Negativo,Negativo,Negativo
"['miners', 'arco', 'minero', 'work', 'regime', 'practice', 'slavery', 'one', 'hand', 'government', 'legalizes', 'extorts', 'imposes', 'taxes', 'fanb', 'collects', 'allows', 'violence', 'detains', 'according', 'power', 'group', 'duty', 'area']",Negativo,Negativo,Negativo,Negativo,Negativo
"['strange', 'thing', 'city', 'rivers', 'without', 'water', '👇🏻']",Negativo,Positivo,Positivo,Positivo,Negativo
"['jairoguitarreao', 'teodardoporrasc', 'gobjustonoguera', 'seen', 'aqueduct', 'water', 'treatment', 'plants', 'please']",Positivo,Positivo,Positivo,Positivo,Negativo
"['elias', 'rivas', 'become', 'brother']",Negativo,Negativo,Negativo,Negativo,Negativo
"['verolerolero', 'going']",Negativo,Negativo,Negativo,Negativo,Negativo
"['rangel', 'gómez', 'deleted', 'twitter', 'account', 'teófilo', 'león', 'teodardoporrasc', 'francisco', 'castillo', 'gobjustonoguera', 'maybe', 'explain', 'happened', 'bolívarsinagua']",Negativo,Negativo,Negativo,Negativo,Negativo
"['knocked', 'door', 'house', 'jose', 'johandris', 'slept', 'stripped', 'naked', 'put', 'knees', 'hands', 'heads', 'shot', 'chest', 'stomach', 'accuse', 'faes', 'barrancas', 'marched', 'photos', 'wruh']",Negativo,Negativo,Negativo,Negativo,Negativo
"['luzmelyreyes', 'pmarcano', 'xabiercosco', 'tipaza']",Negativo,Negativo,Negativo,Negativo,Negativo
"['women', 'worldwide', 'nearly', 'times', 'likely', 'men', 'report', 'mental', 'health', 'impact', 'covid']",Negativo,Negativo,Negativo,Negativo,Negativo
"['oliviadelv', 'strong']",Positivo,Negativo,Negativo,Negativo,Negativo
"['stepozzebon', 'doritoribio', 'espresso', 'sorry', 'disappoint', '🙃😬', 'still', 'love']",Negativo,Negativo,Negativo,Positivo,Negativo
"['doritoribio', 'va']",Negativo,Negativo,Negativo,Negativo,Negativo
['hostage'],Negativo,Negativo,Negativo,Negativo,Negativo
"['fabiolaferrero', 'fabchinalatam', 'te', 'quiiiiieeero']",Negativo,Negativo,Negativo,Negativo,Negativo
"['fabiolaferrero', 'fabchinalatam', 'russia']",Negativo,Negativo,Negativo,Negativo,Negativo
"['xabiercosco', 'yes']",Positivo,Positivo,Positivo,Positivo,Negativo
"['reports', 'forced', 'disappearances', 'barrancas', 'el', 'callao', 'tumeremo', 'three', 'weeks', 'officials', 'also', 'entered', 'town', 'excuse', 'supposed', 'operations', 'running', 'community']",Negativo,Negativo,Negativo,Negativo,Negativo
"['omairalabradorm', 'dear', 'omaira', 'hug', 'let', 'one', 'take', 'away', 'good', 'mood', 'always']",Positivo,Positivo,Positivo,Positivo,Positivo
"['water', 'gas', 'electricity', 'happens', 'ciudad', 'guayana', 'reality', 'venezuela']",Negativo,Negativo,Negativo,Positivo,Negativo
"['bolívar', 'state', 'two', 'large', 'rivers', 'running', 'water', 'increasingly', 'scarce', 'look', 'excellent', 'documentary', 'work', 'wruh']",Positivo,Negativo,Positivo,Positivo,Negativo
"['corner', 'venezuela', 'cry', 'water', 'among', 'services', 'caracas', 'la', 'vega', 'parish', 'procession', 'begins', 'tomorrow']",Negativo,Negativo,Positivo,Positivo,Negativo
"['anacastro', 'mariais', 'isazuleta', 'festivalesgt', 'casaartesana', 'inisinaloa', 'eldanteaguiler', 'thanks', 'ana', 'support', 'company', 'entire', 'gi', 'toc', 'team', 'helps', 'us', 'put', 'light', 'focus', 'urgent', 'issue']",Positivo,Positivo,Positivo,Positivo,Positivo
"['children', 'condition', 'malnutrition', 'first', 'operation', 'one', 'femur', 'fracture']",Negativo,Negativo,Negativo,Negativo,Negativo
"['pableostos', 'ctesare', 'sadness']",Negativo,Negativo,Negativo,Negativo,Negativo
"['lodiceruben', 'daniel', 'give', 'password', 'lorearraiz']",Negativo,Positivo,Negativo,Negativo,Negativo
"['darielasosa', 'moralexis']",Negativo,Negativo,Negativo,Negativo,Negativo
"['‘el', 'dolor’', 'marguerite', 'duras', 'orinoco', 'mining', 'arc', 'milagros', 'urbano', 'fosasdelsilencio', 'sonindelebles']",Negativo,Negativo,Negativo,Negativo,Negativo
"['naky', 'little', 'abnormality', 'un', 'report', 'two', 'little', 'details']",Negativo,Negativo,Negativo,Negativo,Negativo
"['jose', 'escolano', 'imagine', 'must', 'less', 'like', 'like', 'bs', 'ticket', 'bounces', 'truck']",Positivo,Negativo,Negativo,Positivo,Negativo
"['lourdesjm', 'hahahahahahaha']",Negativo,Negativo,Negativo,Negativo,Negativo
"['secretary', 'citizen', 'security', 'psuv', 'ciudad', 'guayana', 'complains', 'farmatodo', 'accept', 'old', 'dollar', 'bill']",Positivo,Negativo,Negativo,Negativo,Negativo
"['naky', 'part']",Negativo,Negativo,Positivo,Negativo,Negativo
"['oscarmedina', 'fabiolaferrero', 'che', 'panama', 'papers']",Negativo,Negativo,Negativo,Negativo,Negativo
"['sicvonia', 'che', 'exact', '👌🏻']",Positivo,Negativo,Negativo,Negativo,Negativo
"['fabiolaferrero', 'che', 'well', 'sell', 'hahaha', 'give', 'directions', 'get', 'similar', 'ones']",Positivo,Positivo,Positivo,Positivo,Positivo
"['che', 'talk', 'veve']",Negativo,Negativo,Negativo,Negativo,Negativo
"['please', 'work', 'safety', 'implements']",Positivo,Positivo,Negativo,Positivo,Negativo
"['jpmorgan', 'largest', 'bank', 'based', 'united', 'states', 'moved', 'money', 'people', 'companies', 'tied', 'massive', 'looting', 'public', 'funds', 'malaysia', 'venezuela', 'ukraine', 'leaked', 'documents', 'reveal']",Positivo,Negativo,Negativo,Negativo,Negativo
['visit'],Negativo,Negativo,Negativo,Negativo,Negativo
"['rafaelaroot', 'maiskell']",Negativo,Negativo,Negativo,Negativo,Negativo
"['«pearls»', 'jorge', 'arreaza', 'tarek', 'william', 'saab', '«disassembling»', 'un', 'report']",Negativo,Negativo,Negativo,Positivo,Negativo
"['gedv', 'friend', 'beautiful']",Positivo,Positivo,Positivo,Positivo,Positivo
"['gabomaestracci', 'yenifervannesa', 'oh', 'anymore']",Negativo,Negativo,Negativo,Positivo,Negativo
"['need', 'repair', 'charging', 'pin', 'xiaomi', 'phone', 'puerto', 'ordaz', 'make', 'ok', 'recommend', 'thanks']",Positivo,Negativo,Positivo,Positivo,Negativo
"['urgent', 'please', 'blood', 'donors', 'caracas', 'mr', 'josé']",Positivo,Positivo,Positivo,Positivo,Positivo
"['helecarpio', 'journey', 'looking', 'archive', 'images', 'painful', 'movie', 'report', 'much', 'missing']",Negativo,Positivo,Positivo,Positivo,Negativo
"['ivanereyes', 'naky', 'leave', 'lol']",Positivo,Positivo,Positivo,Negativo,Negativo
