tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized
"Rubio da un verdadero espectáculo argumentativo que explica porque las comunidades latinas de la Florida votan (y seguirán votando) Republicano.  Una clase magistral para tibios y electoralistas que se resume en un principio básico: las dictaduras no se condenan, se confrontan.","['rubio', 'da', 'verdadero', 'espectáculo', 'argumentativo', 'explica', 'comunidades', 'latinas', 'florida', 'votan', 'seguirán', 'votando', 'republicano', 'clase', 'magistral', 'tibios', 'electoralistas', 'resume', 'principio', 'básico', 'dictaduras', 'condenan', 'confrontan']","Rubio puts on a true argumentative show that explains why Florida's Latino communities vote (and will continue to vote) Republican. A master class for lukewarm and electoralists that is summarized in a basic principle: dictatorships are not condemned, they are confronted.","['rubio', 'puts', 'true', 'argumentative', 'show', 'explains', 'florida', 'latino', 'communities', 'vote', 'continue', 'vote', 'republican', 'master', 'class', 'lukewarm', 'electoralists', 'summarized', 'basic', 'principle', 'dictatorships', 'condemned', 'confronted']"
"@Verochop Ya va un rato que tienen mal ""timing"", la verdad.","['verochop', 'va', 'rato', 'mal', 'timing', 'verdad']","@Verochop It's been a while since they have bad timing, really.","['verochop', 'since', 'bad', 'timing', 'really']"
@MarcusRashford @England The youngest person ever to become a legend. Nothing but respect!,"['marcusrashford', 'england', 'the', 'youngest', 'person', 'ever', 'to', 'become', 'legend', 'nothing', 'but', 'respect']",@MarcusRashford @England The youngest person ever to become a legend. Nothing but respect!,"['marcusrashford', 'england', 'youngest', 'person', 'ever', 'become', 'legend', 'nothing', 'respect']"
"Persona que celebra detenciones arbitrarias de disidentes al régimen persona que merece mil años de tiranía  Solidaridad con Guaidó, Guevara, y sobre todo con sus familias, que a muchos se les olvida los cientos de chamos que han crecido con padres tras rejas por pensar distinto.","['persona', 'celebra', 'detenciones', 'arbitrarias', 'disidentes', 'régimen', 'persona', 'merece', 'mil', 'años', 'tiranía', 'solidaridad', 'guaidó', 'guevara', 'familias', 'olvida', 'cientos', 'chamos', 'crecido', 'padres', 'tras', 'rejas', 'pensar', 'distinto']","Person who celebrates arbitrary arrests of dissidents to the regime person who deserves a thousand years of tyranny Solidarity with Guaidó, Guevara, and especially with their families, who many forget the hundreds of kids who have grown up with parents behind bars for thinking differently.","['person', 'celebrates', 'arbitrary', 'arrests', 'dissidents', 'regime', 'person', 'deserves', 'thousand', 'years', 'tyranny', 'solidarity', 'guaidó', 'guevara', 'especially', 'families', 'many', 'forget', 'hundreds', 'kids', 'grown', 'parents', 'behind', 'bars', 'thinking', 'differently']"
@redsoxstats @GTAveledo   Our best OF since... A long time ago.,"['redsoxstats', 'gtaveledo', 'our', 'best', 'of', 'since', 'long', 'time', 'ago']",@redsoxstats @GTAveledo   Our best OF since... A long time ago.,"['redsoxstats', 'gtaveledo', 'best', 'since', 'long', 'time', 'ago']"
@HenkelGarcia Me suena a Smith. A la gente se le olvida que los grandes pensadores no suelen ser maximalistas.,"['henkelgarcia', 'suena', 'smith', 'gente', 'olvida', 'grandes', 'pensadores', 'suelen', 'ser', 'maximalistas']",@HenkelGarcia Sounds like Smith to me. People forget that great thinkers are rarely maximalists.,"['henkelgarcia', 'sounds', 'like', 'smith', 'people', 'forget', 'great', 'thinkers', 'rarely', 'maximalists']"
@egodial @causalinf You are in for a treat.,"['egodial', 'causalinf', 'you', 'are', 'in', 'for', 'treat']",@egodial @causalinf You are in for a treat.,"['egodial', 'causalinf', 'treat']"
"Media familia con el virus éste (que ya ni nombrarlo quiero) y solo a mí se me ocurre chocar el único carro de la casa.  Firmando la peor semanita en años; de verdad cuándo las vainas vienen vienen juntas.   Cuídense, y revísenle los frenos a sus carros.","['media', 'familia', 'virus', 'éste', 'nombrarlo', 'quiero', 'solo', 'ocurre', 'chocar', 'único', 'carro', 'casa', 'firmando', 'peor', 'semanita', 'años', 'verdad', 'cuándo', 'vainas', 'vienen', 'vienen', 'juntas', 'cuídense', 'revísenle', 'frenos', 'carros']","Half a family with this virus (I don't even want to name it) and only I can think of crashing the only car in the house. Signing the worst week in years; really when pods come they come together. Take care, and check the brakes on your cars.","['half', 'family', 'virus', 'even', 'want', 'name', 'think', 'crashing', 'car', 'house', 'signing', 'worst', 'week', 'years', 'really', 'pods', 'come', 'come', 'together', 'take', 'care', 'check', 'brakes', 'cars']"
@endsequera @edgarjbb_ Que la última es la única worth? Se dice y no pasa nada.,"['endsequera', 'edgarjbb', 'última', 'única', 'worth', 'dice', 'pasa']",@endsequera @edgarjbb_ That the last one is the only one worth? It is said and nothing happens.,"['endsequera', 'edgarjbb', 'last', 'one', 'one', 'worth', 'said', 'nothing', 'happens']"
@edgarjbb_ Puro bait.,"['edgarjbb', 'puro', 'bait']",@edgarjbb_ Puro bait.,"['edgarjbb', 'puro', 'bait']"
@MenezRM a,['menezrm'],@MenezRM a,['menezrm']
"Qué luto cuando se acabe esta Euro, estos umbrales de emoción cómo cuesta conseguirlos. Mamita.","['luto', 'acabe', 'euro', 'umbrales', 'emoción', 'cómo', 'cuesta', 'conseguirlos', 'mamita']","What a mourning when this Euro runs out, these thresholds of emotion how hard it is to get them. Mommy.","['mourning', 'euro', 'runs', 'thresholds', 'emotion', 'hard', 'get', 'mommy']"
@Aitoronja basta,"['aitoronja', 'basta']",@Aitoronja is enough,"['aitoronja', 'enough']"
"@Porulet @MendezJvan @Alessandrxo Conservadurismo y liberalismo no son polos opuestos, ni en la práctica, ni en la teoría. El conservadurismo en tal caso es opuesto al progresismo.","['porulet', 'mendezjvan', 'alessandrxo', 'conservadurismo', 'liberalismo', 'polos', 'opuestos', 'práctica', 'teoría', 'conservadurismo', 'tal', 'caso', 'opuesto', 'progresismo']","@Porulet @MendezJvan @Alessandrxo Conservatism and liberalism are not polar opposites, neither in practice nor in theory. Conservatism in such a case is opposed to progressivism.","['porulet', 'mendezjvan', 'alessandrxo', 'conservatism', 'liberalism', 'polar', 'opposites', 'neither', 'practice', 'theory', 'conservatism', 'case', 'opposed', 'progressivism']"
@bostonrex Al que sepa aunque sea un pelo de cómo funciona la mente humana sabe que meterse con fanáticos es cuchillo pa' la garganta. Aquí y en Japón. Y además no es la primera vez... Es evidente que desea la atención.,"['bostonrex', 'sepa', 'aunque', 'pelo', 'cómo', 'funciona', 'mente', 'humana', 'sabe', 'meterse', 'fanáticos', 'cuchillo', 'pa', 'garganta', 'aquí', 'japón', 'además', 'primera', 'vez', 'evidente', 'desea', 'atención']","@bostonrex Anyone who knows even a hair of how the human mind works knows that messing with fans is a knife to the throat. Here and in Japan. And besides, it's not the first time ... Obviously he wants the attention.","['bostonrex', 'anyone', 'knows', 'even', 'hair', 'human', 'mind', 'works', 'knows', 'messing', 'fans', 'knife', 'throat', 'japan', 'besides', 'first', 'time', 'obviously', 'wants', 'attention']"
@TommArias @nenanotz_ @daveemp Maca,"['tommarias', 'nenanotz', 'daveemp', 'maca']",@TommArias @nenanotz_ @daveemp Maca,"['tommarias', 'nenanotz', 'daveemp', 'maca']"
@oriana_gv Lo que no existe no funciona 😔,"['oriana', 'gv', 'existe', 'funciona']",@oriana_gv What does not exist does not work 😔,"['oriana', 'gv', 'exist', 'work']"
"@soprano_35 @JoseA2410 Ah! Pensaba en jerarcas de la zona defensiva. En ese caso claro, la generación de las 4 en 5 luce irrepetible. Once in a lifetime.","['soprano', 'josea', 'ah', 'pensaba', 'jerarcas', 'zona', 'defensiva', 'caso', 'claro', 'generación', 'luce', 'irrepetible', 'once', 'in', 'lifetime']","@ soprano_35 @ JoseA2410 Ah! He was thinking of hierarchs in the defensive zone. In that clear case, the 4 in 5 generation looks unrepeatable. Once in a lifetime.","['soprano', 'josea', 'ah', 'thinking', 'hierarchs', 'defensive', 'zone', 'clear', 'case', 'generation', 'looks', 'unrepeatable', 'lifetime']"
"@soprano_35 @JoseA2410 No sé si Alaba sea inferior a Varane, eh. El plus de jugar de LI y de interior no te lo da Rapha.","['soprano', 'josea', 'sé', 'si', 'alaba', 'inferior', 'varane', 'eh', 'plus', 'jugar', 'li', 'interior', 'da', 'rapha']","@ soprano_35 @ JoseA2410 I don't know if Alaba is inferior to Varane, huh. The bonus of playing LI and indoors is not given by Rapha.","['soprano', 'josea', 'know', 'alaba', 'inferior', 'varane', 'huh', 'bonus', 'playing', 'li', 'indoors', 'given', 'rapha']"
@danielhtowers Anytime 😜,"['danielhtowers', 'anytime']",@danielhtowers Anytime 😜,"['danielhtowers', 'anytime']"
"@danielhtowers Lmao, básicamente porque el recorte del BTC no pegó tan fuerte a esas dos y probablemente puedan recuperar pronto sin depender de grandes alzas. Para largo, dependiendo de tu capital, siempre será negocio tener Eth y BTC.","['danielhtowers', 'lmao', 'básicamente', 'recorte', 'btc', 'pegó', 'tan', 'fuerte', 'dos', 'probablemente', 'puedan', 'recuperar', 'pronto', 'depender', 'grandes', 'alzas', 'largo', 'dependiendo', 'capital', 'siempre', 'negocio', 'tener', 'eth', 'btc']","@danielhtowers Lmao, basically because the BTC cut didn't hit those two that hard and they can probably recover soon without relying on big hikes. In the long run, depending on your capital, it will always be business to have Eth and BTC.","['danielhtowers', 'lmao', 'basically', 'btc', 'cut', 'hit', 'two', 'hard', 'probably', 'recover', 'soon', 'without', 'relying', 'big', 'hikes', 'long', 'run', 'depending', 'capital', 'always', 'business', 'eth', 'btc']"
"@danielhtowers Corto = esperar una buena subida del precio y vender. Largo = holdear un rato hasta que el rendimiento sea sustancioso. Pueden ser años, velo como reserva de valor más que inversión.  Descárgate CoinMarketCap, ahí puedes ver todos los rendimientos, poner alarmas de precio, etc.","['danielhtowers', 'corto', 'esperar', 'buena', 'subida', 'precio', 'vender', 'largo', 'holdear', 'rato', 'rendimiento', 'sustancioso', 'pueden', 'ser', 'años', 'velo', 'reserva', 'valor', 'inversión', 'descárgate', 'coinmarketcap', 'ahí', 'puedes', 'ver', 'rendimientos', 'poner', 'alarmas', 'precio', 'etc']","@danielhtowers Short = wait for a good price rise and sell. Long = hang around for a while until performance is substantial. It can be years, see it as a store of value rather than an investment. Download CoinMarketCap, there you can see all the returns, set price alarms, etc.","['danielhtowers', 'short', 'wait', 'good', 'price', 'rise', 'sell', 'long', 'hang', 'around', 'performance', 'substantial', 'years', 'see', 'store', 'value', 'rather', 'investment', 'download', 'coinmarketcap', 'see', 'returns', 'set', 'price', 'alarms', 'etc']"
"@danielhtowers Lo seguro a corto podría ser ADA o Matic, a largo Eth y BTC.","['danielhtowers', 'seguro', 'corto', 'podría', 'ser', 'ada', 'matic', 'largo', 'eth', 'btc']","@danielhtowers The safe short could be ADA or Matic, long Eth and BTC.","['danielhtowers', 'safe', 'short', 'could', 'ada', 'matic', 'long', 'eth', 'btc']"
@GTAveledo @egodial En... ¿todo sentido?,"['gtaveledo', 'egodial', '¿todo']",@GTAveledo @egodial In ... all sense?,"['gtaveledo', 'egodial', 'sense']"
"Una pesadilla que durará hasta saber que está bien, o no. Lo de Eriksen es la cosa más terrorífica que he visto pasar en cualquier deporte. Dolorosísimo.","['pesadilla', 'durará', 'saber', 'bien', 'eriksen', 'cosa', 'terrorífica', 'visto', 'pasar', 'cualquier', 'deporte', 'dolorosísimo']","A nightmare that will last until you know that it is okay, or not. The Eriksen thing is the scariest thing I've ever seen happen in any sport. Painful.","['nightmare', 'last', 'know', 'okay', 'eriksen', 'thing', 'scariest', 'thing', 'ever', 'seen', 'happen', 'sport', 'painful']"
@00cxcx00 lqm 🥺,"['cxcx', 'lqm']",@00cxcx00 lqm 🥺,"['cxcx', 'lqm']"
@annieperezp  https://t.co/ew7ZoM8FAk,['annieperezp'],@annieperezp https://t.co/ew7ZoM8FAk,['annieperezp']
"@annieperezp Yo sigo sin probar ese famoso Toddy, qué mangüangua.","['annieperezp', 'sigo', 'probar', 'famoso', 'toddy', 'mangüangua']","@annieperezp I still haven't tried that famous Toddy, what a mangüangua.","['annieperezp', 'still', 'tried', 'famous', 'toddy', 'mangüangua']"
"@felipetorresg Yep, y si no sportsbay salva la patria siempre.","['felipetorresg', 'yep', 'si', 'sportsbay', 'salva', 'patria', 'siempre']","@felipetorresg Yep, and if not, sportsbay always save the country.","['felipetorresg', 'yep', 'sportsbay', 'always', 'save', 'country']"
"@Nacho_Moniq (horarios de España, porsia jajajaj)","['nacho', 'moniq', 'horarios', 'españa', 'porsia', 'jajajaj']","@Nacho_Moniq (Spain timetables, porsia hahaha)","['nacho', 'moniq', 'spain', 'timetables', 'porsia', 'hahaha']"
@Nacho_Moniq  https://t.co/lINalpngcK,"['nacho', 'moniq']",@Nacho_Moniq https://t.co/lINalpngcK,"['nacho', 'moniq']"
"@SebasPelaezF Y, claro. Imposible perderse un juego del GENIO que es Moreno Martins.","['sebaspelaezf', 'claro', 'imposible', 'perderse', 'juego', 'genio', 'moreno', 'martins']","@SebasPelaezF And, of course. Impossible to miss a game of the GENIUS that is Moreno Martins.","['sebaspelaezf', 'course', 'impossible', 'miss', 'game', 'genius', 'moreno', 'martins']"
@felipetorresg El martes juega el grupo F. Yo pongo las birras.,"['felipetorresg', 'martes', 'juega', 'grupo', 'pongo', 'birras']",@felipetorresg Group F plays on Tuesday. I put the beers.,"['felipetorresg', 'group', 'plays', 'tuesday', 'put', 'beers']"
"Fútbol todo el día todos los días por dos semanas. No hay absolutamente nada que me quite el buen humor. Compré un vacío de Zulias para disfrutar todavía más. Vendrán pizzas cuando hayan juegazos.   Esta vaina es mi religión, mi astrología, el anti-mercurio retrógrado. Mes feliz.","['fútbol', 'día', 'días', 'dos', 'semanas', 'absolutamente', 'quite', 'buen', 'humor', 'compré', 'vacío', 'zulias', 'disfrutar', 'todavía', 'vendrán', 'pizzas', 'juegazos', 'vaina', 'religión', 'astrología', 'anti', 'mercurio', 'retrógrado', 'mes', 'feliz']","Soccer all day every day for two weeks. There is absolutely nothing that takes away my good humor. I bought a vacuum from Zulias to enjoy even more. Pizzas will come when they have great games. This pod is my religion, my astrology, anti-mercury retrograde. Happy month.","['soccer', 'day', 'every', 'day', 'two', 'weeks', 'absolutely', 'nothing', 'takes', 'away', 'good', 'humor', 'bought', 'vacuum', 'zulias', 'enjoy', 'even', 'pizzas', 'come', 'great', 'games', 'pod', 'religion', 'astrology', 'anti', 'mercury', 'retrograde', 'happy', 'month']"
@felipetorresg @adrienartez Pa que te digo que no si sí.,"['felipetorresg', 'adrienartez', 'pa', 'digo', 'si']","@felipetorresg @adrienartez Why do I say no, yes?","['felipetorresg', 'adrienartez', 'say', 'yes']"
@danielhtowers @marilgarciam @camilairimia @RicardoAveledo Planazo. Ahorro para el máster y aprendo a labrar la tierra at the same time.,"['danielhtowers', 'marilgarciam', 'camilairimia', 'ricardoaveledo', 'planazo', 'ahorro', 'máster', 'aprendo', 'labrar', 'tierra', 'at', 'the', 'same', 'time']",@danielhtowers @marilgarciam @camilairimia @RicardoAveledo Planazo. Saving for the master's degree and learning to till the land at the same time.,"['danielhtowers', 'marilgarciam', 'camilairimia', 'ricardoaveledo', 'planazo', 'saving', 'master', 'degree', 'learning', 'till', 'land', 'time']"
"@danielhtowers @marilgarciam @camilairimia @RicardoAveledo La verdad en este punto ya a mí me da igual. Si tengo que irme pa Teruel a sembrar olivos, será.   Sólo pido internet decente y no dejarme los ahorros en el techo :(","['danielhtowers', 'marilgarciam', 'camilairimia', 'ricardoaveledo', 'verdad', 'punto', 'da', 'igual', 'si', 'irme', 'pa', 'teruel', 'sembrar', 'olivos', 'sólo', 'pido', 'internet', 'decente', 'dejarme', 'ahorros', 'techo']","@danielhtowers @marilgarciam @camilairimia @RicardoAveledo The truth at this point I don't care. If I have to go to Teruel to plant olive trees, it will be. I only ask for decent internet and not leave the savings on the roof :(","['danielhtowers', 'marilgarciam', 'camilairimia', 'ricardoaveledo', 'truth', 'point', 'care', 'go', 'teruel', 'plant', 'olive', 'trees', 'ask', 'decent', 'internet', 'leave', 'savings', 'roof']"
@camilairimia @RicardoAveledo @danielhtowers Estaría allá hace rato pero primero la restricción a turistas y ahora solo vacunados. Más salao que la sirenita pues,"['camilairimia', 'ricardoaveledo', 'danielhtowers', 'allá', 'hace', 'rato', 'primero', 'restricción', 'turistas', 'ahora', 'solo', 'vacunados', 'salao', 'sirenita', 'pues']",@camilairimia @RicardoAveledo @danielhtowers I would be there for a while but first the restriction to tourists and now only vaccinated. More salao than the little mermaid well,"['camilairimia', 'ricardoaveledo', 'danielhtowers', 'would', 'first', 'restriction', 'tourists', 'vaccinated', 'salao', 'little', 'mermaid', 'well']"
"@fitzpleasurr Entiendo que es el feature que más les ha costado optimizar precisamente porque en general wire transfering es horrible. Peeero it's not scam, se que hay gente que la ha logrado.","['fitzpleasurr', 'entiendo', 'feature', 'costado', 'optimizar', 'precisamente', 'general', 'wire', 'transfering', 'horrible', 'peeero', 'it', 'not', 'scam', 'gente', 'logrado']","@fitzpleasurr I understand that it is the feature that has cost them the most to optimize precisely because in general wire transfering is horrible. But it's not scam, I know there are people who have succeeded.","['fitzpleasurr', 'understand', 'feature', 'cost', 'optimize', 'precisely', 'general', 'wire', 'transfering', 'horrible', 'scam', 'know', 'people', 'succeeded']"
"@RicardoAveledo @danielhtowers Un hilo de tips migratorios a Españita sería brutal. Aquí un lector, eh","['ricardoaveledo', 'danielhtowers', 'hilo', 'tips', 'migratorios', 'españita', 'brutal', 'aquí', 'lector', 'eh']","@RicardoAveledo @danielhtowers A thread of migratory tips to Spain would be brutal. Here a reader, huh","['ricardoaveledo', 'danielhtowers', 'thread', 'migratory', 'tips', 'spain', 'would', 'brutal', 'reader', 'huh']"
"@adrienartez @felipetorresg Semis. Carreados por Spinazzola y Barella, bambini.","['adrienartez', 'felipetorresg', 'semis', 'carreados', 'spinazzola', 'barella', 'bambini']","@adrienartez @felipetorresg Semis. Carreados por Spinazzola y Barella, children.","['adrienartez', 'felipetorresg', 'semis', 'carreados', 'por', 'spinazzola', 'barella', 'children']"
"@DankCAro @valentagil La restauración más rara de la historia, sería. La indignación me parece absolutamente justificada.","['dankcaro', 'valentagil', 'restauración', 'rara', 'historia', 'indignación', 'parece', 'absolutamente', 'justificada']","@DankCAro @valentagil The weirdest restoration ever, it would be. The outrage seems to me absolutely justified.","['dankcaro', 'valentagil', 'weirdest', 'restoration', 'ever', 'would', 'outrage', 'seems', 'absolutely', 'justified']"
@piedrerick @MotherFlowers @williedevilletv @pizpafun 'so ta listo compa,"['piedrerick', 'motherflowers', 'williedevilletv', 'pizpafun', 'so', 'ta', 'listo', 'compa']",@piedrerick @MotherFlowers @williedevilletv @pizpafun 'so ta listo compa,"['piedrerick', 'motherflowers', 'williedevilletv', 'pizpafun', 'ta', 'listo', 'compa']"
"@fitzpleasurr @soniastehoy Esta era mi pregunta. Tengo siglos esperando cita y simplemente asumí que no sirven, cómo tantas cosas. Veo que hay que ir jaja","['fitzpleasurr', 'soniastehoy', 'pregunta', 'siglos', 'esperando', 'cita', 'simplemente', 'asumí', 'sirven', 'cómo', 'tantas', 'cosas', 'veo', 'ir', 'jaja']",@fitzpleasurr @soniastehoy This was my question. I've been waiting for an appointment for centuries and I just assumed they don't work like so many things. I see that you have to go haha,"['fitzpleasurr', 'soniastehoy', 'question', 'waiting', 'appointment', 'centuries', 'assumed', 'work', 'like', 'many', 'things', 'see', 'go', 'haha']"
@soniastehoy @fitzpleasurr Me serviría esa info a me as well :(,"['soniastehoy', 'fitzpleasurr', 'serviría', 'info', 'as', 'well']",@soniastehoy @fitzpleasurr That info would serve me as well :(,"['soniastehoy', 'fitzpleasurr', 'info', 'would', 'serve', 'well']"
"@Alessandrxo Es así. Antes nuestro béisbol era de los mejores del mundo, se veía mucho. Ahora que no hay nada, recurrimos a Barça y Madrid.","['alessandrxo', 'así', 'béisbol', 'mejores', 'mundo', 'veía', 'ahora', 'recurrimos', 'barça', 'madrid']","@Alessandrxo It's like that. Before, our baseball was one of the best in the world, you could see a lot. Now that there is nothing, we turn to Barça and Madrid.","['alessandrxo', 'like', 'baseball', 'one', 'best', 'world', 'could', 'see', 'lot', 'nothing', 'turn', 'barça', 'madrid']"
@miguel__rivas @RR19282015 @rodriguezjuan22  https://t.co/o7fdnxMF8W,"['miguel', 'rivas', 'rr', 'rodriguezjuan']",@miguel__rivas @ RR19282015 @ rodriguezjuan22 https://t.co/o7fdnxMF8W,"['miguel', 'rivas', 'rr', 'rodriguezjuan']"
@Blueboy10 @dald96 @endsequera @Andreseduardog_  https://t.co/DKTOpFr937,"['blueboy', 'dald', 'endsequera', 'andreseduardog']",@Blueboy10 @dald96 @endsequera @Andreseduardog_  https://t.co/DKTOpFr937,"['blueboy', 'dald', 'endsequera', 'andreseduardog']"
@Blueboy10 @dald96 @endsequera @Andreseduardog_  https://t.co/30tmNFE9ta,"['blueboy', 'dald', 'endsequera', 'andreseduardog']",@Blueboy10 @dald96 @endsequera @Andreseduardog_  https://t.co/30tmNFE9ta,"['blueboy', 'dald', 'endsequera', 'andreseduardog']"
"@DanielEChangC Cristiano es el segundo mejor jugador de la historia del fútbol. Pero se borró en Kiev y Milán, y no pasa nada. Al final el Madrid no sabe perder finales, unlike some overrated catalán.","['danielechangc', 'cristiano', 'segundo', 'mejor', 'jugador', 'historia', 'fútbol', 'borró', 'kiev', 'milán', 'pasa', 'final', 'madrid', 'sabe', 'perder', 'finales', 'unlike', 'some', 'overrated', 'catalán']","@DanielEChangC Cristiano is the second best player in the history of football. But he was erased in Kiev and Milan, and nothing happens. In the end, Madrid does not know how to lose finals, unlike some overrated Catalan.","['danielechangc', 'cristiano', 'second', 'best', 'player', 'history', 'football', 'erased', 'kiev', 'milan', 'nothing', 'happens', 'end', 'madrid', 'know', 'lose', 'finals', 'unlike', 'overrated', 'catalan']"
