tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
🧵 3/7• ¿Qué pasaría con la cúpula de enchufados y falsos líderes opositores embarrados por el sistema chavista? ¿Habría justicia transicional? • ¿Qué pasos dará la comunidad internacional con el clamor del pueblo cubano? ¿Serán cómplices silentes como ha pasado con Venezuela?,"['¿qué', 'pasaría', 'cúpula', 'enchufados', 'falsos', 'líderes', 'opositores', 'embarrados', 'sistema', 'chavista', '¿habría', 'justicia', 'transicional', '¿qué', 'pasos', 'dará', 'comunidad', 'internacional', 'clamor', 'pueblo', 'cubano', '¿serán', 'cómplices', 'silentes', 'pasado', 'venezuela']",🧵 3/7 • What would happen to the dome of plugged-in and false opposition leaders muddied by the Chavista system? Would there be transitional justice? • What steps will the international community take with the clamor of the Cuban people? Will they be silent accomplices as has happened with Venezuela?,"['would', 'happen', 'dome', 'plugged', 'false', 'opposition', 'leaders', 'muddied', 'chavista', 'system', 'would', 'transitional', 'justice', 'steps', 'international', 'community', 'take', 'clamor', 'cuban', 'people', 'silent', 'accomplices', 'happened', 'venezuela']",0.0,0.871,0.129,Neutral
🧵 2/7• ¿Cómo impactaría la caída del régimen cubano en nuestro país? ¿Sería un estímulo para derrocar a Maduro o se convertiría Venezuela en el refugio de [más] criminales de la extrema izquierda?,"['¿cómo', 'impactaría', 'caída', 'régimen', 'cubano', 'país', '¿sería', 'estímulo', 'derrocar', 'maduro', 'convertiría', 'venezuela', 'refugio', 'criminales', 'extrema', 'izquierda']",🧵 2/7 • How would the fall of the Cuban regime impact our country? Would it be a stimulus to overthrow Maduro or would Venezuela become the haven for [more] criminals from the extreme left?,"['would', 'fall', 'cuban', 'regime', 'impact', 'country', 'would', 'stimulus', 'overthrow', 'maduro', 'would', 'venezuela', 'become', 'criminals', 'extreme', 'left']",0.198,0.802,0.0,Neutral
"Abro hilo 🧵 |Pensar en Cuba como foco del comunismo en América Latina y ver lo que ha pasado recientemente, lleva a algunas reflexiones/preguntas retóricas a los vzlanos: • ¿Tendremos que esperar al menos 6 décadas de “revolución” en dictadura para volver a gritar LIBERTAD? 1/7","['abro', 'hilo', 'pensar', 'cuba', 'foco', 'comunismo', 'américa', 'latina', 'ver', 'pasado', 'recientemente', 'lleva', 'reflexiones', 'preguntas', 'retóricas', 'vzlanos', '¿tendremos', 'esperar', 'menos', 'décadas', 'revolución”', 'dictadura', 'volver', 'gritar', 'libertad']","I open the thread 🧵 | Thinking of Cuba as the focus of communism in Latin America and seeing what has happened recently, leads to some rhetorical reflections / questions to the villains: • Will we have to wait at least 6 decades of “revolution” in dictatorship to return to shout FREEDOM? 1/7","['open', 'thread', 'thinking', 'cuba', 'focus', 'communism', 'latin', 'america', 'seeing', 'happened', 'recently', 'leads', 'rhetorical', 'reflections', 'questions', 'villains', 'wait', 'least', 'decades', 'revolution”', 'dictatorship', 'return', 'shout', 'freedom']",0.144,0.719,0.137,Neutral
"#ALERTA Colega Mildred Manrique denuncia presencia del FAES en su edificio. Llegaron hasta la puerta de su casa, la cual golpearon. Este fue el Live que logró sacar.","['alerta', 'colega', 'mildred', 'manrique', 'denuncia', 'presencia', 'faes', 'edificio', 'llegaron', 'puerta', 'casa', 'golpearon', 'live', 'logró', 'sacar']","#ALERT Colleague Mildred Manrique denounces the presence of the FAES in her building. They reached the door of her house, which they knocked. This was the Live that she managed to put out.","['alert', 'colleague', 'mildred', 'manrique', 'denounces', 'presence', 'faes', 'building', 'reached', 'door', 'house', 'knocked', 'live', 'managed', 'put']",0.157,0.649,0.195,Neutral
"Desde la protesta de cubanos en #WashingtonDC 3/3 @eliecer_cuba: “Hasta que Cuba sea libre. Mientras que esté el último cubano en la calle, aquí estaremos también”.  https://t.co/5LvwMsSl4s","['protesta', 'cubanos', 'washingtondc', 'eliecer', 'cuba', 'cuba', 'libre', 'mientras', 'último', 'cubano', 'calle', 'aquí', 'también”']","From the Cuban protest in #WashingtonDC 3/3 @eliecer_cuba: “Until Cuba is free. As long as the last Cuban is on the street, we will be here too ”. https://t.co/5LvwMsSl4s","['cuban', 'protest', 'washingtondc', 'eliecer', 'cuba', 'cuba', 'free', 'long', 'last', 'cuban', 'street']",0.14,0.629,0.231,Neutral
Desde la protesta de cubanos en #WashingtonDC 2/3 @eliecer_cuba: “Hay otras dictaduras acostumbradas a lidiar con la inestabilidad. Cuba no. En cuba no había existido algo como esto”.  https://t.co/lkMHQkSs4b,"['protesta', 'cubanos', 'washingtondc', 'eliecer', 'cuba', 'dictaduras', 'acostumbradas', 'lidiar', 'inestabilidad', 'cuba', 'cuba', 'existido', 'esto”']",From the Cuban protest in #WashingtonDC 2/3 @eliecer_cuba: “There are other dictatorships used to dealing with instability. Not Cuba. There had never been something like this in Cuba ”. https://t.co/lkMHQkSs4b,"['cuban', 'protest', 'washingtondc', 'eliecer', 'cuba', 'dictatorships', 'used', 'dealing', 'instability', 'cuba', 'never', 'something', 'like', 'cuba']",0.255,0.745,0.0,Neutral
"Desde la protesta de cubanos en #WashingtonDC 1/3 .@eliecer_cuba: “Si Cuba sigue siendo una dictadura empoderada en América Latina, el mundo seguirá viendo horrores”.  https://t.co/BnXeROTlSg","['protesta', 'cubanos', 'washingtondc', 'eliecer', 'cuba', 'si', 'cuba', 'sigue', 'siendo', 'dictadura', 'empoderada', 'américa', 'latina', 'mundo', 'seguirá', 'viendo', 'horrores”']","From the Cuban protest in #WashingtonDC 1/3. @ Eliecer_cuba: ""If Cuba continues to be an empowered dictatorship in Latin America, the world will continue to see horrors."" https://t.co/BnXeROTlSg","['cuban', 'protest', 'washingtondc', 'eliecer', 'cuba', 'cuba', 'continues', 'empowered', 'dictatorship', 'latin', 'america', 'world', 'continue', 'see', 'horrors']",0.305,0.695,0.0,Neutral
"¡Vamos, Cuba! #Cubalibre Con los hermanos cubanos de alma y corazón. #Fuerza 💪🏻 No hay dictadura eterna. Que caiga el foco de comunismo en América Latina sería una cadena…. 🙏🏻 #Venezuela #Nicaragua","['¡vamos', 'cuba', 'cubalibre', 'hermanos', 'cubanos', 'alma', 'corazón', 'fuerza', '💪🏻', 'dictadura', 'eterna', 'caiga', 'foco', 'comunismo', 'américa', 'latina', 'cadena…', '🙏🏻', 'venezuela', 'nicaragua']","Come on, Cuba! #Cubalibre With the Cuban brothers of heart and soul. #Force 💪🏻 There is no eternal dictatorship. That the focus of communism falls in Latin America would be a chain…. 🙏🏻 #Venezuela #Nicaragua","['come', 'cuba', 'cubalibre', 'cuban', 'brothers', 'heart', 'soul', 'force', '💪🏻', 'eternal', 'dictatorship', 'focus', 'communism', 'falls', 'latin', 'america', 'would', 'chain…', '🙏🏻', 'venezuela', 'nicaragua']",0.0,0.877,0.123,Neutral
"¡Cuba 🇨🇺 libre! ¡Venezuela 🇻🇪 libre! ¡Abajo el comunismo, CARAJO!","['¡cuba', '🇨🇺', 'libre', '¡venezuela', '🇻🇪', 'libre', '¡abajo', 'comunismo', 'carajo']","Cuba 🇨🇺 free! Venezuela 🇻🇪 free! Down with communism, FUCK!","['cuba', '🇨🇺', 'free', 'venezuela', '🇻🇪', 'free', 'communism', 'fuck']",0.232,0.331,0.437,Positivo
"El #COVID19 en Venezuela cada vez cobra más vidas. La situación está difícil. Esta vez le tocó a la colega Marla Prato. Lamento su partida, un fuerte abrazo a sus familiares y amigos cercanos. ¡Fuerza!","['covid', 'venezuela', 'cada', 'vez', 'cobra', 'vidas', 'situación', 'difícil', 'vez', 'tocó', 'colega', 'marla', 'prato', 'lamento', 'partida', 'fuerte', 'abrazo', 'familiares', 'amigos', 'cercanos', '¡fuerza']","The # COVID19 in Venezuela is taking more and more lives. The situation is difficult. This time it was the turn of her colleague Marla Prato. I'm sorry for her departure, a big hug to her family and close friends. Force!","['covid', 'venezuela', 'taking', 'lives', 'situation', 'difficult', 'time', 'turn', 'colleague', 'marla', 'prato', 'sorry', 'departure', 'big', 'hug', 'family', 'close', 'friends', 'force']",0.152,0.6,0.248,Neutral
Caso asesinato del presidente de Haití: En desarrollo. Más detalles en @eltiempolatino  #Haití,"['caso', 'asesinato', 'presidente', 'haití', 'desarrollo', 'detalles', 'eltiempolatino', 'haití']",Assassination case of the president of Haiti: In development. More details in @eltiempolatino # Haiti,"['assassination', 'case', 'president', 'haiti', 'development', 'details', 'eltiempolatino', 'haiti']",0.358,0.642,0.0,Neutral
"Esto es algo de lo que tengo una percepción cercana. Es increíble la cantidad de gente infectada y en estado grave o falleciendo por #COVID19 en Venezuela. Saco la cuenta por mi entorno y allegados, no me quiero imaginar las cifras reales (no oficiales). ¡Protéjanse! No es juego.","['percepción', 'cercana', 'increíble', 'cantidad', 'gente', 'infectada', 'grave', 'falleciendo', 'covid', 'venezuela', 'saco', 'cuenta', 'entorno', 'allegados', 'quiero', 'imaginar', 'cifras', 'reales', 'oficiales', '¡protéjanse', 'juego']","This is something that I have a close perception of. The number of people infected and in serious condition or dying from # COVID19 in Venezuela is incredible. I take the account by my environment and relatives, I do not want to imagine the real (unofficial) figures. Protect yourselves! Its not a game.","['something', 'close', 'perception', 'number', 'people', 'infected', 'serious', 'condition', 'dying', 'covid', 'venezuela', 'incredible', 'take', 'account', 'environment', 'relatives', 'want', 'imagine', 'real', 'unofficial', 'figures', 'protect', 'game']",0.162,0.65,0.188,Neutral
"#HappyPrideMonth NO ONE  is hurting you by being happy, why would you hurt someone else? • A message to my Venezuelan/ Latino brothers and sisters a day before June is over • All my support to the #LGBTQ community 🌈  https://t.co/H1fO9xwRWl","['happypridemonth', 'one', 'is', 'hurting', 'you', 'by', 'being', 'happy', 'why', 'would', 'you', 'hurt', 'someone', 'else', 'message', 'to', 'my', 'venezuelan', 'latino', 'brothers', 'and', 'sisters', 'day', 'before', 'june', 'is', 'over', 'all', 'my', 'support', 'to', 'the', 'lgbtq', 'community']","#HappyPrideMonth NO ONE  is hurting you by being happy, why would you hurt someone else? • A message to my Venezuelan/ Latino brothers and sisters a day before June is over • All my support to the #LGBTQ community 🌈  https://t.co/H1fO9xwRWl","['happypridemonth', 'one', 'hurting', 'happy', 'would', 'hurt', 'someone', 'else', 'message', 'venezuelan', 'latino', 'brothers', 'sisters', 'day', 'june', 'support', 'lgbtq', 'community']",0.23,0.528,0.242,Neutral
"Leopoldo López (@leopoldolopez) hace juramento junto a la diáspora venezolana en la Plaza Bolívar de #WashingtonDC, EEUU @VoluntadPopular  https://t.co/PrBtQKQbAA","['leopoldo', 'lópez', 'leopoldolopez', 'hace', 'juramento', 'junto', 'diáspora', 'venezolana', 'plaza', 'bolívar', 'washingtondc', 'eeuu', 'voluntadpopular']","Leopoldo López (@leopoldolopez) takes the oath with the Venezuelan diaspora in Plaza Bolívar in #WashingtonDC, USA @VoluntadPopular https://t.co/PrBtQKQbAA","['leopoldo', 'lópez', 'leopoldolopez', 'takes', 'oath', 'venezuelan', 'diaspora', 'plaza', 'bolívar', 'washingtondc', 'usa', 'voluntadpopular']",0.0,1.0,0.0,Neutral
Leopoldo López desde Washington DC: @leopoldolopez: “La idea es llegar a una negociación que logre dos objetivos.Primero atender de manera inmediata la emergencia humanitaria y segundo un cronograma de elecciones parlamentarias y presidenciales”. Video completo en @eltiempolatino  https://t.co/GUZSkqHxSu,"['leopoldo', 'lópez', 'washington', 'dc', 'leopoldolopez', 'idea', 'llegar', 'negociación', 'logre', 'dos', 'objetivos', 'primero', 'atender', 'manera', 'inmediata', 'emergencia', 'humanitaria', 'segundo', 'cronograma', 'elecciones', 'parlamentarias', 'presidenciales”', 'video', 'completo', 'eltiempolatino']","Leopoldo López from Washington DC: @leopoldolopez: ""The idea is to reach a negotiation that achieves two objectives. Firstly, to immediately address the humanitarian emergency and secondly, a schedule of parliamentary and presidential elections."" Full video at @eltiempolatino https://t.co/GUZSkqHxSu","['leopoldo', 'lópez', 'washington', 'dc', 'leopoldolopez', 'idea', 'reach', 'negotiation', 'achieves', 'two', 'objectives', 'firstly', 'immediately', 'address', 'humanitarian', 'emergency', 'secondly', 'schedule', 'parliamentary', 'presidential', 'elections', 'full', 'video', 'eltiempolatino']",0.101,0.856,0.043,Neutral
Se añade aquí una cuenta de Zelle para quien esté en el exterior y quiera ayudar. Agradecido.  https://t.co/qlXs5MRxB7,"['añade', 'aquí', 'cuenta', 'zelle', 'exterior', 'quiera', 'ayudar', 'agradecido']",A Zelle account is added here for anyone who is abroad and wants to help. Grateful. https://t.co/qlXs5MRxB7,"['zelle', 'account', 'added', 'anyone', 'abroad', 'wants', 'help', 'grateful']",0.0,0.513,0.487,Neutral
"#ServicioPúblico Un gran amigo de mi familia necesita tu ayuda. 🙏🏻Puedes aportar tu granito de arena o difundir  (RT).  ••Rogelio Silva tiene #Covid19 con problemas respiratorios en CCS Vzla, requerimos de tu ayuda humanitaria para cubrir tratamiento médico. ¡Gracias, amigos!🙏🏻  https://t.co/ZfmC9e0A4U","['serviciopúblico', 'gran', 'amigo', 'familia', 'necesita', 'ayuda', '🙏🏻puedes', 'aportar', 'granito', 'arena', 'difundir', 'rt', '••rogelio', 'silva', 'covid', 'problemas', 'respiratorios', 'ccs', 'vzla', 'requerimos', 'ayuda', 'humanitaria', 'cubrir', 'tratamiento', 'médico', '¡gracias', 'amigos', '🙏🏻']","# Public Service A great friend of my family needs your help. 🙏🏻You can contribute your grain of sand or spread (RT). •• Rogelio Silva has # Covid19 with respiratory problems in CCS Vzla, we require your humanitarian aid to cover medical treatment. Thanks folks! 🙏🏻 https://t.co/ZfmC9e0A4U","['public', 'service', 'great', 'friend', 'family', 'needs', 'help', '🙏🏻you', 'contribute', 'grain', 'sand', 'spread', 'rt', '••', 'rogelio', 'silva', 'covid', 'respiratory', 'problems', 'ccs', 'vzla', 'require', 'humanitarian', 'aid', 'cover', 'medical', 'treatment', 'thanks', 'folks', '🙏🏻']",0.053,0.692,0.255,Neutral
"#LoDice @Simonovis: ""Los únicos que terminan favorecidos cuando negocian con el régimen (de Maduro en #Venezuela) son los criminales. Poco a poco cada espacio del país le será entregado a terroristas, guerrilleros o cualquier tipo de criminales""","['lodice', 'simonovis', 'únicos', 'terminan', 'favorecidos', 'negocian', 'régimen', 'maduro', 'venezuela', 'criminales', 'cada', 'espacio', 'país', 'entregado', 'terroristas', 'guerrilleros', 'cualquier', 'tipo', 'criminales']","#LoDice @Simonovis: ""The only ones who end up favored when they negotiate with the regime (of Maduro in #Venezuela) are the criminals. Little by little each space in the country will be handed over to terrorists, guerrillas or any type of criminals""","['lodice', 'simonovis', 'ones', 'end', 'favored', 'negotiate', 'regime', 'maduro', 'venezuela', 'criminals', 'little', 'little', 'space', 'country', 'handed', 'terrorists', 'guerrillas', 'type', 'criminals']",0.392,0.512,0.096,Neutral
#ServicioPúblico Ayuda al tío de @LuisEnLaWeb a salvar su vida. Se encuentra en Venezuela muy mal de salud debido a la diabetes que le hizo perder sus dos piernas y además presenta una insuficiencia cardíaca.   https://t.co/J3OZjJJhUG  Vía @LuisEnLaWeb,"['serviciopúblico', 'ayuda', 'tío', 'luisenlaweb', 'salvar', 'vida', 'encuentra', 'venezuela', 'mal', 'salud', 'debido', 'diabetes', 'hizo', 'perder', 'dos', 'piernas', 'además', 'presenta', 'insuficiencia', 'cardíaca', 'vía', 'luisenlaweb']",# ServicioPublico Help @LuisEnLaWeb's uncle save his life. He is in very poor health in Venezuela due to diabetes that caused him to lose both legs and also has heart failure. https://t.co/J3OZjJJhUG Via @LuisEnLaWeb,"['serviciopublico', 'help', 'luisenlaweb', 'uncle', 'save', 'life', 'poor', 'health', 'venezuela', 'due', 'diabetes', 'caused', 'lose', 'legs', 'also', 'heart', 'failure', 'via', 'luisenlaweb']",0.283,0.404,0.314,Neutral
"Triste, pero es la realidad que tarde o temprano muchos hemos tenido que vivir, estimada. Mis mejores deseos para usted y los suyos en lo que sigue. Abrazos.","['triste', 'realidad', 'tarde', 'temprano', 'vivir', 'estimada', 'mejores', 'deseos', 'usted', 'sigue', 'abrazos']","Sad, but it is the reality that sooner or later many of us have had to live, dear. Best wishes to you and yours in what follows. Hugs.","['sad', 'reality', 'sooner', 'later', 'many', 'us', 'live', 'dear', 'best', 'wishes', 'follows', 'hugs']",0.143,0.323,0.535,Positivo
