,Unnamed: 0,tweet,tweet_translated,tweet_cleaned,tweet_tokenized,compound,neg,neu,pos
10,10,"Listos para comenzar nuestro evento de Tendencias del Consumidor Vzlano a casa completamente llena y acompañados por un grupo estelar de empresas que muestran día a día su compromiso para atender al consumidor, más allá de la crisis. Gracias a todos. Nos vemos en un momento.","Ready to start our Vzlano Consumer Trends event at a full house and accompanied by a stellar group of companies that show their commitment to serve the consumer, beyond the crisis, every day. Thank you all. See you in a moment.",listos para comenzar nuestro evento de tendencias del consumidor vzlano a casa completamente llena y acompañados por un grupo estelar de empresas que muestran día a día su compromiso para atender al consumidor más allá de la crisis gracias a todos nos vemos en un momento ,"['listos', 'para', 'comenzar', 'nuestro', 'evento', 'de', 'tendencias', 'del', 'consumidor', 'vzlano', 'casa', 'completamente', 'llena', 'acompañados', 'por', 'un', 'grupo', 'estelar', 'de', 'empresas', 'que', 'muestran', 'día', 'día', 'su', 'compromiso', 'para', 'atender', 'al', 'consumidor', 'más', 'allá', 'de', 'la', 'crisis', 'gracias', 'todos', 'nos', 'vemos', 'en', 'un', 'momento']",0.3612,0.084,0.76,0.156
11,11,"Lamento el fallecimiento de la Sra Adnaloy Zamora, madre de nuestros grandes amigos Gabriel y Miguel Osio Zamora. Envío un abrazo y toda mi solidaridad para ellos, sus hermanas, familiares y amigos. Que los recuerdos felices la mantengan siempre viva en sus mentes y corazones.","I regret the passing of Mrs. Adnaloy Zamora, mother of our great friends Gabriel and Miguel Osio Zamora. I send a hug and all my solidarity to them, their sisters, family and friends. May happy memories always keep her alive in your minds and hearts.",lamento el fallecimiento de la sra adnaloy zamora madre de nuestros grandes amigos gabriel y miguel osio zamora envío un abrazo y toda mi solidaridad para ellos sus hermanas familiares y amigos que los recuerdos felices la mantengan siempre viva en sus mentes y corazones ,"['lamento', 'el', 'fallecimiento', 'de', 'la', 'sra', 'adnaloy', 'zamora', 'madre', 'de', 'nuestros', 'grandes', 'amigos', 'gabriel', 'miguel', 'osio', 'zamora', 'envío', 'un', 'abrazo', 'toda', 'mi', 'solidaridad', 'para', 'ellos', 'sus', 'hermanas', 'familiares', 'amigos', 'que', 'los', 'recuerdos', 'felices', 'la', 'mantengan', 'siempre', 'viva', 'en', 'sus', 'mentes', 'corazones']",0.9732,0.043,0.554,0.403
12,12,Mañana conversando con ⁦@laureanomar⁩ en su Instagram LIVE camino a su monólogo: “El Miedo” que realizará en streaming el próximo 27 de Junio a las 5 pm. Nos vemos.  https://t.co/getz9cjMCx,Tomorrow talking with @laureanomar on his Instagram LIVE on the way to his monologue: “El Miedo” that he will perform in streaming on June 27 at 5 pm. See you. https://t.co/getz9cjMCx,mañana conversando con ⁦ laureanomar⁩ en su instagram live camino a su monólogo el miedo” que realizará en streaming el próximo de junio a las pm nos vemos ,"['mañana', 'conversando', 'con', 'laureanomar\u2069', 'en', 'su', 'instagram', 'live', 'camino', 'su', 'monólogo', 'el', 'miedo”', 'que', 'realizará', 'en', 'streaming', 'el', 'próximo', 'de', 'junio', 'las', 'pm', 'nos', 'vemos']",0.0,0.0,1.0,0.0
13,13,"En la recta final para nuestro evento Tendencias del Consumidor Venezolano, que se realizará el jueves a las 10 am. Gracias a patrocinantes y participantes, quienes superaron con creces todas nuestras expectativas. Es un honor contar siempre con su confianza e interés. Nos vemos.  https://t.co/E5HP3bjnbR","In the final stretch for our Venezuelan Consumer Trends event, which will take place on Thursday at 10 am. Thanks to sponsors and participants, who far exceeded all our expectations. It is an honor to always have your trust and interest. See you. https://t.co/E5HP3bjnbR",en la recta final para nuestro evento tendencias del consumidor venezolano que se realizará el jueves a las am gracias a patrocinantes y participantes quienes superaron con creces todas nuestras expectativas es un honor contar siempre con su confianza e interés nos vemos ,"['en', 'la', 'recta', 'final', 'para', 'nuestro', 'evento', 'tendencias', 'del', 'consumidor', 'venezolano', 'que', 'se', 'realizará', 'el', 'jueves', 'las', 'am', 'gracias', 'patrocinantes', 'participantes', 'quienes', 'superaron', 'con', 'creces', 'todas', 'nuestras', 'expectativas', 'es', 'un', 'honor', 'contar', 'siempre', 'con', 'su', 'confianza', 'interés', 'nos', 'vemos']",0.9081,0.0,0.763,0.237
14,14,Fue un placer compartir con ustedes… como siempre.,It was a pleasure to share with you ... as always.,fue un placer compartir con ustedes… como siempre ,"['fue', 'un', 'placer', 'compartir', 'con', 'ustedes…', 'como', 'siempre']",0.7096,0.0,0.604,0.396
15,15,"@Francisco19643 Puedes pedir lo que quieras y merezcas. La pregunta real es si te lo van a dar o lo puedes conseguir. Y la respuesta es obviamente no. Con ese marco, se analiza la realidad. No con base en los deseos o derechos, incluso merecidos.","@ Francisco19643 You can ask for whatever you want and deserve. The real question is whether they are going to give it to you or can you get it. And the answer is obviously no. With this framework, reality is analyzed. Not based on wishes or rights, even deserved.", francisco puedes pedir lo que quieras y merezcas la pregunta real es si te lo van a dar o lo puedes conseguir y la respuesta es obviamente no con ese marco se analiza la realidad no con base en los deseos o derechos incluso merecidos ,"['francisco', 'puedes', 'pedir', 'lo', 'que', 'quieras', 'merezcas', 'la', 'pregunta', 'real', 'es', 'si', 'te', 'lo', 'van', 'dar', 'lo', 'puedes', 'conseguir', 'la', 'respuesta', 'es', 'obviamente', 'no', 'con', 'ese', 'marco', 'se', 'analiza', 'la', 'realidad', 'no', 'con', 'base', 'en', 'los', 'deseos', 'derechos', 'incluso', 'merecidos']",-0.0372,0.029,0.945,0.026
16,16,"@luisdiazt69 No existe posibilidad de que se liberen sin conseguir el Quid Pro Quo (algo a cambio) y eso sólo se logra negociando. Pero las sanciones que generan costos humanitarios, sin afectar al gobierno, han sido un error desde el principio y deben ser retiradas cuanto antes.","@ luisdiazt69 There is no possibility that they will be released without getting the Quid Pro Quo (something in return) and that can only be achieved by negotiating. But the sanctions that generate humanitarian costs, without affecting the government, have been a mistake from the beginning and must be withdrawn as soon as possible.", luisdiazt no existe posibilidad de que se liberen sin conseguir el quid pro quo algo a cambio y eso sólo se logra negociando pero las sanciones que generan costos humanitarios sin afectar al gobierno han sido un error desde el principio y deben ser retiradas cuanto antes ,"['luisdiazt', 'no', 'existe', 'posibilidad', 'de', 'que', 'se', 'liberen', 'sin', 'conseguir', 'el', 'quid', 'pro', 'quo', 'algo', 'cambio', 'eso', 'sólo', 'se', 'logra', 'negociando', 'pero', 'las', 'sanciones', 'que', 'generan', 'costos', 'humanitarios', 'sin', 'afectar', 'al', 'gobierno', 'han', 'sido', 'un', 'error', 'desde', 'el', 'principio', 'deben', 'ser', 'retiradas', 'cuanto', 'antes']",-0.5719,0.083,0.917,0.0
17,17,"@iElViento ¿Y quien dijo que votar, sin una estrategia, ha funcionado?  Si así fuera no estaríamos aquí. Lo que significa decir que votar o no votar no es el dilema, es que ninguno sirve sin estrategia, pues a tu argumento deberías agregar que abstenerse, sin ella, ha sido incluso peor.","@iElViento And who said that voting, without a strategy, has worked? If so, we would not be here. What it means to say that to vote or not to vote is not the dilemma, is that neither works without strategy, because to your argument you should add that abstaining, without it, has been even worse.", ielviento ¿y quien dijo que votar sin una estrategia ha funcionado si así fuera no estaríamos aquí lo que significa decir que votar o no votar no es el dilema es que ninguno sirve sin estrategia pues a tu argumento deberías agregar que abstenerse sin ella ha sido incluso peor ,"['ielviento', '¿y', 'quien', 'dijo', 'que', 'votar', 'sin', 'una', 'estrategia', 'ha', 'funcionado', 'si', 'así', 'fuera', 'no', 'estaríamos', 'aquí', 'lo', 'que', 'significa', 'decir', 'que', 'votar', 'no', 'votar', 'no', 'es', 'el', 'dilema', 'es', 'que', 'ninguno', 'sirve', 'sin', 'estrategia', 'pues', 'tu', 'argumento', 'deberías', 'agregar', 'que', 'abstenerse', 'sin', 'ella', 'ha', 'sido', 'incluso', 'peor']",-0.6227,0.095,0.88,0.026
18,18,"@irja500 No. Lo que estoy sugiriendo es que ese no es el problema. Votar o no votar no es el dilema. Usas un ejemplo cierto. Votar, sin estrategia, no sirvió. Solo falta indicar que no votar varias veces, sin estrategia, tampoco. Entonces el problema es la estrategia no voto o abstención.","@ irja500 No. What I am suggesting is that that is not the problem. To vote or not to vote is not the dilemma. You use a true example. Voting, without strategy, did not work. It only remains to indicate that not to vote several times, without strategy, either. So the problem is the strategy of no vote or abstention.", irja no lo que estoy sugiriendo es que ese no es el problema votar o no votar no es el dilema usas un ejemplo cierto votar sin estrategia no sirvió solo falta indicar que no votar varias veces sin estrategia tampoco entonces el problema es la estrategia no voto o abstención ,"['irja', 'no', 'lo', 'que', 'estoy', 'sugiriendo', 'es', 'que', 'ese', 'no', 'es', 'el', 'problema', 'votar', 'no', 'votar', 'no', 'es', 'el', 'dilema', 'usas', 'un', 'ejemplo', 'cierto', 'votar', 'sin', 'estrategia', 'no', 'sirvió', 'solo', 'falta', 'indicar', 'que', 'no', 'votar', 'varias', 'veces', 'sin', 'estrategia', 'tampoco', 'entonces', 'el', 'problema', 'es', 'la', 'estrategia', 'no', 'voto', 'abstención']",0.1021,0.078,0.824,0.099
19,19,@TolosaLila ¿Mis palabras o la realidad país?,@TolosaLila My words or the reality of the country?, tolosalila ¿mis palabras o la realidad país ,"['tolosalila', '¿mis', 'palabras', 'la', 'realidad', 'país']",0.0,0.0,1.0,0.0
20,20,Gracias a @Lacelis y @nelsonbocaranda por su invitación a conversar sobre nuestro estudio del Perfil del Consumidor que presentaremos el próximo 17 de junio a las 4 pm. Eventos@datanalisis.com @datanalisis Nos vemos ahí.,Thanks to @Lacelis and @nelsonbocaranda for their invitation to talk about our study of the Consumer Profile that we will present on June 17 at 4 pm. Eventos@datanalisis.com @datanalisis See you there.,gracias a lacelis y nelsonbocaranda por su invitación a conversar sobre nuestro estudio del perfil del consumidor que presentaremos el próximo de junio a las pm eventos datanalisis com datanalisis nos vemos ahí ,"['gracias', 'lacelis', 'nelsonbocaranda', 'por', 'su', 'invitación', 'conversar', 'sobre', 'nuestro', 'estudio', 'del', 'perfil', 'del', 'consumidor', 'que', 'presentaremos', 'el', 'próximo', 'de', 'junio', 'las', 'pm', 'eventos', 'datanalisis', 'com', 'datanalisis', 'nos', 'vemos', 'ahí']",0.4404,0.0,0.914,0.086
21,21,Muchas gracias.,Thank you.,muchas gracias ,"['muchas', 'gracias']",0.3612,0.0,0.286,0.714
22,22,"A mi me parece más importante que le hagan caso a la racionalidad política y no a los intereses personale. Las encuestas no son más que un instrumento de ayuda en sus decisiones, pero nunca reemplazarán a la lógica.","It seems more important to me that they pay attention to political rationality and not to personal interests. Surveys are only a tool to help you in your decisions, but they will never replace logic.",a mi me parece más importante que le hagan caso a la racionalidad política y no a los intereses personale las encuestas no son más que un instrumento de ayuda en sus decisiones pero nunca reemplazarán a la lógica ,"['mi', 'me', 'parece', 'más', 'importante', 'que', 'le', 'hagan', 'caso', 'la', 'racionalidad', 'política', 'no', 'los', 'intereses', 'personale', 'las', 'encuestas', 'no', 'son', 'más', 'que', 'un', 'instrumento', 'de', 'ayuda', 'en', 'sus', 'decisiones', 'pero', 'nunca', 'reemplazarán', 'la', 'lógica']",0.2087,0.07,0.839,0.092
23,23,Prefiero reconvertir tu pregunta a una más enfocada: deben los venezolanos luchar y desarrollar estrategias distintas a las que los han traído hasta acá (es decir a la nada) o vale la pena insistir en lo mismo (que llegará obviamente a lo mismo).,"I prefer to reconvert your question to a more focused one: should Venezuelans fight and develop strategies different from those that have brought them here (that is, to nowhere) or is it worth insisting on the same thing (which will obviously come to the same).",prefiero reconvertir tu pregunta a una más enfocada deben los venezolanos luchar y desarrollar estrategias distintas a las que los han traído hasta acá es decir a la nada o vale la pena insistir en lo mismo que llegará obviamente a lo mismo ,"['prefiero', 'reconvertir', 'tu', 'pregunta', 'una', 'más', 'enfocada', 'deben', 'los', 'venezolanos', 'luchar', 'desarrollar', 'estrategias', 'distintas', 'las', 'que', 'los', 'han', 'traído', 'hasta', 'acá', 'es', 'decir', 'la', 'nada', 'vale', 'la', 'pena', 'insistir', 'en', 'lo', 'mismo', 'que', 'llegará', 'obviamente', 'lo', 'mismo']",0.2944,0.053,0.85,0.097
24,24,"Como en todo proceso distorsionado, la inflación en Venezuela es multifactorial y por supuesto hay campo para la especulación. Pero esa no es la base del problema. Se trata de la combinación de pérdida total de confianza institucional y en la moneda y de un desequilibrio fiscal.","As in any distorted process, inflation in Venezuela is multifactorial and of course there is room for speculation. But that is not the basis of the problem. It is the combination of a total loss of institutional and currency confidence and a fiscal imbalance.",como en todo proceso distorsionado la inflación en venezuela es multifactorial y por supuesto hay campo para la especulación pero esa no es la base del problema se trata de la combinación de pérdida total de confianza institucional y en la moneda y de un desequilibrio fiscal ,"['como', 'en', 'todo', 'proceso', 'distorsionado', 'la', 'inflación', 'en', 'venezuela', 'es', 'multifactorial', 'por', 'supuesto', 'hay', 'campo', 'para', 'la', 'especulación', 'pero', 'esa', 'no', 'es', 'la', 'base', 'del', 'problema', 'se', 'trata', 'de', 'la', 'combinación', 'de', 'pérdida', 'total', 'de', 'confianza', 'institucional', 'en', 'la', 'moneda', 'de', 'un', 'desequilibrio', 'fiscal']",-0.517,0.165,0.751,0.084
25,25,"Todas las partes que comienzan una negociación (política, económica, laboral, etc) comienzan pidiendo mucho más de lo que están dispuestos a aceptar. Eso va a pasar tanto en gobierno como en oposición en este caso. Pero eso se diluye en la negociación...si esta ocurre.","All parties that begin a negotiation (political, economic, labor, etc.) begin by asking for much more than they are willing to accept. That will happen both in government and in opposition in this case. But that is diluted in the negotiation ... if it happens.",todas las partes que comienzan una negociación política económica laboral etc comienzan pidiendo mucho más de lo que están dispuestos a aceptar eso va a pasar tanto en gobierno como en oposición en este caso pero eso se diluye en la negociación si esta ocurre ,"['todas', 'las', 'partes', 'que', 'comienzan', 'una', 'negociación', 'política', 'económica', 'laboral', 'etc', 'comienzan', 'pidiendo', 'mucho', 'más', 'de', 'lo', 'que', 'están', 'dispuestos', 'aceptar', 'eso', 'va', 'pasar', 'tanto', 'en', 'gobierno', 'como', 'en', 'oposición', 'en', 'este', 'caso', 'pero', 'eso', 'se', 'diluye', 'en', 'la', 'negociación', 'si', 'esta', 'ocurre']",0.3919,0.0,0.922,0.078
26,26,"Las vacunas Chinas y Rusas suministradas oficialmente ahora son las originales (aunque insuficientes y entregadas de manera sesgada). Las que vengan de acuerdos humanitarios serán también impecables, pero no están cerca. Las vacunas ""bachaqueadas"" son de un peligro incalculable.","The officially supplied Chinese and Russian vaccines are now the original ones (albeit insufficient and biased). Those that come from humanitarian agreements will also be impeccable, but they are not close. The ""bachaqueadas"" vaccines are of incalculable danger.",las vacunas chinas y rusas suministradas oficialmente ahora son las originales aunque insuficientes y entregadas de manera sesgada las que vengan de acuerdos humanitarios serán también impecables pero no están cerca las vacunas bachaqueadas son de un peligro incalculable ,"['las', 'vacunas', 'chinas', 'rusas', 'suministradas', 'oficialmente', 'ahora', 'son', 'las', 'originales', 'aunque', 'insuficientes', 'entregadas', 'de', 'manera', 'sesgada', 'las', 'que', 'vengan', 'de', 'acuerdos', 'humanitarios', 'serán', 'también', 'impecables', 'pero', 'no', 'están', 'cerca', 'las', 'vacunas', 'bachaqueadas', 'son', 'de', 'un', 'peligro', 'incalculable']",-0.6059,0.142,0.784,0.074
27,27,"Es temprano para hacer estimaciones. Dependerá del resultado de las negociaciones, los cambios de condiciones, los acuerdos en la oposición, los partidos y líderes que las promuevan, la observación internacional, la liberación de presos políticos e inhabilitados...y mucho más.","It is early to make estimates. It will depend on the outcome of the negotiations, the changes in conditions, the agreements in the opposition, the parties and leaders that promote them, international observation, the release of political and disabled prisoners ... and much more.",es temprano para hacer estimaciones dependerá del resultado de las negociaciones los cambios de condiciones los acuerdos en la oposición los partidos y líderes que las promuevan la observación internacional la liberación de presos políticos e inhabilitados y mucho más ,"['es', 'temprano', 'para', 'hacer', 'estimaciones', 'dependerá', 'del', 'resultado', 'de', 'las', 'negociaciones', 'los', 'cambios', 'de', 'condiciones', 'los', 'acuerdos', 'en', 'la', 'oposición', 'los', 'partidos', 'líderes', 'que', 'las', 'promuevan', 'la', 'observación', 'internacional', 'la', 'liberación', 'de', 'presos', 'políticos', 'inhabilitados', 'mucho', 'más']",0.4767,0.065,0.789,0.146
28,28,Depende de las expectativas. La demanda Maduro de liberación inmediata de sanciones y negociación pública no tiene posibilidad de lograrse. La demanda opositoras de convocar una elección presidencial transparente o un RR también es nula. Los acuerdos posibles estarán en el medio.,It depends on the expectations. Maduro's demand for immediate release from sanctions and public negotiation has no chance of being achieved. The opposition demand to call a transparent presidential election or a RR is also void. Possible deals will be in the middle.,depende de las expectativas la demanda maduro de liberación inmediata de sanciones y negociación pública no tiene posibilidad de lograrse la demanda opositoras de convocar una elección presidencial transparente o un rr también es nula los acuerdos posibles estarán en el medio ,"['depende', 'de', 'las', 'expectativas', 'la', 'demanda', 'maduro', 'de', 'liberación', 'inmediata', 'de', 'sanciones', 'negociación', 'pública', 'no', 'tiene', 'posibilidad', 'de', 'lograrse', 'la', 'demanda', 'opositoras', 'de', 'convocar', 'una', 'elección', 'presidencial', 'transparente', 'un', 'rr', 'también', 'es', 'nula', 'los', 'acuerdos', 'posibles', 'estarán', 'en', 'el', 'medio']",-0.4098,0.106,0.894,0.0
29,29,"La mayoría contundente de la población quiere una negociación política para resolver el problema del país y sin embargo, sólo una pequeña minoría confía en que será exitosa ahora mismo en lograr ese objetivo deseado. Por eso es tan importante definir las expectativas correctas.",The overwhelming majority of the population wants a political negotiation to solve the country's problem and yet only a small minority trusts that it will be successful right now in achieving that desired objective. This is why it's so important to set the right expectations.,la mayoría contundente de la población quiere una negociación política para resolver el problema del país y sin embargo sólo una pequeña minoría confía en que será exitosa ahora mismo en lograr ese objetivo deseado por eso es tan importante definir las expectativas correctas ,"['la', 'mayoría', 'contundente', 'de', 'la', 'población', 'quiere', 'una', 'negociación', 'política', 'para', 'resolver', 'el', 'problema', 'del', 'país', 'sin', 'embargo', 'sólo', 'una', 'pequeña', 'minoría', 'confía', 'en', 'que', 'será', 'exitosa', 'ahora', 'mismo', 'en', 'lograr', 'ese', 'objetivo', 'deseado', 'por', 'eso', 'es', 'tan', 'importante', 'definir', 'las', 'expectativas', 'correctas']",0.8579,0.049,0.711,0.24
