tweet_translated_tokenized,sentiment,NB,SVM,DF,MaxEnt
"['futboltotaldirectvganavenezuela', 'la', 'vinotinto', 'going', 'look', 'result', 'blood']",Negativo,Negativo,Negativo,Negativo,Negativo
"['minturvenezuela', 'svmi', 'photos', 'arrival', 'hall', 'international', 'flights', 'currently', 'gray']",Negativo,Negativo,Negativo,Negativo,Negativo
"['longer', 'interested', 'going', 'die', 'china']",Negativo,Positivo,Positivo,Negativo,Positivo
"['banesco', 'thank', 'much', 'prompt', 'response', 'sent', 'detailed', 'email', 'requested', 'information']",Positivo,Positivo,Positivo,Positivo,Positivo
"['banesco', 'abroad', 'duplicate', 'consumptions', 'well', 'pass', 'charged', 'direct', 'number']",Positivo,Positivo,Positivo,Positivo,Positivo
"['banesco', 'may', 'already', 'know', 'app', 'work', 'correctly', 'ios', 'allow', 'select', 'beneficiary', 'transfers']",Positivo,Positivo,Positivo,Positivo,Positivo
"['guarimberos', 'live']",Negativo,Positivo,Negativo,Negativo,Positivo
"['directvcopamundialbailacandal', 'kept', 'breaking', 'candal']",Negativo,Negativo,Negativo,Negativo,Negativo
['directvcopamundialselfie'],Negativo,Positivo,Negativo,Negativo,Negativo
['directvcopamundialselfie'],Negativo,Positivo,Negativo,Negativo,Negativo
"['enjoying', 'lego', 'group', 'morning', 'master', 'builder', 'singing', 'song', 'everything', 'awesome']",Positivo,Negativo,Negativo,Negativo,Negativo
"['klinsmann', 'loew', 'different', 'reunion']",Negativo,Positivo,Negativo,Negativo,Positivo
"['suárez', 'shame', 'football', 'uruguay']",Negativo,Negativo,Negativo,Negativo,Negativo
"['everything', 'awesome', 'tegan', 'sara', 'excellent', 'start', 'day', 'totally', 'agree', 'enmet']",Positivo,Positivo,Positivo,Negativo,Positivo
"['pharrell', 'williams', 'happy', 'despicable', 'lyric', 'video', 'happy']",Positivo,Positivo,Positivo,Positivo,Positivo
"['globovision', 'gvconelmundial', 'piqué', 'leaves', 'spain', 'training', 'due', 'muscular', 'discomfort']",Negativo,Negativo,Negativo,Negativo,Negativo
"['tell', 'follow', 'tell', 'drink', 'bra', 'caipirinha', 'mex', 'tequila', 'rus', 'vodka', 'usa', 'whiskey', 'ita', 'wine', 'ger', 'beer', 'jap', 'sake']",Negativo,Negativo,Negativo,Negativo,Negativo
"['following', 'russia', 'korea', 'republic', 'fifa', 'global', 'stadium', 'ruskor', 'brasil', 'join']",Positivo,Positivo,Negativo,Negativo,Positivo
"['although', 'even', 'optimism', 'scarce', 'love', 'country', 'photo', 'damalo']",Positivo,Positivo,Positivo,Positivo,Positivo
"['final', 'champions', 'ahead', 'fcbayern', 'faces', 'real', 'madrid']",Positivo,Positivo,Negativo,Negativo,Negativo
"['champions', 'league', 'final', 'coming', 'fc', 'bayern', 'faces', 'real', 'madrid']",Positivo,Positivo,Positivo,Negativo,Positivo
"['falcón', 'looks', 'like', 'obama', 'whiter', 'hair', 'also', 'tell', 'ten', 'minutes', 'cannot', 'pause', 'every', 'words']",Positivo,Positivo,Positivo,Positivo,Positivo
"['directv', 'definitely', 'smartest', 'video', 'system', 'watching', 'network', 'turned', 'hours', 'inactivity']",Positivo,Positivo,Negativo,Negativo,Positivo
"['pointing', 'disarmament', 'law', 'required', 'point', 'government', 'disarmament', 'disarmament']",Negativo,Positivo,Negativo,Negativo,Negativo
"['annoying', 'eekhout']",Negativo,Positivo,Negativo,Negativo,Positivo
"['gjimenez', 'thinking', 'cousin', 'far', 'worst', 'intervention']",Negativo,Negativo,Negativo,Negativo,Negativo
"['take', 'one', 'barboza', 'nobody', 'knows', 'venezuela', 'much', 'bolivar', 'costs', 'know', 'enough']",Negativo,Positivo,Negativo,Negativo,Positivo
"['svmi', 'good', 'morning', 'could', 'tell', 'international', 'travel', 'insurance', 'requirement', 'already', 'entered', 'force']",Positivo,Positivo,Positivo,Positivo,Positivo
"['finally', 'fraud', 'operator', 'banesco', 'answered', 'least', 'attention', 'kind', 'precise', 'fast', 'problem', 'solved']",Negativo,Positivo,Positivo,Positivo,Positivo
"['make', 'unacknowledged', 'consumption', 'tdc', 'message', 'arrives', 'says', 'report', 'spend', 'minutes', 'listening', 'ivr', 'banesco']",Negativo,Positivo,Positivo,Positivo,Positivo
"['lot', 'selfishness', 'meeting', 'la', 'paz', 'idea', 'offer', 'hand', 'without', 'conditions', 'part', 'part']",Positivo,Positivo,Positivo,Positivo,Positivo
"['know', 'reporting', 'easy', 'call', 'family', 'see', 'post', 'fb', 'hear', 'terror', 'voice']",Negativo,Positivo,Negativo,Negativo,Positivo
"['useless', 'women', 'elderly', 'talk', 'plead', 'gnb', '\u200b\u200bavila', 'urb', 'el', 'limón', 'edo', 'aragua', 'street', 'stop', 'bombs', 'inside', 'houses']",Negativo,Positivo,Positivo,Negativo,Positivo
"['calle', 'ávila', 'urb', 'el', 'limón', 'mcay', 'edo', 'aragua', 'gnb', 'represses', 'families', 'inside', 'homes', 'elderly', 'children', 'affected', 'tear', 'gas', 'bombs']",Negativo,Negativo,Negativo,Negativo,Negativo
"['mr', 'good', 'night', 'see', 'face', 'face', 'better']",Positivo,Positivo,Positivo,Positivo,Positivo
"['changes', 'generates', 'joy', 'stres', 'dedicate', 'citizen', 'world', 'virtues', 'defects']",Positivo,Positivo,Negativo,Negativo,Negativo
"['maybe', 'nobody', 'cared', 'interested', 'leaving', 'twitter', 'stand', 'much', 'information', 'disinformation', 'side', 'side']",Positivo,Positivo,Positivo,Negativo,Positivo
"['strong', 'accident', 'bridge', 'end', 'av', 'bolívar', 'involves', 'public', 'transport', 'units']",Positivo,Positivo,Positivo,Positivo,Positivo
"['creators', 'cadivi', 'sicad', 'querida', 'shrunk', 'travel', 'quota', 'sicad', 'arrives', 'revenge', 'phantom', 'dollar']",Negativo,Negativo,Negativo,Negativo,Negativo
"['sequence', 'tufm', 'magaflores', 'fabygarciag', 'know', 'would', 'also', 'less', 'seems']",Negativo,Positivo,Negativo,Negativo,Negativo
"['ronny', 'cedeño', 'missing', 'game', 'seen', 'magallanes', 'races', 'one', 'ining', 'vamosmagallanes']",Negativo,Positivo,Negativo,Negativo,Negativo
"['come', 'magellan', 'take', 'rest', 'everything', 'summarized', 'win', 'magallanes']",Positivo,Positivo,Positivo,Positivo,Positivo
"['umpire', 'game', 'miracle', 'adonis', 'hand', 'bleeds', 'purple', 'ball', 'hit', 'go', 'venezuela']",Positivo,Negativo,Negativo,Negativo,Negativo
"['single', 'appreciation', 'stubbornness', 'umpire', 'tarnish', 'hitherto', 'perfect', 'show']",Positivo,Positivo,Negativo,Positivo,Negativo
"['one', 'universal', 'cumanes', 'another', 'ramón', 'hernández', 'flies', 'dress', 'hero', 'day', 'birth', 'countryman', 'antonio', 'josé', 'de', 'sucre']",Positivo,Positivo,Positivo,Negativo,Positivo
"['come', 'bull', 'going', 'enduring', 'old', 'man']",Negativo,Negativo,Negativo,Negativo,Negativo
"['attacked', 'cuban', 'team', 'sad', 'political', 'patients', 'detract', 'spirit', 'healthy', 'competition', 'like', 'baseball']",Positivo,Positivo,Positivo,Positivo,Positivo
"['day', 'years', 'ago', 'venezuela', 'received', 'gift', 'birth', 'antonio', 'josé', 'de', 'sucre', 'man', 'high', 'ideals', 'noble', 'heart']",Positivo,Positivo,Positivo,Positivo,Positivo
"['years', 'passed', 'since', 'birth', 'universal', 'cumanes', 'sincere', 'beautiful', 'friendship', 'liberator', 'antonio', 'jose', 'de', 'sucre']",Positivo,Positivo,Positivo,Positivo,Positivo
"['way', 'going', 'security', 'plan', 'build', 'many', 'prison', 'cities', 'empty', 'thugs', 'fill', 'innocents']",Negativo,Positivo,Negativo,Negativo,Positivo
"['caraquistas', 'friends', 'want', 'calling', 'champion', 'tell', 'bicampeon']",Positivo,Positivo,Positivo,Positivo,Positivo
"['carlos', 'zambrano', 'says', 'fought', 'final', 'literally']",Negativo,Positivo,Negativo,Negativo,Positivo
"['mordonez', 'happy', 'birthday', 'always', 'remember', 'triumph', 'magellan', 'hug']",Positivo,Positivo,Positivo,Positivo,Positivo
"['congratulations', 'champion', 'team']",Positivo,Positivo,Positivo,Negativo,Positivo
"['greetings', 'johansantana', 'god', 'fate', 'bring', 'best', 'including', 'future', 'even', 'game', 'magellan', 'see']",Positivo,Positivo,Positivo,Positivo,Positivo
"['important', 'attack', 'start']",Negativo,Positivo,Positivo,Positivo,Positivo
"['ok', 'magallanes', 'go']",Negativo,Negativo,Negativo,Negativo,Negativo
[],Negativo,Positivo,Negativo,Negativo,Negativo
"['one', 'games', 'decisions', 'way', 'wrong', 'deciding', 'tuesday', 'let', 'go', 'magallan']",Negativo,Negativo,Negativo,Negativo,Negativo
"['ask', 'pitcher', 'continue', 'unless', 'dead', 'say', 'yes', 'garcia', 'changed', 'pitch']",Negativo,Positivo,Positivo,Positivo,Positivo
"['come', 'magellan', 'defending', 'already', 'hit', 'cannon', 'shots']",Negativo,Negativo,Negativo,Negativo,Negativo
"['adonis', 'turn', 'hits', 'turns', 'eliezer', 'know', 'carlos', 'admiral']",Positivo,Negativo,Negativo,Negativo,Negativo
"['something', 'understand', 'vehicle', 'manufacturers', 'spend', 'money', 'commercials', 'cars']",Negativo,Positivo,Negativo,Negativo,Positivo
"['kfp', 'like', 'master', 'shifu', 'level', 'flying', 'panda']",Positivo,Positivo,Positivo,Positivo,Positivo
"['butt', 'defensive', 'margin', 'error', 'mother', 'would', 'say', 'blinks', 'loses']",Negativo,Negativo,Negativo,Negativo,Negativo
"['kfp', 'starts', 'rally', 'come', 'magellan']",Negativo,Negativo,Negativo,Negativo,Negativo
"['feel', 'anxiety', 'players', 'losing', 'series', 'home', 'others', 'sweep', 'championship', 'end', 'win']",Positivo,Positivo,Positivo,Positivo,Positivo
"['come', 'ship', 'safe', 'harbor', 'ining']",Positivo,Negativo,Negativo,Negativo,Negativo
"['good', 'morning', 'magaflores', 'mean', 'exactly', 'moment', 'certainly', 'epic']",Positivo,Positivo,Positivo,Positivo,Positivo
"['eeeeeeeeeeee', 'eliminated', 'final', 'lvbp', 'magallanes', 'caribes']",Negativo,Negativo,Negativo,Negativo,Negativo
"['strike', 'separates', 'caribbean', 'final', 'caracas', 'officially', 'eliminated']",Negativo,Positivo,Negativo,Negativo,Negativo
"['caraquistas', 'linking', 'zulia', 'one', 'eliminated', 'season', 'ha', 'ha']",Negativo,Negativo,Negativo,Negativo,Negativo
"['danielcoronil', 'bob', 'old', 'ha', 'ha', 'ha', 'balls', 'sardines', 'anyone']",Negativo,Negativo,Negativo,Negativo,Negativo
"['bread', 'flour', 'scarcity', 'increases', 'due', 'elaboration', 'arepas', 'caraquistas']",Negativo,Negativo,Negativo,Negativo,Negativo
"['falcao', 'magallanes', 'final', 'scored', 'winner']",Positivo,Positivo,Negativo,Negativo,Negativo
"['get', 'back', 'boby']",Negativo,Positivo,Positivo,Negativo,Positivo
"['machi', 'us', 'accustomed', 'suspense', 'drama', 'emotion', 'without', 'games', 'would', 'entertaining']",Negativo,Positivo,Negativo,Negativo,Positivo
"['lewandowski', 'could', 'move', 'bayern', 'week']",Negativo,Positivo,Positivo,Negativo,Positivo
"['nicolasmaduro', 'meeting', 'last', 'night', 'reminded', 'sucre', 'ayacucho', 'victory', 'give', 'right', 'honors', 'fallen', 'glory', 'victor']",Positivo,Positivo,Positivo,Positivo,Positivo
"['futbolentucasa', 'world', 'would', 'miss', 'seeing', 'enormous', 'talent']",Positivo,Positivo,Negativo,Negativo,Positivo
"['definitely', 'capriles', 'maduro']",Positivo,Negativo,Negativo,Negativo,Negativo
"['alcaldiabaruta', 'gerardoblyde', 'today', 'company', 'somehow', 'picked', 'garbage', 'thank', 'best', 'christmas', 'neighbors', 'beautiful', 'mountain']",Positivo,Positivo,Positivo,Positivo,Positivo
"['ideas', 'mayors', 'show', 'lot', 'maturity']",Negativo,Positivo,Positivo,Positivo,Positivo
"['alcaldiabaruta', 'collected', 'garbage', 'av', 'chama', 'two', 'weeks', 'flies', 'rats', 'party']",Positivo,Negativo,Negativo,Negativo,Negativo
"['mayor', 'bogotá', 'disqualified', 'years', 'reason', 'pick', 'trash', 'pity', 'would', 'reelected']",Negativo,Negativo,Negativo,Negativo,Negativo
"['almost', 'weeks', 'without', 'picking', 'garbage', 'de', 'bello', 'monte', 'baruta', 'unit', 'gerardoblyde']",Negativo,Negativo,Negativo,Negativo,Negativo
"['jotaalcalde', 'thank', 'raising', 'voice', 'people', 'barcelona', 'want', 'improvements', 'real', 'changes', 'municipality', 'count']",Positivo,Positivo,Positivo,Positivo,Positivo
"['jotaalcalde', 'mission', 'accomplished', 'hopefully', 'people', 'barcelona', 'awakened', 'time', 'build', 'better', 'municipality']",Positivo,Positivo,Positivo,Positivo,Positivo
"['venezuela', 'country', 'queues', 'queues', 'responsible', 'venezuelans', 'going', 'abroad', 'vote', 'mayors']",Positivo,Positivo,Negativo,Negativo,Positivo
"['jotaalcalde', 'say', 'price', 'unit', 'baruteños', 'suffer', 'another', 'blyde', 'misrule']",Negativo,Negativo,Negativo,Negativo,Negativo
"['nine', 'arepas', 'prepared', 'way', 'white', 'point', 'ball', 'great', 'slam']",Positivo,Positivo,Positivo,Positivo,Positivo
"['polar', 'says', 'flour', 'bread', 'distributed', 'normally', 'happens', 'giving', 'arepas', 'caraquista', 'generates', 'scarcity']",Positivo,Positivo,Positivo,Positivo,Positivo
"['jotaalcalde', 'sure', 'family', 'even', 'campaign', 'work', 'god', 'willing', 'management', 'success']",Positivo,Positivo,Positivo,Positivo,Positivo
"['jotaalcalde', 'chose', 'hills', 'beautiful', 'mountain', 'raise', 'children', 'clean', 'safe', 'illuminated', 'gerardoblyde']",Positivo,Positivo,Positivo,Positivo,Positivo
"['victoria', 'fm', 'serious', 'accident', 'height', 'polar', 'direction', 'ccs', 'val']",Negativo,Positivo,Negativo,Negativo,Negativo
"['one', 'thinks', 'titans', 'pacific', 'hollywood', 'version', 'neon', 'genesis', 'evangelion']",Negativo,Negativo,Negativo,Negativo,Positivo
"['softball', 'tournament', 'resumed', 'account', 'catch', 'hug', 'follow']",Positivo,Positivo,Negativo,Negativo,Positivo
"['greetings', 'marcosoptrima', 'would', 'like', 'confirm', 'attendance', 'nuuo', 'certification']",Positivo,Positivo,Positivo,Positivo,Positivo
"['said', 'colombia', 'keep', 'right', 'play', 'cachamay', 'tickets', 'sold', 'hobby', 'boring']",Positivo,Positivo,Positivo,Positivo,Positivo
"['damn', 'game', 'venezuela', 'upstairs', 'go', 'cachamay']",Negativo,Negativo,Negativo,Negativo,Negativo
"['arribacachamay', 'cachamay', 'minutes', 'venezuela', 'started', 'better', 'said', 'fear', 'sadness', 'forbidden']",Negativo,Positivo,Positivo,Positivo,Positivo
"['hey', 'prometeo', 'course', 'wait', 'see', 'lands', 'soon']",Negativo,Positivo,Positivo,Positivo,Positivo
"['days', 'ago', 'english', 'course', 'said', 'would', 'like', 'take', 'cruise', 'experience', 'sea', 'night', 'mean', 'ha', 'ha']",Positivo,Positivo,Negativo,Positivo,Positivo
"['good', 'disposition', 'conferry', 'people', 'however', 'think', 'resources', 'lacking', 'exit', 'express', 'damaged', 'sent', 'us', 'isabel', 'free']",Positivo,Positivo,Negativo,Positivo,Positivo
"['mega', 'ferries', 'arrived', 'venezuela', 'much', 'quality', 'transport', 'service', 'need', 'island']",Negativo,Positivo,Positivo,Negativo,Positivo
"['navibus', 'greetings', 'could', 'validate', 'tickets', 'tomorrow', 'noon', 'plc', 'pta', 'stones']",Positivo,Positivo,Positivo,Negativo,Positivo
"['ok', 'venezuela', 'quieroiracirquesoleil', 'unique', 'shows', 'years', 'ago', 'went', 'even', 'today', 'remember', 'find', 'incredible']",Negativo,Positivo,Positivo,Positivo,Positivo
"['cne', 'begins', 'badly', 'ends', 'badly', 'yesterday', 'president', 'requested', 'audit', 'front', 'nation', 'sensible', 'thing']",Negativo,Positivo,Negativo,Negativo,Positivo
"['say', 'better', 'call', 'union', 'respectfully', 'call', 'opposition', 'total', 'vote', 'count']",Positivo,Negativo,Negativo,Positivo,Negativo
"['good', 'people', 'cne', 'make', 'believe', 'results', 'however', 'think', 'best', 'way', 'start', 'government', 'full', 'count']",Positivo,Positivo,Positivo,Positivo,Positivo
"['modernoporra', 'ha', 'ha', 'true']",Positivo,Positivo,Negativo,Positivo,Negativo
"['masterroots', 'anger', 'hypocrisy', 'results', 'call', 'union', 'fraud', 'hate', 'lions', 'sheep', 'clothing']",Negativo,Negativo,Negativo,Positivo,Negativo
"['masterroots', 'sadly', 'thing', 'close', 'gaps', 'tragedies', 'high', 'price', 'people', 'grow']",Negativo,Negativo,Negativo,Negativo,Negativo
"['masterroots', 'hit', 'fixed', 'extent', 'recognize', 'equals', 'respect']",Positivo,Positivo,Negativo,Positivo,Negativo
"['masterroots', 'say', 'jimmy', 'crankcase', 'always', 'pulled', 'balls', 'said', 'modern', 'safest', 'system', 'world']",Positivo,Negativo,Negativo,Negativo,Negativo
"['masterroots', 'aja', 'could', 'one', 'would', 'take', 'think', 'without', 'straw', 'country', 'great', 'crazy', 'great', 'repeat', 'please']",Positivo,Positivo,Positivo,Positivo,Positivo
"['sucre', 'said', 'victory', 'give', 'right', 'gives', 'honor', 'defeated', 'glory', 'victor', 'whoever', 'wins', 'let', 'respect']",Positivo,Positivo,Positivo,Positivo,Positivo
"['vicente', 'díaz', 'wants', 'audit', 'mature', 'wants', 'audit', 'capriles', 'wants', 'audit', 'hell', 'maría', 'bolívar', 'win']",Positivo,Positivo,Negativo,Negativo,Positivo
"['masterroots', 'thing', 'chávez', 'lost', 'referendum', 'votes', 'came', 'hard', 'recognize', 'worst']",Negativo,Negativo,Negativo,Negativo,Negativo
"['caimanes', 'sbc', 'fcbayern', 'go', 'bayern', 'perhaps', 'difficult', 'game', 'champions', 'league', 'go', 'everything']",Positivo,Negativo,Negativo,Negativo,Negativo
