tweet,tweet_tokenized,tweet_translated,tweet_translated_tokenized,neg,neu,pos,sentiment
Clásico de los autoritarismos de toda laya   https://t.co/LtJZbanMpB  https://t.co/gRdpnT7Hcl,"['clásico', 'autoritarismos', 'toda', 'laya']",Classic of authoritarianisms of all stripes https://t.co/LtJZbanMpB https://t.co/gRdpnT7Hcl,"['classic', 'authoritarianisms', 'stripes']",0.0,1.0,0.0,Neutral
"@managuac Saludos paisano, gracias por esa imagen","['managuac', 'saludos', 'paisano', 'gracias', 'imagen']","@managuac Greetings countryman, thanks for that image","['managuac', 'greetings', 'countryman', 'thanks', 'image']",0.0,0.345,0.655,Neutral
Jorge Drexler: NPR Music Tiny Desk Concert  https://t.co/C8pps5myPW a través de @YouTube,"['jorge', 'drexler', 'npr', 'music', 'tiny', 'desk', 'concert', 'través', 'youtube']",Jorge Drexler: NPR Music Tiny Desk Concert  https://t.co/C8pps5myPW a través de @YouTube,"['jorge', 'drexler', 'npr', 'music', 'tiny', 'desk', 'concert', 'través', 'de', 'youtube']",0.0,1.0,0.0,Neutral
"@gasconmarquez gracias Gascon, un abrazo","['gasconmarquez', 'gracias', 'gascon', 'abrazo']","@gasconmarquez thanks Gascon, a hug","['gasconmarquez', 'thanks', 'gascon', 'hug']",0.0,0.25,0.75,Neutral
"@Daza24Jenifer @frcoello @rapinango Gracias Jenifer, saludos","['daza', 'jenifer', 'frcoello', 'rapinango', 'gracias', 'jenifer', 'saludos']","@ Daza24Jenifer @frcoello @rapinango Thank you Jenifer, greetings","['daza', 'jenifer', 'frcoello', 'rapinango', 'thank', 'jenifer', 'greetings']",0.0,0.485,0.515,Neutral
"Fascistas y comunistas comparten entre muchos otros rasgos, su pasión por uniformes y uniformidad y su desprecio por la democracia y la pluralidad","['fascistas', 'comunistas', 'comparten', 'rasgos', 'pasión', 'uniformes', 'uniformidad', 'desprecio', 'democracia', 'pluralidad']","Fascists and communists share among many other traits, their passion for uniforms and uniformity and their contempt for democracy and plurality","['fascists', 'communists', 'share', 'among', 'many', 'traits', 'passion', 'uniforms', 'uniformity', 'contempt', 'democracy', 'plurality']",0.298,0.426,0.277,Neutral
"@karlo3066 Con gusto, saludos","['karlo', 'gusto', 'saludos']","@ karlo3066 With pleasure, greetings","['karlo', 'pleasure', 'greetings']",0.0,0.133,0.867,Neutral
"@LaToyaAzua Que así sea, saludos","['latoyaazua', 'así', 'saludos']","@LaToyaAzua So be it, greetings","['latoyaazua', 'greetings']",0.0,0.263,0.737,Neutral
Hacia una nueva universidad  https://t.co/KBNAA9Vvrq,"['hacia', 'nueva', 'universidad']",Towards a new university https://t.co/KBNAA9Vvrq,"['towards', 'new', 'university']",0.0,1.0,0.0,Neutral
De la exacerbación y quiebra del rentismo al remesismo crónica del socialismo del siglo 21,"['exacerbación', 'quiebra', 'rentismo', 'remesismo', 'crónica', 'socialismo', 'siglo']",From the exacerbation and bankruptcy of rentism to the chronic remittances of 21st century socialism,"['exacerbation', 'bankruptcy', 'rentism', 'chronic', 'remittances', 'st', 'century', 'socialism']",0.0,1.0,0.0,Neutral
"@Luisa54298987 Con gusto, saludos","['luisa', 'gusto', 'saludos']","@ Luisa54298987 With pleasure, greetings","['luisa', 'pleasure', 'greetings']",0.0,0.133,0.867,Neutral
"Ensucian, no lavan ni prestan la batea, frente a la mayor crisis social en la historia moderna fruto de un modelo fracasado, el gobierno hostiga a organizaciones que contribuyen a mitigar el padecimiento de los venezolanos","['ensucian', 'lavan', 'prestan', 'batea', 'frente', 'mayor', 'crisis', 'social', 'historia', 'moderna', 'fruto', 'modelo', 'fracasado', 'gobierno', 'hostiga', 'organizaciones', 'contribuyen', 'mitigar', 'padecimiento', 'venezolanos']","They dirty, they do not wash or lend the pan, in the face of the greatest social crisis in modern history as a result of a failed model, the government harasses organizations that contribute to mitigating the suffering of Venezuelans","['dirty', 'wash', 'lend', 'pan', 'face', 'greatest', 'social', 'crisis', 'modern', 'history', 'result', 'failed', 'model', 'government', 'harasses', 'organizations', 'contribute', 'mitigating', 'suffering', 'venezuelans']",0.481,0.399,0.12,Neutral
@puzkas A mayor opacidad mayor mueleo,"['puzkas', 'mayor', 'opacidad', 'mayor', 'mueleo']",@puzkas The higher the opacity the higher the grind,"['puzkas', 'higher', 'opacity', 'higher', 'grind']",0.0,1.0,0.0,Neutral
Patti Smith: “Hay que dar muchos pasos para conseguir ser libre”  https://t.co/UQV83TWdXr a través de @elpaissemanal,"['patti', 'smith', 'dar', 'pasos', 'conseguir', 'ser', 'libre”', 'través', 'elpaissemanal']",Patti Smith: “You have to take many steps to be free” https://t.co/UQV83TWdXr through @elpaissemanal,"['patti', 'smith', 'take', 'many', 'steps', 'free”', 'elpaissemanal']",0.0,1.0,0.0,Neutral
"@kalavink4 Gracias, saludos","['kalavink', 'gracias', 'saludos']","@ kalavink4 Thanks, regards","['kalavink', 'thanks', 'regards']",0.0,0.408,0.592,Neutral
@isabeljuanedaga Y matemático,"['isabeljuanedaga', 'matemático']",@isabeljuanedaga And mathematician,"['isabeljuanedaga', 'mathematician']",0.0,1.0,0.0,Neutral
@Jmodolell @luispespana jajajaja,"['jmodolell', 'luispespana', 'jajajaja']",@Jmodolell @luispespana hahahaha,"['jmodolell', 'luispespana', 'hahahaha']",0.0,1.0,0.0,Neutral
@rbieliukas Saludos Rosalinda,"['rbieliukas', 'saludos', 'rosalinda']",@rbieliukas Greetings Rosalinda,"['rbieliukas', 'greetings', 'rosalinda']",0.0,0.417,0.583,Neutral
El régimen es tan pobre en su legado que no le queda mas que renombrar lo que otros han construido y nominado,"['régimen', 'tan', 'pobre', 'legado', 'queda', 'mas', 'renombrar', 'construido', 'nominado']",The regime is so poor in its legacy that it has no choice but to rename what others have built and nominated.,"['regime', 'poor', 'legacy', 'choice', 'rename', 'others', 'built', 'nominated']",0.307,0.693,0.0,Neutral
Afirmación preferida del dogmático: la duda ofende,"['afirmación', 'preferida', 'dogmático', 'duda', 'ofende']",Dogmatic's favorite statement: doubt offends,"['dogmatic', 'favorite', 'statement', 'doubt', 'offends']",0.524,0.19,0.286,Neutral
Dos frentes   -   https://t.co/XMPSOOWunu,"['dos', 'frentes']",From the fronts - https://t.co/XMPSOOWunu,['fronts'],0.0,1.0,0.0,Neutral
"Son tan miopes los negacionistas que pretenden desconocer la implacable y riesgosa pandemia como los que no caen en la cuenta de las gravísimas consecuencias sociales y económicas de la parálisis. Los problemas complejos, rara vez admiten miradas simplistas","['tan', 'miopes', 'negacionistas', 'pretenden', 'desconocer', 'implacable', 'riesgosa', 'pandemia', 'caen', 'cuenta', 'gravísimas', 'consecuencias', 'sociales', 'económicas', 'parálisis', 'problemas', 'complejos', 'rara', 'vez', 'admiten', 'miradas', 'simplistas']",Deniers who pretend to ignore the relentless and dangerous pandemic are as shortsighted as those who do not realize the extremely serious social and economic consequences of paralysis. Complex problems rarely admit simplistic looks,"['deniers', 'pretend', 'ignore', 'relentless', 'dangerous', 'pandemic', 'shortsighted', 'realize', 'extremely', 'serious', 'social', 'economic', 'consequences', 'paralysis', 'complex', 'problems', 'rarely', 'admit', 'simplistic', 'looks']",0.532,0.426,0.043,Neutral
"Caso ilustrativo el informe de la ONU sobre los DDHH en Venezuela, callan o voltean hacia otro lado y los más cínicos lo condenan","['caso', 'ilustrativo', 'informe', 'onu', 'ddhh', 'venezuela', 'callan', 'voltean', 'hacia', 'lado', 'cínicos', 'condenan']","Illustrative case the UN report on human rights in Venezuela, they keep silent or turn the other way and the most cynical condemn it","['illustrative', 'case', 'un', 'report', 'human', 'rights', 'venezuela', 'keep', 'silent', 'turn', 'way', 'cynical', 'condemn']",0.321,0.679,0.0,Neutral
Quienes condenan selectivamente guiados por sus posturas políticas no son de fiar puesto que lo sustantivo no es el atropello sino cómo aprovecharse del mismo. Condenan persecuciones cuando los victimarios son contrincantes y voltean o alcahuetean cuando son sus aliados,"['condenan', 'selectivamente', 'guiados', 'posturas', 'políticas', 'fiar', 'puesto', 'sustantivo', 'atropello', 'sino', 'cómo', 'aprovecharse', 'mismo', 'condenan', 'persecuciones', 'victimarios', 'contrincantes', 'voltean', 'alcahuetean', 'aliados']",Those who selectively condemn guided by their political positions are not to be trusted since the substantive thing is not the outrage but how to take advantage of it. They condemn persecution when the perpetrators are opponents and turn or pander when they are their allies,"['selectively', 'condemn', 'guided', 'political', 'positions', 'trusted', 'since', 'substantive', 'thing', 'outrage', 'take', 'advantage', 'condemn', 'persecution', 'perpetrators', 'opponents', 'turn', 'pander', 'allies']",0.367,0.455,0.178,Neutral
"Falacia clásica: dentro de la revolución todo, fuera de la revolución nada. Lo cierto es que cualquier crítica no avalada por la nomenclatura se despacha como  https://t.co/2o0tX1f60Q trata de una contradicción estructural,los autoritarismos no toleran las críticas significativas","['falacia', 'clásica', 'dentro', 'revolución', 'revolución', 'cierto', 'cualquier', 'crítica', 'avalada', 'nomenclatura', 'despacha', 'trata', 'contradicción', 'estructural', 'autoritarismos', 'toleran', 'críticas', 'significativas']","Classic fallacy: inside the revolution everything, outside the revolution nothing. The truth is that any criticism not endorsed by the nomenclature is dispatched as https://t.co/2o0tX1f60Q it deals with a structural contradiction, authoritarianisms do not tolerate significant criticism","['classic', 'fallacy', 'inside', 'revolution', 'everything', 'outside', 'revolution', 'nothing', 'truth', 'criticism', 'endorsed', 'nomenclature', 'dispatched', 'deals', 'structural', 'contradiction', 'authoritarianisms', 'tolerate', 'significant', 'criticism']",0.321,0.522,0.157,Neutral
Tontos útiles y vivos útiles.  Algunos de ellos tienen otras de primer nivel pero terminan siendo estafadores en el terreno político,"['tontos', 'útiles', 'vivos', 'útiles', 'primer', 'nivel', 'terminan', 'siendo', 'estafadores', 'terreno', 'político']",Useful and useful living fools. Some of them have other top-notch ones but end up being scammers in the political arena,"['useful', 'useful', 'living', 'fools', 'top', 'notch', 'ones', 'end', 'scammers', 'political', 'arena']",0.18,0.393,0.427,Neutral
"Demócratas pero no tienen ningún empacho en expresar su admiración por líderes o proyectos evidentemente antidemocráticos, muchos han terminado siendo parte del cortejo fúnebre de democracias y alcahuetes entusiastas de autoritarismos, de estos hay al menos 2 suntuosos:","['demócratas', 'ningún', 'empacho', 'expresar', 'admiración', 'líderes', 'proyectos', 'evidentemente', 'antidemocráticos', 'terminado', 'siendo', 'parte', 'cortejo', 'fúnebre', 'democracias', 'alcahuetes', 'entusiastas', 'autoritarismos', 'menos', 'suntuosos']","Democrats but they have no qualms about expressing their admiration for obviously undemocratic leaders or projects, many have ended up being part of the funeral procession of democracies and enthusiastic pimps of authoritarianism, of these there are at least 2 sumptuous:","['democrats', 'qualms', 'expressing', 'admiration', 'obviously', 'undemocratic', 'leaders', 'projects', 'many', 'ended', 'part', 'funeral', 'procession', 'democracies', 'enthusiastic', 'pimps', 'authoritarianism', 'least', 'sumptuous']",0.099,0.635,0.266,Neutral
"El orgánico pero puede ser más peligroso, porque es menos ramplón son del tipo capaz de medir con varas muy exigentes a las democracias liberales pero miran a los lados cuando los atropellos provienen de los líderes o regímenes autoritarios a los que apoyan. Algunos se dicen","['orgánico', 'puede', 'ser', 'peligroso', 'menos', 'ramplón', 'tipo', 'capaz', 'medir', 'varas', 'exigentes', 'democracias', 'liberales', 'miran', 'lados', 'atropellos', 'provienen', 'líderes', 'regímenes', 'autoritarios', 'apoyan', 'dicen']","The organic but can be more dangerous, because it is less coarse, they are the type capable of measuring liberal democracies with very demanding standards but they look to the sides when the abuses come from the leaders or authoritarian regimes they support. Some say","['organic', 'dangerous', 'less', 'coarse', 'type', 'capable', 'measuring', 'liberal', 'democracies', 'demanding', 'standards', 'look', 'sides', 'abuses', 'come', 'leaders', 'authoritarian', 'regimes', 'support', 'say']",0.3,0.524,0.176,Neutral
"Partido, ejm: las posturas de algunos de ellos para justificar el pacto “ Molotov-Ribbentrop”, nazis y comunistas. 2.- El “ideologizado”: subordina su reflexión a algún interés “superior” ello hace que justifique o utilice de modo tendencioso su intelecto, es menos abyecto que","['partido', 'ejm', 'posturas', 'justificar', 'pacto', 'molotov', 'ribbentrop”', 'nazis', 'comunistas', 'ideologizado”', 'subordina', 'reflexión', 'algún', 'interés', 'superior”', 'ello', 'hace', 'justifique', 'utilice', 'modo', 'tendencioso', 'intelecto', 'menos', 'abyecto']","Party, eg: the positions of some of them to justify the ""Molotov-Ribbentrop"" pact, Nazis and Communists. 2.- The “ideologized”: he subordinates his reflection to some “superior” interest, this makes him justify or use his intellect in a tendentious way, it is less abject than","['party', 'eg', 'positions', 'justify', 'molotov', 'ribbentrop', 'pact', 'nazis', 'communists', 'ideologized”', 'subordinates', 'reflection', 'superior”', 'interest', 'makes', 'justify', 'use', 'intellect', 'tendentious', 'way', 'less', 'abject']",0.0,0.686,0.314,Neutral
"2 tipos de “intelectuales” abominables : 1.- el orgánico, solo sigue el guion del poder no se molesta en elaborar se conforma con los clichés siempre que estén autorizados por la nomenclatura. No tiene prurito alguna en desdecirse si ello responde a un cambio de línea del","['tipos', 'intelectuales”', 'abominables', 'orgánico', 'solo', 'sigue', 'guion', 'poder', 'molesta', 'elaborar', 'conforma', 'clichés', 'siempre', 'autorizados', 'nomenclatura', 'prurito', 'alguna', 'desdecirse', 'si', 'ello', 'responde', 'cambio', 'línea']","2 types of abominable ""intellectuals"": 1 .- the organic, only follows the script of power does not bother to elaborate it conforms to the clichés as long as they are authorized by the nomenclature. There is no itch whatsoever to back down if it responds to a change in the line of the","['types', 'abominable', 'intellectuals', 'organic', 'follows', 'script', 'power', 'bother', 'elaborate', 'conforms', 'clichés', 'long', 'authorized', 'nomenclature', 'itch', 'whatsoever', 'back', 'responds', 'change', 'line']",0.104,0.783,0.113,Neutral
Hasta donde se sigue vigente el principio de la presunción de inocencia pese a que en estos lares prevalece el se es culpable hasta que se demuestre lo contrario.,"['sigue', 'vigente', 'principio', 'presunción', 'inocencia', 'pese', 'lares', 'prevalece', 'culpable', 'demuestre', 'contrario']",As far as the principle of the presumption of innocence is still in force despite the fact that in these parts the guilty party prevails until the contrary is proven.,"['far', 'principle', 'presumption', 'innocence', 'still', 'force', 'despite', 'fact', 'parts', 'guilty', 'party', 'prevails', 'contrary', 'proven']",0.0,0.59,0.41,Neutral
"La bicicleta en Venezuela, retos y oportunidades  https://t.co/Jy0IB8QOIN vía @","['bicicleta', 'venezuela', 'retos', 'oportunidades', 'vía']","The bicycle in Venezuela, challenges and opportunities https://t.co/Jy0IB8QOIN via @","['bicycle', 'venezuela', 'challenges', 'opportunities', 'via']",0.0,0.435,0.565,Neutral
@Patrizia_pato @elpais_america De acuerdo Grandes cada uno en su terreno,"['patrizia', 'pato', 'elpais', 'america', 'acuerdo', 'grandes', 'cada', 'terreno']","@Patrizia_pato @elpais_america Agree Great, each one in their own land","['patrizia', 'pato', 'elpais', 'america', 'agree', 'great', 'one', 'land']",0.0,0.476,0.524,Neutral
Murakami y Ozawa: pasión mahleriana  https://t.co/G8WKmrNGfm a través de @elpais_america,"['murakami', 'ozawa', 'pasión', 'mahleriana', 'través', 'elpais', 'america']",Murakami and Ozawa: Mahlerian passion https://t.co/G8WKmrNGfm via @elpais_america,"['murakami', 'ozawa', 'mahlerian', 'passion', 'via', 'elpais', 'america']",0.0,0.667,0.333,Neutral
"36 años después de publicada “caminos verdes” de Ruben Blades, la esperanza o ilusión de salvación está en sentido contrario, cortesía del “socialismo del siglo 21”","['años', 'después', 'publicada', 'caminos', 'verdes”', 'ruben', 'blades', 'esperanza', 'ilusión', 'salvación', 'contrario', 'cortesía', 'socialismo', 'siglo']","36 years after Ruben Blades' “green roads” was published, the hope or illusion of salvation is in the opposite direction, courtesy of “21st century socialism”","['years', 'ruben', 'blades', 'green', 'roads”', 'published', 'hope', 'illusion', 'salvation', 'opposite', 'direction', 'courtesy', 'st', 'century', 'socialism”']",0.0,0.707,0.293,Neutral
Servicios públicos eficientes: un escudo contra la pobreza  https://t.co/BlK6t2RcYL vía @,"['servicios', 'públicos', 'eficientes', 'escudo', 'pobreza', 'vía']",Efficient public services: a shield against poverty https://t.co/BlK6t2RcYL via @,"['efficient', 'public', 'services', 'shield', 'poverty', 'via']",0.327,0.396,0.277,Neutral
 https://t.co/L70Iy8E2L9,[],https://t.co/L70Iy8E2L9,[],0.0,1.0,0.0,Neutral
"@adrianliberman Yo me castigo hoy variando: adiós nonino-Piazzolla,first bossa Grappelli, Lindo Yambu Palmieri, while my guitar gently the Beatles y Brillante sobre el mic Fito","['adrianliberman', 'castigo', 'hoy', 'variando', 'adiós', 'nonino', 'piazzolla', 'first', 'bossa', 'grappelli', 'lindo', 'yambu', 'palmieri', 'while', 'my', 'guitar', 'gently', 'the', 'beatles', 'brillante', 'mic', 'fito']","@adrianliberman I punish myself today by varying: goodbye nonino-Piazzolla, first bossa Grappelli, Lindo Yambu Palmieri, while my guitar gently the Beatles and Brillante on the mic Fito","['adrianliberman', 'punish', 'today', 'varying', 'goodbye', 'nonino', 'piazzolla', 'first', 'bossa', 'grappelli', 'lindo', 'yambu', 'palmieri', 'guitar', 'gently', 'beatles', 'brillante', 'mic', 'fito']",0.145,0.726,0.128,Neutral
@adrianliberman Sin desperdicio,"['adrianliberman', 'desperdicio']",@adrianliberman No waste,"['adrianliberman', 'waste']",0.737,0.263,0.0,Neutral
@LPiccioni2 Saludos,"['lpiccioni', 'saludos']",@ LPiccioni2 Greetings,"['lpiccioni', 'greetings']",0.0,0.263,0.737,Neutral
"@guatire59 A ti, saludos","['guatire', 'saludos']","@ guatire59 To you, greetings","['guatire', 'greetings']",0.0,0.263,0.737,Neutral
Covid-19 y la gestión del riesgo  https://t.co/ynvpRPV18X vía @,"['covid', 'gestión', 'riesgo', 'vía']",Covid-19 and risk management https://t.co/ynvpRPV18X via @,"['covid', 'risk', 'management', 'via']",0.412,0.588,0.0,Neutral
@GonzalezVT18 Igualmente descanse,"['gonzalezvt', 'igualmente', 'descanse']",@ GonzalezVT18 Also rest,"['gonzalezvt', 'also', 'rest']",0.0,1.0,0.0,Neutral
"@GonzalezVT18 Con mucho gusto, y con el mayor respeto, saludos","['gonzalezvt', 'gusto', 'mayor', 'respeto', 'saludos']","@ GonzalezVT18 With pleasure, and with the greatest respect, greetings","['gonzalezvt', 'pleasure', 'greatest', 'respect', 'greetings']",0.0,0.068,0.932,Neutral
Ayuda a Marialis a tener una vida normal  https://t.co/cnvsm2z1PF,"['ayuda', 'marialis', 'tener', 'vida', 'normal']",Help Marialis to have a normal life https://t.co/cnvsm2z1PF,"['help', 'marialis', 'normal', 'life']",0.0,0.526,0.474,Neutral
Muerte de George Floyd: cuáles son las policías que más matan en América Latina: Venezuela (en términos relativos) en el primer lugar   https://t.co/XmJSaAcgLh,"['muerte', 'george', 'floyd', 'cuáles', 'policías', 'matan', 'américa', 'latina', 'venezuela', 'términos', 'relativos', 'primer', 'lugar']",Death of George Floyd: which are the police that kill the most in Latin America: Venezuela (in relative terms) in the first place https://t.co/XmJSaAcgLh,"['death', 'george', 'floyd', 'police', 'kill', 'latin', 'america', 'venezuela', 'relative', 'terms', 'first', 'place']",0.462,0.538,0.0,Neutral
"La destruccion de la biblioteca del núcleo de la UDO-Cumana ilustra muy bien los tiempos que vivimos: sectarismo, vandalismo, oscurantismo desprecio por la generación y difusión del conocimiento","['destruccion', 'biblioteca', 'núcleo', 'udo', 'cumana', 'ilustra', 'bien', 'tiempos', 'vivimos', 'sectarismo', 'vandalismo', 'oscurantismo', 'desprecio', 'generación', 'difusión', 'conocimiento']","The destruction of the library of the UDO-Cumana nucleus illustrates very well the times we live in: sectarianism, vandalism, obscurantism, contempt for the generation and diffusion of knowledge","['destruction', 'library', 'udo', 'cumana', 'nucleus', 'illustrates', 'well', 'times', 'live', 'sectarianism', 'vandalism', 'obscurantism', 'contempt', 'generation', 'diffusion', 'knowledge']",0.332,0.575,0.093,Neutral
Desconfío del anticomunista que no es antifascista y visceversa,"['desconfío', 'anticomunista', 'antifascista', 'visceversa']",I distrust the anti-communist who is not anti-fascist and vice versa,"['distrust', 'anti', 'communist', 'anti', 'fascist', 'vice', 'versa']",0.786,0.214,0.0,Neutral
"Ante el fracaso persistente de las políticas y la gestión, el gobierno opta por la creación y difusión de falsas narrativas como mecanismo de distorsión de los hechos para para evadir su responsabilidad, sus medios: el control socioplolítico y el monopolio mediático","['fracaso', 'persistente', 'políticas', 'gestión', 'gobierno', 'opta', 'creación', 'difusión', 'falsas', 'narrativas', 'mecanismo', 'distorsión', 'hechos', 'evadir', 'responsabilidad', 'medios', 'control', 'socioplolítico', 'monopolio', 'mediático']","Faced with the persistent failure of policies and management, the government opts for the creation and dissemination of false narratives as a mechanism to distort the facts in order to evade its responsibility, its means: socio-political control and media monopoly","['faced', 'persistent', 'failure', 'policies', 'management', 'government', 'opts', 'creation', 'dissemination', 'false', 'narratives', 'mechanism', 'distort', 'facts', 'order', 'evade', 'responsibility', 'means', 'socio', 'political', 'control', 'media', 'monopoly']",0.202,0.722,0.076,Neutral
"Desde el 4-F, hasta los tanqueros iraníes la constante ha sido la épica del fracaso: la pretensión de convertir derrotas, la mayoría vergonzosas, en gestas heroicas.","['tanqueros', 'iraníes', 'constante', 'sido', 'épica', 'fracaso', 'pretensión', 'convertir', 'derrotas', 'mayoría', 'vergonzosas', 'gestas', 'heroicas']","From 4-F, to the Iranian tankers, the constant has been the epic of failure: the pretense of turning defeats, most of them shameful, into heroic deeds.","['iranian', 'tankers', 'constant', 'epic', 'failure', 'pretense', 'turning', 'defeats', 'shameful', 'heroic', 'deeds']",0.454,0.361,0.186,Neutral
